Name;Type;DLL;SymbolOrOrdinal
BeginRegisterPropChangeNotificationEx;code;SSDPAPI.dll;
CleanupCache;code;SSDPAPI.dll;
DHSetICSInterfaces;code;SSDPAPI.dll;
DHSetICSOff;code;SSDPAPI.dll;
DeregisterNotification;code;SSDPAPI.dll;
DeregisterService;code;SSDPAPI.dll;
DisableFirewallRule;code;SSDPAPI.dll;
EnableFirewallRule;code;SSDPAPI.dll;
EndRegisterPropChangeNotificationEx;code;SSDPAPI.dll;
FindServices;code;SSDPAPI.dll;
FindServicesCallback;code;SSDPAPI.dll;
FindServicesCallbackEx;code;SSDPAPI.dll;
FindServicesCancel;code;SSDPAPI.dll;
FindServicesClose;code;SSDPAPI.dll;
FindServicesEx;code;SSDPAPI.dll;
FindServicesOnNetworkCallbackEx;code;SSDPAPI.dll;
FreeSsdpMessage;code;SSDPAPI.dll;
FreeSsdpMessageEx;code;SSDPAPI.dll;
GetFirstService;code;SSDPAPI.dll;
GetFirstServiceEx;code;SSDPAPI.dll;
GetNextService;code;SSDPAPI.dll;
GetNextServiceEx;code;SSDPAPI.dll;
RegisterAliveNotificationOnNetworkEx;code;SSDPAPI.dll;
RegisterNotification;code;SSDPAPI.dll;
RegisterNotificationEx;code;SSDPAPI.dll;
RegisterService;code;SSDPAPI.dll;
RegisterServiceEx;code;SSDPAPI.dll;
SsdpCleanup;code;SSDPAPI.dll;
SsdpStartup;code;SSDPAPI.dll;
