Name;Type;DLL;SymbolOrOrdinal
CLSIDFromProgID;code;api-ms-win-core-com-l1-1-1.dll;
CLSIDFromString;code;api-ms-win-core-com-l1-1-1.dll;
CoAddRefServerProcess;code;api-ms-win-core-com-l1-1-1.dll;
CoAllowUnmarshalerCLSID;code;api-ms-win-core-com-l1-1-1.dll;
CoCancelCall;code;api-ms-win-core-com-l1-1-1.dll;
CoCopyProxy;code;api-ms-win-core-com-l1-1-1.dll;
CoCreateFreeThreadedMarshaler;code;api-ms-win-core-com-l1-1-1.dll;
CoCreateGuid;code;api-ms-win-core-com-l1-1-1.dll;
CoCreateInstance;code;api-ms-win-core-com-l1-1-1.dll;
CoCreateInstanceEx;code;api-ms-win-core-com-l1-1-1.dll;
CoCreateInstanceFromApp;code;api-ms-win-core-com-l1-1-1.dll;
CoDecodeProxy;code;api-ms-win-core-com-l1-1-1.dll;
CoDecrementMTAUsage;code;api-ms-win-core-com-l1-1-1.dll;
CoDisableCallCancellation;code;api-ms-win-core-com-l1-1-1.dll;
CoDisconnectContext;code;api-ms-win-core-com-l1-1-1.dll;
CoDisconnectObject;code;api-ms-win-core-com-l1-1-1.dll;
CoEnableCallCancellation;code;api-ms-win-core-com-l1-1-1.dll;
CoFreeUnusedLibraries;code;api-ms-win-core-com-l1-1-1.dll;
CoFreeUnusedLibrariesEx;code;api-ms-win-core-com-l1-1-1.dll;
CoGetApartmentType;code;api-ms-win-core-com-l1-1-1.dll;
CoGetCallContext;code;api-ms-win-core-com-l1-1-1.dll;
CoGetCallerTID;code;api-ms-win-core-com-l1-1-1.dll;
CoGetCancelObject;code;api-ms-win-core-com-l1-1-1.dll;
CoGetClassObject;code;api-ms-win-core-com-l1-1-1.dll;
CoGetContextToken;code;api-ms-win-core-com-l1-1-1.dll;
CoGetCurrentLogicalThreadId;code;api-ms-win-core-com-l1-1-1.dll;
CoGetCurrentProcess;code;api-ms-win-core-com-l1-1-1.dll;
CoGetDefaultContext;code;api-ms-win-core-com-l1-1-1.dll;
CoGetInterfaceAndReleaseStream;code;api-ms-win-core-com-l1-1-1.dll;
CoGetMalloc;code;api-ms-win-core-com-l1-1-1.dll;
CoGetMarshalSizeMax;code;api-ms-win-core-com-l1-1-1.dll;
CoGetObjectContext;code;api-ms-win-core-com-l1-1-1.dll;
CoGetPSClsid;code;api-ms-win-core-com-l1-1-1.dll;
CoGetStandardMarshal;code;api-ms-win-core-com-l1-1-1.dll;
CoGetStdMarshalEx;code;api-ms-win-core-com-l1-1-1.dll;
CoGetTreatAsClass;code;api-ms-win-core-com-l1-1-1.dll;
CoImpersonateClient;code;api-ms-win-core-com-l1-1-1.dll;
CoIncrementMTAUsage;code;api-ms-win-core-com-l1-1-1.dll;
CoInitializeEx;code;api-ms-win-core-com-l1-1-1.dll;
CoInitializeSecurity;code;api-ms-win-core-com-l1-1-1.dll;
CoInvalidateRemoteMachineBindings;code;api-ms-win-core-com-l1-1-1.dll;
CoIsHandlerConnected;code;api-ms-win-core-com-l1-1-1.dll;
CoLockObjectExternal;code;api-ms-win-core-com-l1-1-1.dll;
CoMarshalHresult;code;api-ms-win-core-com-l1-1-1.dll;
CoMarshalInterThreadInterfaceInStream;code;api-ms-win-core-com-l1-1-1.dll;
CoMarshalInterface;code;api-ms-win-core-com-l1-1-1.dll;
CoQueryAuthenticationServices;code;api-ms-win-core-com-l1-1-1.dll;
CoQueryClientBlanket;code;api-ms-win-core-com-l1-1-1.dll;
CoQueryProxyBlanket;code;api-ms-win-core-com-l1-1-1.dll;
CoRegisterActivationFilter;code;api-ms-win-core-com-l1-1-1.dll;
CoRegisterClassObject;code;api-ms-win-core-com-l1-1-1.dll;
CoRegisterPSClsid;code;api-ms-win-core-com-l1-1-1.dll;
CoRegisterSurrogate;code;api-ms-win-core-com-l1-1-1.dll;
CoReleaseMarshalData;code;api-ms-win-core-com-l1-1-1.dll;
CoReleaseServerProcess;code;api-ms-win-core-com-l1-1-1.dll;
CoResumeClassObjects;code;api-ms-win-core-com-l1-1-1.dll;
CoRevertToSelf;code;api-ms-win-core-com-l1-1-1.dll;
CoRevokeClassObject;code;api-ms-win-core-com-l1-1-1.dll;
CoSetCancelObject;code;api-ms-win-core-com-l1-1-1.dll;
CoSetProxyBlanket;code;api-ms-win-core-com-l1-1-1.dll;
CoSuspendClassObjects;code;api-ms-win-core-com-l1-1-1.dll;
CoSwitchCallContext;code;api-ms-win-core-com-l1-1-1.dll;
CoTaskMemAlloc;code;api-ms-win-core-com-l1-1-1.dll;
