Name;Type;DLL;SymbolOrOrdinal
AppendPropVariant;code;MF.dll;_AppendPropVariant@8
ConvertPropVariant;code;MF.dll;_ConvertPropVariant@8
CopyPropertyStore;code;MF.dll;_CopyPropertyStore@12
CreateNamedPropertyStore;code;MF.dll;_CreateNamedPropertyStore@4
ExtractPropVariant;code;MF.dll;_ExtractPropVariant@12
MFCreate3GPMediaSink;code;MF.dll;_MFCreate3GPMediaSink@16
MFCreateAC3MediaSink;code;MF.dll;_MFCreateAC3MediaSink@12
MFCreateADTSMediaSink;code;MF.dll;_MFCreateADTSMediaSink@12
MFCreateASFContentInfo;code;MF.dll;_MFCreateASFContentInfo@4
MFCreateASFIndexer;code;MF.dll;_MFCreateASFIndexer@4
MFCreateASFIndexerByteStream;code;MF.dll;_MFCreateASFIndexerByteStream@16
MFCreateASFMediaSink;code;MF.dll;_MFCreateASFMediaSink@8
MFCreateASFMediaSinkActivate;code;MF.dll;_MFCreateASFMediaSinkActivate@12
MFCreateASFMultiplexer;code;MF.dll;_MFCreateASFMultiplexer@4
MFCreateASFProfile;code;MF.dll;_MFCreateASFProfile@4
MFCreateASFProfileFromPresentationDescriptor;code;MF.dll;_MFCreateASFProfileFromPresentationDescriptor@8
MFCreateASFSplitter;code;MF.dll;_MFCreateASFSplitter@4
MFCreateASFStreamSelector;code;MF.dll;_MFCreateASFStreamSelector@8
MFCreateASFStreamingMediaSink;code;MF.dll;_MFCreateASFStreamingMediaSink@8
MFCreateASFStreamingMediaSinkActivate;code;MF.dll;_MFCreateASFStreamingMediaSinkActivate@12
MFCreateAggregateSource;code;MF.dll;_MFCreateAggregateSource@8
MFCreateAppSourceProxy;code;MF.dll;_MFCreateAppSourceProxy@12
MFCreateAudioRenderer;code;MF.dll;_MFCreateAudioRenderer@8
MFCreateAudioRendererActivate;code;MF.dll;_MFCreateAudioRendererActivate@4
MFCreateCredentialCache;code;MF.dll;_MFCreateCredentialCache@4
MFCreateDeviceSource;code;MF.dll;_MFCreateDeviceSource@8
MFCreateDeviceSourceActivate;code;MF.dll;_MFCreateDeviceSourceActivate@8
MFCreateDrmNetNDSchemePlugin;code;MF.dll;_MFCreateDrmNetNDSchemePlugin@8
MFCreateFMPEG4MediaSink;code;MF.dll;_MFCreateFMPEG4MediaSink@16
MFCreateHttpSchemePlugin;code;MF.dll;_MFCreateHttpSchemePlugin@8
MFCreateMP3MediaSink;code;MF.dll;_MFCreateMP3MediaSink@8
MFCreateMPEG4MediaSink;code;MF.dll;_MFCreateMPEG4MediaSink@16
MFCreateMediaProcessor;code;MF.dll;_MFCreateMediaProcessor@4
MFCreateMediaSession;code;MF.dll;_MFCreateMediaSession@8
MFCreateMuxSink;code;MF.dll;_MFCreateMuxSink@28
MFCreateNetSchemePlugin;code;MF.dll;_MFCreateNetSchemePlugin@8
MFCreatePMPHost;code;MF.dll;_MFCreatePMPHost@12
MFCreatePMPMediaSession;code;MF.dll;_MFCreatePMPMediaSession@16
MFCreatePMPServer;code;MF.dll;_MFCreatePMPServer@8
