Name;Type;DLL;SymbolOrOrdinal
_OleUIAddVerbMenuA@36;code;oledlg.dll;1
OleUIAddVerbMenuW;code;oledlg.dll;_OleUIAddVerbMenuW@36
_OleUIBusyA@4;code;oledlg.dll;8
OleUIBusyW;code;oledlg.dll;_OleUIBusyW@4
_OleUICanConvertOrActivateAs@12;code;oledlg.dll;2
_OleUIChangeIconA@4;code;oledlg.dll;6
OleUIChangeIconW;code;oledlg.dll;_OleUIChangeIconW@4
_OleUIChangeSourceA@4;code;oledlg.dll;12
OleUIChangeSourceW;code;oledlg.dll;_OleUIChangeSourceW@4
_OleUIConvertA@4;code;oledlg.dll;7
OleUIConvertW;code;oledlg.dll;_OleUIConvertW@4
_OleUIEditLinksA@4;code;oledlg.dll;5
OleUIEditLinksW;code;oledlg.dll;_OleUIEditLinksW@4
_OleUIInsertObjectA@4;code;oledlg.dll;3
OleUIInsertObjectW;code;oledlg.dll;_OleUIInsertObjectW@4
_OleUIObjectPropertiesA@4;code;oledlg.dll;11
OleUIObjectPropertiesW;code;oledlg.dll;_OleUIObjectPropertiesW@4
_OleUIPasteSpecialA@4;code;oledlg.dll;4
OleUIPasteSpecialW;code;oledlg.dll;_OleUIPasteSpecialW@4
_OleUIPromptUserA;code;oledlg.dll;10
OleUIPromptUserW;code;oledlg.dll;_OleUIPromptUserW
_OleUIUpdateLinksA@16;code;oledlg.dll;9
OleUIUpdateLinksW;code;oledlg.dll;_OleUIUpdateLinksW@16
