Name;Type;DLL;SymbolOrOrdinal
AvCreateTaskIndex;code;AVRT.dll;_AvCreateTaskIndex@12
AvQuerySystemResponsiveness;code;AVRT.dll;_AvQuerySystemResponsiveness@8
AvQueryTaskIndexValue;code;AVRT.dll;_AvQueryTaskIndexValue@8
AvRevertMmThreadCharacteristics;code;AVRT.dll;_AvRevertMmThreadCharacteristics@4
AvRtCreateThreadOrderingGroup;code;AVRT.dll;_AvRtCreateThreadOrderingGroup@16
AvRtCreateThreadOrderingGroupExA;code;AVRT.dll;_AvRtCreateThreadOrderingGroupExA@20
AvRtCreateThreadOrderingGroupExW;code;AVRT.dll;_AvRtCreateThreadOrderingGroupExW@20
AvRtDeleteThreadOrderingGroup;code;AVRT.dll;_AvRtDeleteThreadOrderingGroup@4
AvRtJoinThreadOrderingGroup;code;AVRT.dll;_AvRtJoinThreadOrderingGroup@12
AvRtLeaveThreadOrderingGroup;code;AVRT.dll;_AvRtLeaveThreadOrderingGroup@4
AvRtWaitOnThreadOrderingGroup;code;AVRT.dll;_AvRtWaitOnThreadOrderingGroup@4
AvSetMmMaxThreadCharacteristicsA;code;AVRT.dll;_AvSetMmMaxThreadCharacteristicsA@12
AvSetMmMaxThreadCharacteristicsW;code;AVRT.dll;_AvSetMmMaxThreadCharacteristicsW@12
AvSetMmThreadCharacteristicsA;code;AVRT.dll;_AvSetMmThreadCharacteristicsA@8
AvSetMmThreadCharacteristicsW;code;AVRT.dll;_AvSetMmThreadCharacteristicsW@8
AvSetMmThreadPriority;code;AVRT.dll;_AvSetMmThreadPriority@8
AvSetMultimediaMode;code;AVRT.dll;_AvSetMultimediaMode@8
AvTaskIndexYield;code;AVRT.dll;_AvTaskIndexYield@8
AvTaskIndexYieldCancel;code;AVRT.dll;_AvTaskIndexYieldCancel@4
AvThreadOpenTaskIndex;code;AVRT.dll;_AvThreadOpenTaskIndex@4
