Name;Type;DLL;SymbolOrOrdinal
GdipAddPathArc;code;gdiplus.dll;_GdipAddPathArc@28
GdipAddPathArcI;code;gdiplus.dll;_GdipAddPathArcI@28
GdipAddPathBezier;code;gdiplus.dll;_GdipAddPathBezier@36
GdipAddPathBezierI;code;gdiplus.dll;_GdipAddPathBezierI@36
GdipAddPathBeziers;code;gdiplus.dll;_GdipAddPathBeziers@12
GdipAddPathBeziersI;code;gdiplus.dll;_GdipAddPathBeziersI@12
GdipAddPathClosedCurve2;code;gdiplus.dll;_GdipAddPathClosedCurve2@16
GdipAddPathClosedCurve2I;code;gdiplus.dll;_GdipAddPathClosedCurve2I@16
GdipAddPathClosedCurve;code;gdiplus.dll;_GdipAddPathClosedCurve@12
GdipAddPathClosedCurveI;code;gdiplus.dll;_GdipAddPathClosedCurveI@12
GdipAddPathCurve2;code;gdiplus.dll;_GdipAddPathCurve2@16
GdipAddPathCurve2I;code;gdiplus.dll;_GdipAddPathCurve2I@16
GdipAddPathCurve3;code;gdiplus.dll;_GdipAddPathCurve3@24
GdipAddPathCurve3I;code;gdiplus.dll;_GdipAddPathCurve3I@24
GdipAddPathCurve;code;gdiplus.dll;_GdipAddPathCurve@12
GdipAddPathCurveI;code;gdiplus.dll;_GdipAddPathCurveI@12
GdipAddPathEllipse;code;gdiplus.dll;_GdipAddPathEllipse@20
GdipAddPathEllipseI;code;gdiplus.dll;_GdipAddPathEllipseI@20
GdipAddPathLine2;code;gdiplus.dll;_GdipAddPathLine2@12
GdipAddPathLine2I;code;gdiplus.dll;_GdipAddPathLine2I@12
GdipAddPathLine;code;gdiplus.dll;_GdipAddPathLine@20
GdipAddPathLineI;code;gdiplus.dll;_GdipAddPathLineI@20
GdipAddPathPath;code;gdiplus.dll;_GdipAddPathPath@12
GdipAddPathPie;code;gdiplus.dll;_GdipAddPathPie@28
GdipAddPathPieI;code;gdiplus.dll;_GdipAddPathPieI@28
GdipAddPathPolygon;code;gdiplus.dll;_GdipAddPathPolygon@12
GdipAddPathPolygonI;code;gdiplus.dll;_GdipAddPathPolygonI@12
GdipAddPathRectangle;code;gdiplus.dll;_GdipAddPathRectangle@20
GdipAddPathRectangleI;code;gdiplus.dll;_GdipAddPathRectangleI@20
GdipAddPathRectangles;code;gdiplus.dll;_GdipAddPathRectangles@12
GdipAddPathRectanglesI;code;gdiplus.dll;_GdipAddPathRectanglesI@12
GdipAddPathString;code;gdiplus.dll;_GdipAddPathString@32
GdipAddPathStringI;code;gdiplus.dll;_GdipAddPathStringI@32
GdipAlloc;code;gdiplus.dll;_GdipAlloc@4
GdipBeginContainer2;code;gdiplus.dll;_GdipBeginContainer2@8
GdipBeginContainer;code;gdiplus.dll;_GdipBeginContainer@20
GdipBeginContainerI;code;gdiplus.dll;_GdipBeginContainerI@20
GdipBitmapApplyEffect;code;gdiplus.dll;_GdipBitmapApplyEffect@24
GdipBitmapConvertFormat;code;gdiplus.dll;_GdipBitmapConvertFormat@24
GdipBitmapCreateApplyEffect;code;gdiplus.dll;_GdipBitmapCreateApplyEffect@36
GdipBitmapGetHistogram;code;gdiplus.dll;_GdipBitmapGetHistogram@28
GdipBitmapGetHistogramSize;code;gdiplus.dll;_GdipBitmapGetHistogramSize@8
GdipBitmapGetPixel;code;gdiplus.dll;_GdipBitmapGetPixel@16
GdipBitmapLockBits;code;gdiplus.dll;_GdipBitmapLockBits@20
