Name;Type;DLL;SymbolOrOrdinal
GetRestrictedErrorInfo;code;api-ms-win-core-winrt-error-l1-1-0.dll;_GetRestrictedErrorInfo@4
RoCaptureErrorContext;code;api-ms-win-core-winrt-error-l1-1-0.dll;_RoCaptureErrorContext@4
RoFailFastWithErrorContext;code;api-ms-win-core-winrt-error-l1-1-0.dll;_RoFailFastWithErrorContext@4
RoGetErrorReportingFlags;code;api-ms-win-core-winrt-error-l1-1-0.dll;_RoGetErrorReportingFlags@4
RoOriginateError;code;api-ms-win-core-winrt-error-l1-1-0.dll;_RoOriginateError@8
RoOriginateErrorW;code;api-ms-win-core-winrt-error-l1-1-0.dll;_RoOriginateErrorW@12
RoResolveRestrictedErrorInfoReference;code;api-ms-win-core-winrt-error-l1-1-0.dll;_RoResolveRestrictedErrorInfoReference@8
RoSetErrorReportingFlags;code;api-ms-win-core-winrt-error-l1-1-0.dll;_RoSetErrorReportingFlags@4
RoTransformError;code;api-ms-win-core-winrt-error-l1-1-0.dll;_RoTransformError@12
RoTransformErrorW;code;api-ms-win-core-winrt-error-l1-1-0.dll;_RoTransformErrorW@16
SetRestrictedErrorInfo;code;api-ms-win-core-winrt-error-l1-1-0.dll;_SetRestrictedErrorInfo@4
IsErrorPropagationEnabled;code;api-ms-win-core-winrt-error-l1-1-1.dll;_IsErrorPropagationEnabled@0
RoClearError;code;api-ms-win-core-winrt-error-l1-1-1.dll;_RoClearError@0
RoGetMatchingRestrictedErrorInfo;code;api-ms-win-core-winrt-error-l1-1-1.dll;_RoGetMatchingRestrictedErrorInfo@8
RoInspectCapturedStackBackTrace;code;api-ms-win-core-winrt-error-l1-1-1.dll;_RoInspectCapturedStackBackTrace@24
RoInspectThreadErrorInfo;code;api-ms-win-core-winrt-error-l1-1-1.dll;_RoInspectThreadErrorInfo@20
RoOriginateLanguageException;code;api-ms-win-core-winrt-error-l1-1-1.dll;_RoOriginateLanguageException@12
RoReportFailedDelegate;code;api-ms-win-core-winrt-error-l1-1-1.dll;_RoReportFailedDelegate@8
RoReportUnhandledError;code;api-ms-win-core-winrt-error-l1-1-1.dll;_RoReportUnhandledError@4
RoActivateInstance;code;api-ms-win-core-winrt-l1-1-0.dll;_RoActivateInstance@8
RoGetActivationFactory;code;api-ms-win-core-winrt-l1-1-0.dll;_RoGetActivationFactory@12
RoGetApartmentIdentifier;code;api-ms-win-core-winrt-l1-1-0.dll;_RoGetApartmentIdentifier@4
RoInitialize;code;api-ms-win-core-winrt-l1-1-0.dll;_RoInitialize@4
RoRegisterActivationFactories;code;api-ms-win-core-winrt-l1-1-0.dll;_RoRegisterActivationFactories@16
RoRegisterForApartmentShutdown;code;api-ms-win-core-winrt-l1-1-0.dll;_RoRegisterForApartmentShutdown@12
RoRevokeActivationFactories;code;api-ms-win-core-winrt-l1-1-0.dll;_RoRevokeActivationFactories@4
RoUninitialize;code;api-ms-win-core-winrt-l1-1-0.dll;_RoUninitialize@0
RoUnregisterForApartmentShutdown;code;api-ms-win-core-winrt-l1-1-0.dll;_RoUnregisterForApartmentShutdown@4
RoGetActivatableClassRegistration;code;api-ms-win-core-winrt-registration-l1-1-0.dll;_RoGetActivatableClassRegistration@8
RoGetServerActivatableClasses;code;api-ms-win-core-winrt-registration-l1-1-0.dll;_RoGetServerActivatableClasses@12
RoGetBufferMarshaler;code;api-ms-win-core-winrt-robuffer-l1-1-0.dll;_RoGetBufferMarshaler@4
RoFreeParameterizedTypeExtra;code;api-ms-win-core-winrt-roparameterizediid-l1-1-0.dll;_RoFreeParameterizedTypeExtra@4
RoGetParameterizedTypeInstanceIID;code;api-ms-win-core-winrt-roparameterizediid-l1-1-0.dll;_RoGetParameterizedTypeInstanceIID@20
RoParameterizedTypeExtraGetTypeSignature;code;api-ms-win-core-winrt-roparameterizediid-l1-1-0.dll;_RoParameterizedTypeExtraGetTypeSignature@4
HSTRING_UserFree;code;api-ms-win-core-winrt-string-l1-1-0.dll;_HSTRING_UserFree@8
HSTRING_UserMarshal;code;api-ms-win-core-winrt-string-l1-1-0.dll;_HSTRING_UserMarshal@12
HSTRING_UserSize;code;api-ms-win-core-winrt-string-l1-1-0.dll;_HSTRING_UserSize@12
HSTRING_UserUnmarshal;code;api-ms-win-core-winrt-string-l1-1-0.dll;_HSTRING_UserUnmarshal@12
WindowsCompareStringOrdinal;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsCompareStringOrdinal@12
WindowsConcatString;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsConcatString@12
WindowsCreateString;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsCreateString@12
WindowsCreateStringReference;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsCreateStringReference@16
WindowsDeleteString;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsDeleteString@4
WindowsDeleteStringBuffer;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsDeleteStringBuffer@4
WindowsDuplicateString;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsDuplicateString@8
WindowsGetStringLen;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsGetStringLen@4
WindowsGetStringRawBuffer;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsGetStringRawBuffer@8
WindowsInspectString;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsInspectString@24
WindowsIsStringEmpty;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsIsStringEmpty@4
WindowsPreallocateStringBuffer;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsPreallocateStringBuffer@12
WindowsPromoteStringBuffer;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsPromoteStringBuffer@8
WindowsReplaceString;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsReplaceString@16
WindowsStringHasEmbeddedNull;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsStringHasEmbeddedNull@8
WindowsSubstring;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsSubstring@12
WindowsSubstringWithSpecifiedLength;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsSubstringWithSpecifiedLength@16
WindowsTrimStringEnd;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsTrimStringEnd@12
WindowsTrimStringStart;code;api-ms-win-core-winrt-string-l1-1-0.dll;_WindowsTrimStringStart@12
RoGetMetaDataFile;code;api-ms-win-ro-typeresolution-l1-1-0.dll;_RoGetMetaDataFile@20
RoParseTypeName;code;api-ms-win-ro-typeresolution-l1-1-0.dll;_RoParseTypeName@12
RoResolveNamespace;code;api-ms-win-ro-typeresolution-l1-1-0.dll;_RoResolveNamespace@32
