Name;Type;DLL;SymbolOrOrdinal
AcceptSecurityContext;code;Security.dll;_AcceptSecurityContext@36
AcquireCredentialsHandleA;code;Security.dll;_AcquireCredentialsHandleA@36
AcquireCredentialsHandleW;code;Security.dll;_AcquireCredentialsHandleW@36
AddSecurityPackageA;code;Security.dll;_AddSecurityPackageA@8
AddSecurityPackageW;code;Security.dll;_AddSecurityPackageW@8
ApplyControlToken;code;Security.dll;_ApplyControlToken@8
CompleteAuthToken;code;Security.dll;_CompleteAuthToken@8
DecryptMessage;code;Security.dll;_DecryptMessage@16
DeleteSecurityContext;code;Security.dll;_DeleteSecurityContext@4
DeleteSecurityPackageA;code;Security.dll;_DeleteSecurityPackageA@4
DeleteSecurityPackageW;code;Security.dll;_DeleteSecurityPackageW@4
EncryptMessage;code;Security.dll;_EncryptMessage@16
EnumerateSecurityPackagesA;code;Security.dll;_EnumerateSecurityPackagesA@8
EnumerateSecurityPackagesW;code;Security.dll;_EnumerateSecurityPackagesW@8
ExportSecurityContext;code;Security.dll;_ExportSecurityContext@16
FreeContextBuffer;code;Security.dll;_FreeContextBuffer@4
FreeCredentialsHandle;code;Security.dll;_FreeCredentialsHandle@4
ImpersonateSecurityContext;code;Security.dll;_ImpersonateSecurityContext@4
ImportSecurityContextA;code;Security.dll;_ImportSecurityContextA@16
ImportSecurityContextW;code;Security.dll;_ImportSecurityContextW@16
InitSecurityInterfaceA;code;Security.dll;_InitSecurityInterfaceA@0
InitSecurityInterfaceW;code;Security.dll;_InitSecurityInterfaceW@0
InitializeSecurityContextA;code;Security.dll;_InitializeSecurityContextA@48
InitializeSecurityContextW;code;Security.dll;_InitializeSecurityContextW@48
MakeSignature;code;Security.dll;_MakeSignature@16
QueryContextAttributesA;code;Security.dll;_QueryContextAttributesA@12
QueryContextAttributesW;code;Security.dll;_QueryContextAttributesW@12
QueryCredentialsAttributesA;code;Security.dll;_QueryCredentialsAttributesA@12
QueryCredentialsAttributesW;code;Security.dll;_QueryCredentialsAttributesW@12
QuerySecurityContextToken;code;Security.dll;_QuerySecurityContextToken@8
QuerySecurityPackageInfoA;code;Security.dll;_QuerySecurityPackageInfoA@8
QuerySecurityPackageInfoW;code;Security.dll;_QuerySecurityPackageInfoW@8
RevertSecurityContext;code;Security.dll;_RevertSecurityContext@4
SealMessage;code;Security.dll;_SealMessage@16
UnsealMessage;code;Security.dll;_UnsealMessage@16
VerifySignature;code;Security.dll;_VerifySignature@16
