Name;Type;DLL;SymbolOrOrdinal
?AddIpPerInterfaceBlocks@@YAJPAUIInterfaceInfo@@PAUIInfoBase@@@Z;code;MPRSNAP.dll;
?ConnectInterface@@YAKPBG0HPAUHWND__@@@Z;code;MPRSNAP.dll;
?ConnectInterfaceEx@@YAKPAX0HPAUHWND__@@PBG@Z;code;MPRSNAP.dll;
?ConnectRegistry@@YAKPBGPAPAUHKEY__@@@Z;code;MPRSNAP.dll;
?ConnectRouter@@YAKPBGPAPAX@Z;code;MPRSNAP.dll;
?CreateInfoBase@@YAJPAPAUIInfoBase@@@Z;code;MPRSNAP.dll;
?CreateInterfaceInfo@@YAJPAPAUIInterfaceInfo@@PBGK@Z;code;MPRSNAP.dll;
?CreateInterfaceInfoAggregation@@YAJPAUIInterfaceInfo@@PAUIUnknown@@PAPAU2@@Z;code;MPRSNAP.dll;
?CreateRouterInfo@@YAJPAPAUIRouterInfo@@PAUHWND__@@PBG@Z;code;MPRSNAP.dll;
?CreateRouterInfoAggregation@@YAJPAUIRouterInfo@@PAUIUnknown@@PAPAU2@@Z;code;MPRSNAP.dll;
?CreateRtrMgrInfoAggregation@@YAJPAUIRtrMgrInfo@@PAUIUnknown@@PAPAU2@@Z;code;MPRSNAP.dll;
?CreateRtrMgrInterfaceInfo@@YAJPAPAUIRtrMgrInterfaceInfo@@PBGK1K@Z;code;MPRSNAP.dll;
?CreateRtrMgrInterfaceInfoAggregation@@YAJPAUIRtrMgrInterfaceInfo@@PAUIUnknown@@PAPAU2@@Z;code;MPRSNAP.dll;
?CreateRtrMgrProtocolInfo@@YAJPAPAUIRtrMgrProtocolInfo@@PBU_RtrMgrProtocolCB@@@Z;code;MPRSNAP.dll;
?CreateRtrMgrProtocolInfoAggregation@@YAJPAUIRtrMgrProtocolInfo@@PAUIUnknown@@PAPAU2@@Z;code;MPRSNAP.dll;
?CreateRtrMgrProtocolInterfaceInfo@@YAJPAPAUIRtrMgrProtocolInterfaceInfo@@PBURtrMgrProtocolInterfaceCB@@@Z;code;MPRSNAP.dll;
?CreateRtrMgrProtocolInterfaceInfoAggregation@@YAJPAUIRtrMgrProtocolInterfaceInfo@@PAUIUnknown@@PAPAU2@@Z;code;MPRSNAP.dll;
?DisconnectRegistry@@YAXPAUHKEY__@@@Z;code;MPRSNAP.dll;
?ErasePSK@@YAJPBG@Z;code;MPRSNAP.dll;
?ForceGlobalRefresh@@YAJPAUIRouterInfo@@@Z;code;MPRSNAP.dll;
?GetNTVersion@@YAKPAUHKEY__@@PAK11@Z;code;MPRSNAP.dll;
?GetRouterServiceStartType@@YAJPBGPAK@Z;code;MPRSNAP.dll;
?GetRouterServiceStatus@@YAJPBGPAK1@Z;code;MPRSNAP.dll;
?GetRouterUpTime@@YAKPBGPAK@Z;code;MPRSNAP.dll;
?IsNT4Machine@@YAKPAUHKEY__@@PAH@Z;code;MPRSNAP.dll;
?IsRouterServiceRunning@@YAJPBGPAK@Z;code;MPRSNAP.dll;
?LoadInfoBase@@YAJPAX0PAPAUIInfoBase@@1@Z;code;MPRSNAP.dll;
?LookupRtrMgr@@YAJPAUIRouterInfo@@KPAPAUIRtrMgrInfo@@@Z;code;MPRSNAP.dll;
?LookupRtrMgrInterface@@YAJPAUIRouterInfo@@PBGKPAPAUIRtrMgrInterfaceInfo@@@Z;code;MPRSNAP.dll;
?LookupRtrMgrProtocol@@YAJPAUIRouterInfo@@KKPAPAUIRtrMgrProtocolInfo@@@Z;code;MPRSNAP.dll;
?LookupRtrMgrProtocolInterface@@YAJPAUIInterfaceInfo@@KKPAPAUIRtrMgrProtocolInterfaceInfo@@@Z;code;MPRSNAP.dll;
?PauseRouterService@@YAJPBG@Z;code;MPRSNAP.dll;
?PromptForCredentials@@YAKPBG0HHPAUHWND__@@@Z;code;MPRSNAP.dll;
?QueryRouterType@@YAJPAUHKEY__@@PAKPAU_RouterVersionInfo@@@Z;code;MPRSNAP.dll;
?QueryRouterVersionInfo@@YAJPAUHKEY__@@PAU_RouterVersionInfo@@@Z;code;MPRSNAP.dll;
?ResumeRouterService@@YAJPBG@Z;code;MPRSNAP.dll;
?SetRouterServiceStartType@@YAJPBGK@Z;code;MPRSNAP.dll;
SetupWithCYS;code;MPRSNAP.dll;?SetupWithCYS@@YAJKPAPAX@Z (long __cdecl SetupWithCYS(unsigned long,void * *))
?StartRAMgmtService@@YAJPBG@Z;code;MPRSNAP.dll;
?StartRouterService@@YAJPBGH@Z;code;MPRSNAP.dll;
?StopRAMgmtService@@YAJPBG@Z;code;MPRSNAP.dll;
?StopRouterService@@YAJPBG@Z;code;MPRSNAP.dll;
?UpdateDDM@@YAKPAUIInterfaceInfo@@@Z;code;MPRSNAP.dll;
?UpdateRoutes@@YAKPBG0KPAUHWND__@@@Z;code;MPRSNAP.dll;
?UpdateRoutesEx@@YAKPAX0KPAUHWND__@@PBG@Z;code;MPRSNAP.dll;
MprConfigServerUnattendedInstall;code;MPRSNAP.dll;
