Name;Type;DLL;SymbolOrOrdinal
??0?$AutoCleanup@V?$AutoDelete@D@@PAD@@QAA@PAD@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@G@@PAG@@QAA@PAG@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@UIPRange@CWSManIPFilter@@@@PAUIPRange@CWSManIPFilter@@@@QAA@PAUIPRange@CWSManIPFilter@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@U_SID@@@@PAU_SID@@@@QAA@PAU_SID@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@U_WSMAN_STREAM_ID_SET@@@@PAU_WSMAN_STREAM_ID_SET@@@@QAA@PAU_WSMAN_STREAM_ID_SET@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@V?$Handle@VISubscription@@@@@@PAV?$Handle@VISubscription@@@@@@QAA@PAV?$Handle@VISubscription@@@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@V?$SafeMap_Iterator@VStringKeyCI@@K@@@@PAV?$SafeMap_Iterator@VStringKeyCI@@K@@@@QAA@PAV?$SafeMap_Iterator@VStringKeyCI@@K@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@V?$SafeMap_Iterator@W4WSManSessionOption@@PAVOptionValue@SessionOptions@Client@WSMan@@@@@@PAV?$SafeMap_Iterator@W4WSManSessionOption@@PAVOptionValue@SessionOptions@Client@WSMan@@@@@@QAA@PAV?$SafeMap_Iterator@W4WSManSessionOption@@PAVOptionValue@SessionOptions@Client@WSMan@@@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@V?$SafeSet@PAVCCertMapping@@@@@@PAV?$SafeSet@PAVCCertMapping@@@@@@QAA@PAV?$SafeSet@PAVCCertMapping@@@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@V?$SafeSet@PAVCShellUriSettings@@@@@@PAV?$SafeSet@PAVCShellUriSettings@@@@@@QAA@PAV?$SafeSet@PAVCShellUriSettings@@@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@V?$SafeSet_Iterator@PAVCListenerOperation@@@@@@PAV?$SafeSet_Iterator@PAVCListenerOperation@@@@@@QAA@PAV?$SafeSet_Iterator@PAVCListenerOperation@@@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@V?$SimpleStack@VCListenerOperation@@@@@@PAV?$SimpleStack@VCListenerOperation@@@@@@QAA@PAV?$SimpleStack@VCListenerOperation@@@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@V?$SimpleStack@VShellHostEntry@@@@@@PAV?$SimpleStack@VShellHostEntry@@@@@@QAA@PAV?$SimpleStack@VShellHostEntry@@@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@V?$set@PAVCListenerSettings@@VCListenerSettingsLessFunctor@CServiceConfigSettings@@V?$transport_allocator@PAVCListenerSettings@@@@@std@@@@PAV?$set@PAVCListenerSettings@@VCListenerSettingsLessFunctor@CServiceConfigSettings@@V?$transport_allocator@PAVCListenerSettings@@@@@std@@@@QAA@PAV?$set@PAVCListenerSettings@@VCListenerSettingsLessFunctor@CServiceConfigSettings@@V?$transport_allocator@PAVCListenerSettings@@@@@std@@@Z;code;WsmSvc.DLL;
??0?$AutoCleanup@V?$AutoDelete@V?$set@Usockaddr_storage@@VSockAddrLessFunctor@CListenerSettings@@V?$transport_allocator@Usockaddr_storage@@@@@std@@@@PAV?$set@Usockaddr_storage@@VSockAddrLessFunctor@CListenerSettings@@V?$transport_allocator@Usockaddr_storage@@@@@std@@@@QAA@PAV?$set@Usockaddr_storage@@VSockAddrLessFunctor@CListenerSettings@@V?$transport_allocator@Usockaddr_storage@@@@@std@@@Z;code;WsmSvc.DLL;
