Name;Type;DLL;SymbolOrOrdinal
AdamFetchDemotionInfo;code;NTDSETUP.dll;
AdamGetCrossRefs;code;NTDSETUP.dll;
FreeDemotionInfo;code;NTDSETUP.dll;
NtdsAdamValidateInst;code;NTDSETUP.dll;
NtdsAdamValidateServiceAccount;code;NTDSETUP.dll;
NtdsAdamVerifyBind;code;NTDSETUP.dll;
NtdsCheckMachineAccountFlags;code;NTDSETUP.dll;
NtdsDemote;code;NTDSETUP.dll;
NtdsFreeDnsRRInfo;code;NTDSETUP.dll;
NtdsGetDefaultDnsName;code;NTDSETUP.dll;
NtdsInstall;code;NTDSETUP.dll;
NtdsInstallCancel;code;NTDSETUP.dll;
NtdsInstallReplicateFull;code;NTDSETUP.dll;
NtdsInstallShutdown;code;NTDSETUP.dll;
NtdsInstallUndo;code;NTDSETUP.dll;
NtdsPrepareForDemotion;code;NTDSETUP.dll;
NtdsPrepareForDemotionUndo;code;NTDSETUP.dll;
NtdsPrepareForDsUpgrade;code;NTDSETUP.dll;
NtdsSetReplicaMachineAccount;code;NTDSETUP.dll;
NtdspConfigRegistry;code;NTDSETUP.dll;
NtdspDNStoRFC1779Name;code;NTDSETUP.dll;
NtdspFindSite;code;NTDSETUP.dll;
NtdspValidateInstallParameters;code;NTDSETUP.dll;
NtdspVerifyDsEnvironment;code;NTDSETUP.dll;
