Name;Type;DLL;SymbolOrOrdinal
NtFrsApiDestroyBackupRestore;code;NTFRSAPI.DLL;
NtFrsApiEnumBackupRestoreSets;code;NTFRSAPI.DLL;
NtFrsApiFinishedRestoringDirectory;code;NTFRSAPI.DLL;
NtFrsApiGetBackupRestoreSetDirectory;code;NTFRSAPI.DLL;
NtFrsApiGetBackupRestoreSetGuid;code;NTFRSAPI.DLL;
NtFrsApiGetBackupRestoreSetPaths;code;NTFRSAPI.DLL;
NtFrsApiGetBackupRestoreSetType;code;NTFRSAPI.DLL;
NtFrsApiGetBackupRestoreSets;code;NTFRSAPI.DLL;
NtFrsApiInitializeBackupRestore;code;NTFRSAPI.DLL;
NtFrsApiIsBackupRestoreSetASysvol;code;NTFRSAPI.DLL;
NtFrsApiRestoringDirectory;code;NTFRSAPI.DLL;
NtFrsApi_AbortDemotionW;code;NTFRSAPI.DLL;
NtFrsApi_AbortPromotionW;code;NTFRSAPI.DLL;
NtFrsApi_CommitDemotionW;code;NTFRSAPI.DLL;
NtFrsApi_CommitPromotionW;code;NTFRSAPI.DLL;
NtFrsApi_DeleteSysvolMember;code;NTFRSAPI.DLL;
NtFrsApi_ForceReplication;code;NTFRSAPI.DLL;
NtFrsApi_Get_DsPollingIntervalW;code;NTFRSAPI.DLL;
NtFrsApi_InfoFreeW;code;NTFRSAPI.DLL;
NtFrsApi_InfoLineW;code;NTFRSAPI.DLL;
NtFrsApi_InfoMoreW;code;NTFRSAPI.DLL;
NtFrsApi_InfoW;code;NTFRSAPI.DLL;
NtFrsApi_IsPathReplicated;code;NTFRSAPI.DLL;
NtFrsApi_PrepareForDemotionUsingCredW;code;NTFRSAPI.DLL;
NtFrsApi_PrepareForDemotionW;code;NTFRSAPI.DLL;
NtFrsApi_PrepareForPromotionW;code;NTFRSAPI.DLL;
NtFrsApi_PrepareForUnload;code;NTFRSAPI.DLL;
NtFrsApi_Set_DsPollingIntervalW;code;NTFRSAPI.DLL;
NtFrsApi_StartDemotionW;code;NTFRSAPI.DLL;
NtFrsApi_StartPromotionW;code;NTFRSAPI.DLL;
NtFrsApi_WaitForDemotionW;code;NTFRSAPI.DLL;
NtFrsApi_WaitForPromotionW;code;NTFRSAPI.DLL;
NtFrsApi_WriterCommand;code;NTFRSAPI.DLL;
