Name;Type;DLL;SymbolOrOrdinal
BindPTProviderThunk;code;prntvpt.dll;
ConvertDevModeToPrintTicketThunk;code;prntvpt.dll;
ConvertDevModeToPrintTicketThunk2;code;prntvpt.dll;
ConvertPrintTicketToDevModeThunk;code;prntvpt.dll;
ConvertPrintTicketToDevModeThunk2;code;prntvpt.dll;
DllMain;code;prntvpt.dll;
GetDeviceDefaultPrintTicketThunk;code;prntvpt.dll;
GetDeviceNamespacesThunk;code;prntvpt.dll;
GetPrintCapabilitiesThunk;code;prntvpt.dll;
GetPrintCapabilitiesThunk2;code;prntvpt.dll;
GetSchemaVersionThunk;code;prntvpt.dll;
MergeAndValidatePrintTicketThunk;code;prntvpt.dll;
MergeAndValidatePrintTicketThunk2;code;prntvpt.dll;
PTCloseProvider;code;prntvpt.dll;4
PTConvertDevModeToPrintTicket;code;prntvpt.dll;9
PTConvertPrintTicketToDevMode;code;prntvpt.dll;8
PTGetPrintCapabilities;code;prntvpt.dll;6
PTMergeAndValidatePrintTicket;code;prntvpt.dll;7
PTOpenProvider;code;prntvpt.dll;2
PTOpenProviderEx;code;prntvpt.dll;3
PTQuerySchemaVersionSupport;code;prntvpt.dll;1
PTReleaseMemory;code;prntvpt.dll;10
UnbindPTProviderThunk;code;prntvpt.dll;
