Name;Type;DLL;SymbolOrOrdinal
CloseLsaPerformanceData;code;Secur32.dll;?CloseLsaPerformanceData@@YAKXZ (unsigned long __cdecl CloseLsaPerformanceData(void))
CollectLsaPerformanceData;code;Secur32.dll;?CollectLsaPerformanceData@@YAKPAGPAPAXPAK2@Z (unsigned long __cdecl CollectLsaPerformanceData(unsigned short *,void * *,unsigned long *,unsigned long *))
OpenLsaPerformanceData;code;Secur32.dll;?OpenLsaPerformanceData@@YAKPAG@Z (unsigned long __cdecl OpenLsaPerformanceData(unsigned short *))
AcceptSecurityContext;code;Secur32.dll;
AcquireCredentialsHandleA;code;Secur32.dll;
AcquireCredentialsHandleW;code;Secur32.dll;
AddCredentialsA;code;Secur32.dll;
AddCredentialsW;code;Secur32.dll;
AddSecurityPackageA;code;Secur32.dll;
AddSecurityPackageW;code;Secur32.dll;
ApplyControlToken;code;Secur32.dll;
ChangeAccountPasswordA;code;Secur32.dll;
ChangeAccountPasswordW;code;Secur32.dll;
CompleteAuthToken;code;Secur32.dll;
DecryptMessage;code;Secur32.dll;
DeleteSecurityContext;code;Secur32.dll;
DeleteSecurityPackageA;code;Secur32.dll;
DeleteSecurityPackageW;code;Secur32.dll;
EncryptMessage;code;Secur32.dll;
EnumerateSecurityPackagesA;code;Secur32.dll;
EnumerateSecurityPackagesW;code;Secur32.dll;
ExportSecurityContext;code;Secur32.dll;
FreeContextBuffer;code;Secur32.dll;
FreeCredentialsHandle;code;Secur32.dll;
GetComputerObjectNameA;code;Secur32.dll;
GetComputerObjectNameW;code;Secur32.dll;
GetSecurityUserInfo;code;Secur32.dll;
GetUserNameExA;code;Secur32.dll;
GetUserNameExW;code;Secur32.dll;
ImpersonateSecurityContext;code;Secur32.dll;
ImportSecurityContextA;code;Secur32.dll;
ImportSecurityContextW;code;Secur32.dll;
InitSecurityInterfaceA;code;Secur32.dll;
InitSecurityInterfaceW;code;Secur32.dll;
InitializeSecurityContextA;code;Secur32.dll;
InitializeSecurityContextW;code;Secur32.dll;
LsaCallAuthenticationPackage;code;Secur32.dll;
LsaConnectUntrusted;code;Secur32.dll;
LsaDeregisterLogonProcess;code;Secur32.dll;
LsaEnumerateLogonSessions;code;Secur32.dll;
LsaFreeReturnBuffer;code;Secur32.dll;
LsaGetLogonSessionData;code;Secur32.dll;
LsaLogonUser;code;Secur32.dll;
LsaLookupAuthenticationPackage;code;Secur32.dll;
LsaRegisterLogonProcess;code;Secur32.dll;
LsaRegisterPolicyChangeNotification;code;Secur32.dll;
LsaUnregisterPolicyChangeNotification;code;Secur32.dll;
MakeSignature;code;Secur32.dll;
QueryContextAttributesA;code;Secur32.dll;
QueryContextAttributesW;code;Secur32.dll;
QueryCredentialsAttributesA;code;Secur32.dll;
QueryCredentialsAttributesW;code;Secur32.dll;
QuerySecurityContextToken;code;Secur32.dll;
QuerySecurityPackageInfoA;code;Secur32.dll;
QuerySecurityPackageInfoW;code;Secur32.dll;
RevertSecurityContext;code;Secur32.dll;
SaslAcceptSecurityContext;code;Secur32.dll;
SaslEnumerateProfilesA;code;Secur32.dll;
SaslEnumerateProfilesW;code;Secur32.dll;
SaslGetContextOption;code;Secur32.dll;
SaslGetProfilePackageA;code;Secur32.dll;
SaslGetProfilePackageW;code;Secur32.dll;
SaslIdentifyPackageA;code;Secur32.dll;
SaslIdentifyPackageW;code;Secur32.dll;
SaslInitializeSecurityContextA;code;Secur32.dll;
SaslInitializeSecurityContextW;code;Secur32.dll;
SaslSetContextOption;code;Secur32.dll;
SealMessage;code;Secur32.dll;
SeciAllocateAndSetCallFlags;code;Secur32.dll;
SeciAllocateAndSetIPAddress;code;Secur32.dll;
SeciFreeCallContext;code;Secur32.dll;
SetContextAttributesA;code;Secur32.dll;
SetContextAttributesW;code;Secur32.dll;
SetCredentialsAttributesA;code;Secur32.dll;
SetCredentialsAttributesW;code;Secur32.dll;
SspiCompareAuthIdentities;code;Secur32.dll;
SspiCopyAuthIdentity;code;Secur32.dll;
SspiDecryptAuthIdentity;code;Secur32.dll;
SspiEncodeAuthIdentityAsStrings;code;Secur32.dll;
SspiEncodeStringsAsAuthIdentity;code;Secur32.dll;
SspiEncryptAuthIdentity;code;Secur32.dll;
SspiExcludePackage;code;Secur32.dll;
SspiFreeAuthIdentity;code;Secur32.dll;
SspiGetTargetHostName;code;Secur32.dll;
SspiIsAuthIdentityEncrypted;code;Secur32.dll;
SspiLocalFree;code;Secur32.dll;
SspiMarshalAuthIdentity;code;Secur32.dll;
SspiPrepareForCredRead;code;Secur32.dll;
SspiPrepareForCredWrite;code;Secur32.dll;
SspiUnmarshalAuthIdentity;code;Secur32.dll;
SspiValidateAuthIdentity;code;Secur32.dll;
SspiZeroAuthIdentity;code;Secur32.dll;
TranslateNameA;code;Secur32.dll;
TranslateNameW;code;Secur32.dll;
UnsealMessage;code;Secur32.dll;
VerifySignature;code;Secur32.dll;
