Name;Type;DLL;SymbolOrOrdinal
DrawDibBegin;code;MSVFW32.dll;
DrawDibChangePalette;code;MSVFW32.dll;
DrawDibClose;code;MSVFW32.dll;
DrawDibDraw;code;MSVFW32.dll;
DrawDibEnd;code;MSVFW32.dll;
DrawDibGetBuffer;code;MSVFW32.dll;
DrawDibGetPalette;code;MSVFW32.dll;
DrawDibOpen;code;MSVFW32.dll;
DrawDibProfileDisplay;code;MSVFW32.dll;
DrawDibRealize;code;MSVFW32.dll;
DrawDibSetPalette;code;MSVFW32.dll;
DrawDibStart;code;MSVFW32.dll;
DrawDibStop;code;MSVFW32.dll;
DrawDibTime;code;MSVFW32.dll;
GetOpenFileNamePreview;code;MSVFW32.dll;
GetOpenFileNamePreviewA;code;MSVFW32.dll;
GetOpenFileNamePreviewW;code;MSVFW32.dll;
GetSaveFileNamePreviewA;code;MSVFW32.dll;
GetSaveFileNamePreviewW;code;MSVFW32.dll;
ICClose;code;MSVFW32.dll;
ICCompress;code;MSVFW32.dll;
ICCompressorChoose;code;MSVFW32.dll;
ICCompressorFree;code;MSVFW32.dll;
ICDecompress;code;MSVFW32.dll;
ICDraw;code;MSVFW32.dll;
ICDrawBegin;code;MSVFW32.dll;
ICGetDisplayFormat;code;MSVFW32.dll;
ICGetInfo;code;MSVFW32.dll;
ICImageCompress;code;MSVFW32.dll;
ICImageDecompress;code;MSVFW32.dll;
ICInfo;code;MSVFW32.dll;
ICInstall;code;MSVFW32.dll;
ICLocate;code;MSVFW32.dll;
ICMThunk32;code;MSVFW32.dll;
ICOpen;code;MSVFW32.dll;
ICOpenFunction;code;MSVFW32.dll;
ICRemove;code;MSVFW32.dll;
ICSendMessage;code;MSVFW32.dll;
ICSeqCompressFrame;code;MSVFW32.dll;
ICSeqCompressFrameEnd;code;MSVFW32.dll;
ICSeqCompressFrameStart;code;MSVFW32.dll;
MCIWndCreate;code;MSVFW32.dll;
MCIWndCreateA;code;MSVFW32.dll;
MCIWndCreateW;code;MSVFW32.dll;
MCIWndRegisterClass;code;MSVFW32.dll;
StretchDIB;code;MSVFW32.dll;
VideoForWindowsVersion;code;MSVFW32.dll;2
