Name;Type;DLL;SymbolOrOrdinal
AbortSystemShutdownA;code;ADVAPI32.dll;
AbortSystemShutdownW;code;ADVAPI32.dll;
AccessCheck;code;ADVAPI32.dll;
AccessCheckAndAuditAlarmW;code;ADVAPI32.dll;
AccessCheckByType;code;ADVAPI32.dll;
AccessCheckByTypeAndAuditAlarmW;code;ADVAPI32.dll;
AccessCheckByTypeResultList;code;ADVAPI32.dll;
AccessCheckByTypeResultListAndAuditAlarmByHandleW;code;ADVAPI32.dll;
AccessCheckByTypeResultListAndAuditAlarmW;code;ADVAPI32.dll;
AddAccessAllowedAce;code;ADVAPI32.dll;
AddAccessAllowedAceEx;code;ADVAPI32.dll;
AddAccessAllowedObjectAce;code;ADVAPI32.dll;
AddAccessDeniedAce;code;ADVAPI32.dll;
AddAccessDeniedAceEx;code;ADVAPI32.dll;
AddAccessDeniedObjectAce;code;ADVAPI32.dll;
AddAce;code;ADVAPI32.dll;
AddAuditAccessAce;code;ADVAPI32.dll;
AddAuditAccessAceEx;code;ADVAPI32.dll;
AddAuditAccessObjectAce;code;ADVAPI32.dll;
AddMandatoryAce;code;ADVAPI32.dll;
AdjustTokenGroups;code;ADVAPI32.dll;
AdjustTokenPrivileges;code;ADVAPI32.dll;
AllocateAndInitializeSid;code;ADVAPI32.dll;
AllocateLocallyUniqueId;code;ADVAPI32.dll;
AreAllAccessesGranted;code;ADVAPI32.dll;
AreAnyAccessesGranted;code;ADVAPI32.dll;
ChangeServiceConfig2A;code;ADVAPI32.dll;
ChangeServiceConfig2W;code;ADVAPI32.dll;
ChangeServiceConfigA;code;ADVAPI32.dll;
ChangeServiceConfigW;code;ADVAPI32.dll;
CheckTokenMembership;code;ADVAPI32.dll;
CloseServiceHandle;code;ADVAPI32.dll;
CloseTrace;code;ADVAPI32.dll;
ControlService;code;ADVAPI32.dll;
ControlServiceExA;code;ADVAPI32.dll;
ControlServiceExW;code;ADVAPI32.dll;
ControlTraceA;code;ADVAPI32.dll;
ControlTraceW;code;ADVAPI32.dll;
ConvertSecurityDescriptorToStringSecurityDescriptorW;code;ADVAPI32.dll;
ConvertSidToStringSidA;code;ADVAPI32.dll;
ConvertSidToStringSidW;code;ADVAPI32.dll;
ConvertStringSecurityDescriptorToSecurityDescriptorW;code;ADVAPI32.dll;
ConvertStringSidToSidA;code;ADVAPI32.dll;
ConvertStringSidToSidW;code;ADVAPI32.dll;
ConvertToAutoInheritPrivateObjectSecurity;code;ADVAPI32.dll;
CopySid;code;ADVAPI32.dll;
CreatePrivateObjectSecurity;code;ADVAPI32.dll;
CreatePrivateObjectSecurityEx;code;ADVAPI32.dll;
CreatePrivateObjectSecurityWithMultipleInheritance;code;ADVAPI32.dll;
CreateProcessAsUserA;code;ADVAPI32.dll;
CreateProcessAsUserW;code;ADVAPI32.dll;
CreateRestrictedToken;code;ADVAPI32.dll;
CreateServiceA;code;ADVAPI32.dll;
CreateServiceW;code;ADVAPI32.dll;
CreateWellKnownSid;code;ADVAPI32.dll;
CredDeleteA;code;ADVAPI32.dll;
CredDeleteW;code;ADVAPI32.dll;
CredEnumerateA;code;ADVAPI32.dll;
CredEnumerateW;code;ADVAPI32.dll;
CredFindBestCredentialA;code;ADVAPI32.dll;
CredFindBestCredentialW;code;ADVAPI32.dll;
CredFree;code;ADVAPI32.dll;
CredGetSessionTypes;code;ADVAPI32.dll;
CredGetTargetInfoA;code;ADVAPI32.dll;
CredGetTargetInfoW;code;ADVAPI32.dll;
CredIsMarshaledCredentialW;code;ADVAPI32.dll;
CredIsProtectedA;code;ADVAPI32.dll;
CredIsProtectedW;code;ADVAPI32.dll;
CredMarshalCredentialA;code;ADVAPI32.dll;
CredMarshalCredentialW;code;ADVAPI32.dll;
CredProtectA;code;ADVAPI32.dll;
CredProtectW;code;ADVAPI32.dll;
CredReadA;code;ADVAPI32.dll;
CredReadDomainCredentialsA;code;ADVAPI32.dll;
CredReadDomainCredentialsW;code;ADVAPI32.dll;
CredReadW;code;ADVAPI32.dll;
CredUnmarshalCredentialA;code;ADVAPI32.dll;
CredUnmarshalCredentialW;code;ADVAPI32.dll;
CredUnprotectA;code;ADVAPI32.dll;
CredUnprotectW;code;ADVAPI32.dll;
CredWriteA;code;ADVAPI32.dll;
CredWriteDomainCredentialsA;code;ADVAPI32.dll;
CredWriteDomainCredentialsW;code;ADVAPI32.dll;
CredWriteW;code;ADVAPI32.dll;
CryptAcquireContextA;code;ADVAPI32.dll;
CryptAcquireContextW;code;ADVAPI32.dll;
CryptContextAddRef;code;ADVAPI32.dll;
CryptCreateHash;code;ADVAPI32.dll;
CryptDecrypt;code;ADVAPI32.dll;
CryptDeriveKey;code;ADVAPI32.dll;
CryptDestroyHash;code;ADVAPI32.dll;
CryptDestroyKey;code;ADVAPI32.dll;
CryptDuplicateHash;code;ADVAPI32.dll;
CryptDuplicateKey;code;ADVAPI32.dll;
CryptEncrypt;code;ADVAPI32.dll;
CryptEnumProvidersA;code;ADVAPI32.dll;
CryptEnumProvidersW;code;ADVAPI32.dll;
CryptEnumProviderTypesA;code;ADVAPI32.dll;
CryptEnumProviderTypesW;code;ADVAPI32.dll;
CryptExportKey;code;ADVAPI32.dll;
CryptGenKey;code;ADVAPI32.dll;
CryptGenRandom;code;ADVAPI32.dll;
CryptGetDefaultProviderA;code;ADVAPI32.dll;
CryptGetDefaultProviderW;code;ADVAPI32.dll;
CryptGetHashParam;code;ADVAPI32.dll;
CryptGetKeyParam;code;ADVAPI32.dll;
CryptGetProvParam;code;ADVAPI32.dll;
CryptGetUserKey;code;ADVAPI32.dll;
CryptHashData;code;ADVAPI32.dll;
CryptHashSessionKey;code;ADVAPI32.dll;
CryptImportKey;code;ADVAPI32.dll;
CryptReleaseContext;code;ADVAPI32.dll;
CryptSetHashParam;code;ADVAPI32.dll;
CryptSetKeyParam;code;ADVAPI32.dll;
CryptSetProviderA;code;ADVAPI32.dll;
CryptSetProviderExA;code;ADVAPI32.dll;
CryptSetProviderExW;code;ADVAPI32.dll;
CryptSetProviderW;code;ADVAPI32.dll;
CryptSetProvParam;code;ADVAPI32.dll;
CryptSignHashA;code;ADVAPI32.dll;
CryptSignHashW;code;ADVAPI32.dll;
CryptVerifySignatureA;code;ADVAPI32.dll;
CryptVerifySignatureW;code;ADVAPI32.dll;
DeleteAce;code;ADVAPI32.dll;
DeleteService;code;ADVAPI32.dll;
DestroyPrivateObjectSecurity;code;ADVAPI32.dll;
DuplicateToken;code;ADVAPI32.dll;
DuplicateTokenEx;code;ADVAPI32.dll;
EnableTrace;code;ADVAPI32.dll;
EnableTraceEx;code;ADVAPI32.dll;
EnableTraceEx2;code;ADVAPI32.dll;
EnumDependentServicesA;code;ADVAPI32.dll;
EnumDependentServicesW;code;ADVAPI32.dll;
EnumDynamicTimeZoneInformation;code;ADVAPI32.dll;
EnumerateTraceGuids;code;ADVAPI32.dll;
EnumerateTraceGuidsEx;code;ADVAPI32.dll;
EnumServicesStatusExA;code;ADVAPI32.dll;
EnumServicesStatusExW;code;ADVAPI32.dll;
EqualDomainSid;code;ADVAPI32.dll;
EqualPrefixSid;code;ADVAPI32.dll;
EqualSid;code;ADVAPI32.dll;
EventAccessControl;code;ADVAPI32.dll;
EventAccessQuery;code;ADVAPI32.dll;
EventAccessRemove;code;ADVAPI32.dll;
EventActivityIdControl;code;ADVAPI32.dll;
EventEnabled;code;ADVAPI32.dll;
EventProviderEnabled;code;ADVAPI32.dll;
EventRegister;code;ADVAPI32.dll;
EventSetInformation;code;ADVAPI32.dll;
EventUnregister;code;ADVAPI32.dll;
EventWrite;code;ADVAPI32.dll;
EventWriteEx;code;ADVAPI32.dll;
EventWriteString;code;ADVAPI32.dll;
EventWriteTransfer;code;ADVAPI32.dll;
FindFirstFreeAce;code;ADVAPI32.dll;
FlushTraceA;code;ADVAPI32.dll;
FlushTraceW;code;ADVAPI32.dll;
FreeSid;code;ADVAPI32.dll;
GetAce;code;ADVAPI32.dll;
GetAclInformation;code;ADVAPI32.dll;
GetDynamicTimeZoneInformationEffectiveYears;code;ADVAPI32.dll;
GetExplicitEntriesFromAclA;code;ADVAPI32.dll;
GetExplicitEntriesFromAclW;code;ADVAPI32.dll;
GetFileSecurityA;code;ADVAPI32.dll;
GetFileSecurityW;code;ADVAPI32.dll;
GetKernelObjectSecurity;code;ADVAPI32.dll;
GetLengthSid;code;ADVAPI32.dll;
GetNamedSecurityInfoA;code;ADVAPI32.dll;
GetNamedSecurityInfoW;code;ADVAPI32.dll;
GetPrivateObjectSecurity;code;ADVAPI32.dll;
GetSecurityDescriptorControl;code;ADVAPI32.dll;
GetSecurityDescriptorDacl;code;ADVAPI32.dll;
GetSecurityDescriptorGroup;code;ADVAPI32.dll;
GetSecurityDescriptorLength;code;ADVAPI32.dll;
GetSecurityDescriptorOwner;code;ADVAPI32.dll;
GetSecurityDescriptorRMControl;code;ADVAPI32.dll;
GetSecurityDescriptorSacl;code;ADVAPI32.dll;
GetSecurityInfo;code;ADVAPI32.dll;
GetServiceDisplayNameA;code;ADVAPI32.dll;
GetServiceDisplayNameW;code;ADVAPI32.dll;
GetServiceKeyNameA;code;ADVAPI32.dll;
GetServiceKeyNameW;code;ADVAPI32.dll;
GetSidIdentifierAuthority;code;ADVAPI32.dll;
GetSidLengthRequired;code;ADVAPI32.dll;
GetSidSubAuthority;code;ADVAPI32.dll;
GetSidSubAuthorityCount;code;ADVAPI32.dll;
GetTokenInformation;code;ADVAPI32.dll;
GetTraceEnableFlags;code;ADVAPI32.dll;
GetTraceEnableLevel;code;ADVAPI32.dll;
GetTraceLoggerHandle;code;ADVAPI32.dll;
GetWindowsAccountDomainSid;code;ADVAPI32.dll;
ImpersonateAnonymousToken;code;ADVAPI32.dll;
ImpersonateLoggedOnUser;code;ADVAPI32.dll;
ImpersonateNamedPipeClient;code;ADVAPI32.dll;
ImpersonateSelf;code;ADVAPI32.dll;
InitializeAcl;code;ADVAPI32.dll;
InitializeSecurityDescriptor;code;ADVAPI32.dll;
InitializeSid;code;ADVAPI32.dll;
InitiateShutdownW;code;ADVAPI32.dll;
InitiateSystemShutdownA;code;ADVAPI32.dll;
InitiateSystemShutdownExA;code;ADVAPI32.dll;
InitiateSystemShutdownExW;code;ADVAPI32.dll;
IsTokenRestricted;code;ADVAPI32.dll;
IsValidAcl;code;ADVAPI32.dll;
IsValidSecurityDescriptor;code;ADVAPI32.dll;
IsValidSid;code;ADVAPI32.dll;
IsWellKnownSid;code;ADVAPI32.dll;
LogonUserExExW;code;ADVAPI32.dll;
LookupAccountNameA;code;ADVAPI32.dll;
LookupAccountNameW;code;ADVAPI32.dll;
