Name;Type;DLL;SymbolOrOrdinal
SpLsaModeInitialize;code;SCHANNEL.dll;?SpLsaModeInitialize@@YGJKPAKPAPAU_SECPKG_FUNCTION_TABLE@@0@Z (long __stdcall SpLsaModeInitialize(unsigned long,unsigned long *,struct _SECPKG_FUNCTION_TABLE * *,unsigned long *))
AcceptSecurityContext;code;SCHANNEL.dll;_AcceptSecurityContext@36
AcquireCredentialsHandleA;code;SCHANNEL.dll;_AcquireCredentialsHandleA@36
AcquireCredentialsHandleW;code;SCHANNEL.dll;_AcquireCredentialsHandleW@36
ApplyControlToken;code;SCHANNEL.dll;_ApplyControlToken@8
CompleteAuthToken;code;SCHANNEL.dll;_CompleteAuthToken@8
DeleteSecurityContext;code;SCHANNEL.dll;_DeleteSecurityContext@4
EnumerateSecurityPackagesA;code;SCHANNEL.dll;_EnumerateSecurityPackagesA@8
EnumerateSecurityPackagesW;code;SCHANNEL.dll;_EnumerateSecurityPackagesW@8
FreeContextBuffer;code;SCHANNEL.dll;_FreeContextBuffer@4
FreeCredentialsHandle;code;SCHANNEL.dll;_FreeCredentialsHandle@4
ImpersonateSecurityContext;code;SCHANNEL.dll;_ImpersonateSecurityContext@4
InitSecurityInterfaceA;code;SCHANNEL.dll;_InitSecurityInterfaceA@0
InitSecurityInterfaceW;code;SCHANNEL.dll;_InitSecurityInterfaceW@0
InitializeSecurityContextA;code;SCHANNEL.dll;_InitializeSecurityContextA@48
InitializeSecurityContextW;code;SCHANNEL.dll;_InitializeSecurityContextW@48
MakeSignature;code;SCHANNEL.dll;_MakeSignature@16
QueryContextAttributesA;code;SCHANNEL.dll;_QueryContextAttributesA@12
QueryContextAttributesW;code;SCHANNEL.dll;_QueryContextAttributesW@12
QuerySecurityPackageInfoA;code;SCHANNEL.dll;_QuerySecurityPackageInfoA@8
QuerySecurityPackageInfoW;code;SCHANNEL.dll;_QuerySecurityPackageInfoW@8
RevertSecurityContext;code;SCHANNEL.dll;_RevertSecurityContext@4
SealMessage;code;SCHANNEL.dll;_SealMessage@16
SpUserModeInitialize;code;SCHANNEL.dll;_SpUserModeInitialize@16
SslCrackCertificate;code;SCHANNEL.dll;_SslCrackCertificate@16
SslEmptyCacheA;code;SCHANNEL.dll;_SslEmptyCacheA@8
SslEmptyCacheW;code;SCHANNEL.dll;_SslEmptyCacheW@8
SslFreeCertificate;code;SCHANNEL.dll;_SslFreeCertificate@4
SslFreeCustomBuffer;code;SCHANNEL.dll;_SslFreeCustomBuffer@16
SslGenerateRandomBits;code;SCHANNEL.dll;_SslGenerateRandomBits@8
SslGetMaximumKeySize;code;SCHANNEL.dll;_SslGetMaximumKeySize@4
SslGetServerIdentity;code;SCHANNEL.dll;_SslGetServerIdentity@20
SslLoadCertificate;code;SCHANNEL.dll;_SslLoadCertificate@12
UnsealMessage;code;SCHANNEL.dll;_UnsealMessage@16
VerifySignature;code;SCHANNEL.dll;_VerifySignature@16
