Name;Type;DLL;SymbolOrOrdinal
BeginRegisterPropChangeNotificationEx;code;SSDPAPI.dll;_BeginRegisterPropChangeNotificationEx@24
CleanupCache;code;SSDPAPI.dll;_CleanupCache@0
DHSetICSInterfaces;code;SSDPAPI.dll;_DHSetICSInterfaces@8
DHSetICSOff;code;SSDPAPI.dll;_DHSetICSOff@0
DeregisterNotification;code;SSDPAPI.dll;_DeregisterNotification@4
DeregisterService;code;SSDPAPI.dll;_DeregisterService@8
DisableFirewallRule;code;SSDPAPI.dll;_DisableFirewallRule@4
EnableFirewallRule;code;SSDPAPI.dll;_EnableFirewallRule@16
EndRegisterPropChangeNotificationEx;code;SSDPAPI.dll;_EndRegisterPropChangeNotificationEx@16
FindServices;code;SSDPAPI.dll;_FindServices@12
FindServicesCallback;code;SSDPAPI.dll;_FindServicesCallback@20
FindServicesCallbackEx;code;SSDPAPI.dll;_FindServicesCallbackEx@24
FindServicesCancel;code;SSDPAPI.dll;_FindServicesCancel@4
FindServicesClose;code;SSDPAPI.dll;_FindServicesClose@4
FindServicesEx;code;SSDPAPI.dll;_FindServicesEx@16
FindServicesOnNetworkCallbackEx;code;SSDPAPI.dll;_FindServicesOnNetworkCallbackEx@40
FreeSsdpMessage;code;SSDPAPI.dll;_FreeSsdpMessage@4
FreeSsdpMessageEx;code;SSDPAPI.dll;_FreeSsdpMessageEx@4
GetFirstService;code;SSDPAPI.dll;_GetFirstService@8
GetFirstServiceEx;code;SSDPAPI.dll;_GetFirstServiceEx@8
GetNextService;code;SSDPAPI.dll;_GetNextService@8
GetNextServiceEx;code;SSDPAPI.dll;_GetNextServiceEx@8
RegisterAliveNotificationOnNetworkEx;code;SSDPAPI.dll;_RegisterAliveNotificationOnNetworkEx@32
RegisterNotification;code;SSDPAPI.dll;_RegisterNotification@20
RegisterNotificationEx;code;SSDPAPI.dll;_RegisterNotificationEx@24
RegisterService;code;SSDPAPI.dll;_RegisterService@8
RegisterServiceEx;code;SSDPAPI.dll;_RegisterServiceEx@8
SsdpCleanup;code;SSDPAPI.dll;_SsdpCleanup@0
SsdpStartup;code;SSDPAPI.dll;_SsdpStartup@0
