Name;Type;DLL;SymbolOrOrdinal
DockPattern_SetDockPosition;code;UIAutomationCore.DLL;
ExpandCollapsePattern_Collapse;code;UIAutomationCore.DLL;
ExpandCollapsePattern_Expand;code;UIAutomationCore.DLL;
GridPattern_GetItem;code;UIAutomationCore.DLL;
InvokePattern_Invoke;code;UIAutomationCore.DLL;
ItemContainerPattern_FindItemByProperty;code;UIAutomationCore.DLL;
LegacyIAccessiblePattern_DoDefaultAction;code;UIAutomationCore.DLL;
LegacyIAccessiblePattern_GetIAccessible;code;UIAutomationCore.DLL;
LegacyIAccessiblePattern_Select;code;UIAutomationCore.DLL;
LegacyIAccessiblePattern_SetValue;code;UIAutomationCore.DLL;
MultipleViewPattern_GetViewName;code;UIAutomationCore.DLL;
MultipleViewPattern_SetCurrentView;code;UIAutomationCore.DLL;
RangeValuePattern_SetValue;code;UIAutomationCore.DLL;
ScrollItemPattern_ScrollIntoView;code;UIAutomationCore.DLL;
ScrollPattern_Scroll;code;UIAutomationCore.DLL;
ScrollPattern_SetScrollPercent;code;UIAutomationCore.DLL;
SelectionItemPattern_AddToSelection;code;UIAutomationCore.DLL;
SelectionItemPattern_RemoveFromSelection;code;UIAutomationCore.DLL;
SelectionItemPattern_Select;code;UIAutomationCore.DLL;
SynchronizedInputPattern_Cancel;code;UIAutomationCore.DLL;
SynchronizedInputPattern_StartListening;code;UIAutomationCore.DLL;
TextPattern_GetSelection;code;UIAutomationCore.DLL;
TextPattern_GetVisibleRanges;code;UIAutomationCore.DLL;
TextPattern_RangeFromChild;code;UIAutomationCore.DLL;
TextPattern_RangeFromPoint;code;UIAutomationCore.DLL;
TextPattern_get_DocumentRange;code;UIAutomationCore.DLL;
TextPattern_get_SupportedTextSelection;code;UIAutomationCore.DLL;
TextRange_AddToSelection;code;UIAutomationCore.DLL;
TextRange_Clone;code;UIAutomationCore.DLL;
TextRange_Compare;code;UIAutomationCore.DLL;
TextRange_CompareEndpoints;code;UIAutomationCore.DLL;
TextRange_ExpandToEnclosingUnit;code;UIAutomationCore.DLL;
TextRange_FindAttribute;code;UIAutomationCore.DLL;
TextRange_FindText;code;UIAutomationCore.DLL;
TextRange_GetAttributeValue;code;UIAutomationCore.DLL;
TextRange_GetBoundingRectangles;code;UIAutomationCore.DLL;
TextRange_GetChildren;code;UIAutomationCore.DLL;
TextRange_GetEnclosingElement;code;UIAutomationCore.DLL;
TextRange_GetText;code;UIAutomationCore.DLL;
TextRange_Move;code;UIAutomationCore.DLL;
TextRange_MoveEndpointByRange;code;UIAutomationCore.DLL;
TextRange_MoveEndpointByUnit;code;UIAutomationCore.DLL;
TextRange_RemoveFromSelection;code;UIAutomationCore.DLL;
TextRange_ScrollIntoView;code;UIAutomationCore.DLL;
TextRange_Select;code;UIAutomationCore.DLL;
TogglePattern_Toggle;code;UIAutomationCore.DLL;
TransformPattern_Move;code;UIAutomationCore.DLL;
TransformPattern_Resize;code;UIAutomationCore.DLL;
TransformPattern_Rotate;code;UIAutomationCore.DLL;
