Name;Type;DLL;SymbolOrOrdinal
PathAllocCanonicalize;code;api-ms-win-core-path-l1-1-0.dll;
PathAllocCombine;code;api-ms-win-core-path-l1-1-0.dll;
PathCchAddBackslash;code;api-ms-win-core-path-l1-1-0.dll;
PathCchAddBackslashEx;code;api-ms-win-core-path-l1-1-0.dll;
PathCchAddExtension;code;api-ms-win-core-path-l1-1-0.dll;
PathCchAppend;code;api-ms-win-core-path-l1-1-0.dll;
PathCchAppendEx;code;api-ms-win-core-path-l1-1-0.dll;
PathCchCanonicalize;code;api-ms-win-core-path-l1-1-0.dll;
PathCchCanonicalizeEx;code;api-ms-win-core-path-l1-1-0.dll;
PathCchCombine;code;api-ms-win-core-path-l1-1-0.dll;
PathCchCombineEx;code;api-ms-win-core-path-l1-1-0.dll;
PathCchFindExtension;code;api-ms-win-core-path-l1-1-0.dll;
PathCchIsRoot;code;api-ms-win-core-path-l1-1-0.dll;
PathCchRemoveBackslash;code;api-ms-win-core-path-l1-1-0.dll;
PathCchRemoveBackslashEx;code;api-ms-win-core-path-l1-1-0.dll;
PathCchRemoveExtension;code;api-ms-win-core-path-l1-1-0.dll;
PathCchRemoveFileSpec;code;api-ms-win-core-path-l1-1-0.dll;
PathCchRenameExtension;code;api-ms-win-core-path-l1-1-0.dll;
PathCchSkipRoot;code;api-ms-win-core-path-l1-1-0.dll;
PathCchStripPrefix;code;api-ms-win-core-path-l1-1-0.dll;
PathCchStripToRoot;code;api-ms-win-core-path-l1-1-0.dll;
PathIsUNCEx;code;api-ms-win-core-path-l1-1-0.dll;
