Name;Type;DLL;SymbolOrOrdinal
Callback12;code;KERNEL32.dll;_Callback12@12
Callback16;code;KERNEL32.dll;_Callback16@16
Callback20;code;KERNEL32.dll;_Callback20@20
Callback24;code;KERNEL32.dll;_Callback24@24
Callback28;code;KERNEL32.dll;_Callback28@28
Callback32;code;KERNEL32.dll;_Callback32@32
Callback36;code;KERNEL32.dll;_Callback36@36
Callback40;code;KERNEL32.dll;_Callback40@40
Callback44;code;KERNEL32.dll;_Callback44@44
Callback48;code;KERNEL32.dll;_Callback48@48
Callback4;code;KERNEL32.dll;_Callback4@4
Callback52;code;KERNEL32.dll;_Callback52@52
Callback56;code;KERNEL32.dll;_Callback56@56
Callback60;code;KERNEL32.dll;_Callback60@60
Callback64;code;KERNEL32.dll;_Callback64@64
Callback8;code;KERNEL32.dll;_Callback8@8
FT_Exit0;code;KERNEL32.dll;_FT_Exit0
FT_Exit12;code;KERNEL32.dll;_FT_Exit12
FT_Exit16;code;KERNEL32.dll;_FT_Exit16
FT_Exit20;code;KERNEL32.dll;_FT_Exit20
FT_Exit24;code;KERNEL32.dll;_FT_Exit24
FT_Exit28;code;KERNEL32.dll;_FT_Exit28
FT_Exit32;code;KERNEL32.dll;_FT_Exit32
FT_Exit36;code;KERNEL32.dll;_FT_Exit36
FT_Exit4;code;KERNEL32.dll;_FT_Exit4
FT_Exit40;code;KERNEL32.dll;_FT_Exit40
FT_Exit44;code;KERNEL32.dll;_FT_Exit44
FT_Exit48;code;KERNEL32.dll;_FT_Exit48
FT_Exit52;code;KERNEL32.dll;_FT_Exit52
FT_Exit56;code;KERNEL32.dll;_FT_Exit56
FT_Exit8;code;KERNEL32.dll;_FT_Exit8
FT_Prolog;code;KERNEL32.dll;_FT_Prolog
FT_Thunk;code;KERNEL32.dll;_FT_Thunk
K32Thk1632Epilog;code;KERNEL32.dll;_K32Thk1632Epilog@0
K32Thk1632Prolog;code;KERNEL32.dll;_K32Thk1632Prolog@0
MapHInstLS;code;KERNEL32.dll;_MapHInstLS
MapHInstLS_PN;code;KERNEL32.dll;_MapHInstLS_PN
MapHInstSL;code;KERNEL32.dll;_MapHInstSL
MapHInstSL_PN;code;KERNEL32.dll;_MapHInstSL_PN
MapLS;code;KERNEL32.dll;_MapLS@4
MapSL;code;KERNEL32.dll;_MapSL@4
MapSLFix;code;KERNEL32.dll;_MapSLFix@4
QT_Thunk;code;KERNEL32.dll;_QT_Thunk
SMapLS;code;KERNEL32.dll;_SMapLS
SMapLS_IP_EBP_12;code;KERNEL32.dll;_SMapLS_IP_EBP_12
SMapLS_IP_EBP_16;code;KERNEL32.dll;_SMapLS_IP_EBP_16
SMapLS_IP_EBP_20;code;KERNEL32.dll;_SMapLS_IP_EBP_20
SMapLS_IP_EBP_24;code;KERNEL32.dll;_SMapLS_IP_EBP_24
SMapLS_IP_EBP_28;code;KERNEL32.dll;_SMapLS_IP_EBP_28
SMapLS_IP_EBP_32;code;KERNEL32.dll;_SMapLS_IP_EBP_32
SMapLS_IP_EBP_36;code;KERNEL32.dll;_SMapLS_IP_EBP_36
SMapLS_IP_EBP_40;code;KERNEL32.dll;_SMapLS_IP_EBP_40
SMapLS_IP_EBP_8;code;KERNEL32.dll;_SMapLS_IP_EBP_8
SUnMapLS;code;KERNEL32.dll;_SUnMapLS
SUnMapLS_IP_EBP_12;code;KERNEL32.dll;_SUnMapLS_IP_EBP_12
SUnMapLS_IP_EBP_16;code;KERNEL32.dll;_SUnMapLS_IP_EBP_16
SUnMapLS_IP_EBP_20;code;KERNEL32.dll;_SUnMapLS_IP_EBP_20
SUnMapLS_IP_EBP_24;code;KERNEL32.dll;_SUnMapLS_IP_EBP_24
SUnMapLS_IP_EBP_28;code;KERNEL32.dll;_SUnMapLS_IP_EBP_28
SUnMapLS_IP_EBP_32;code;KERNEL32.dll;_SUnMapLS_IP_EBP_32
SUnMapLS_IP_EBP_36;code;KERNEL32.dll;_SUnMapLS_IP_EBP_36
SUnMapLS_IP_EBP_40;code;KERNEL32.dll;_SUnMapLS_IP_EBP_40
SUnMapLS_IP_EBP_8;code;KERNEL32.dll;_SUnMapLS_IP_EBP_8
ThunkConnect32;code;KERNEL32.dll;_ThunkConnect32@24
UnMapLS;code;KERNEL32.dll;_UnMapLS@4
UnMapSLFixArray;code;KERNEL32.dll;_UnMapSLFixArray@8
