Name;Type;DLL;SymbolOrOrdinal
CryptXmlAddObject;code;CRYPTXML.dll;_CryptXmlAddObject@24
CryptXmlClose;code;CRYPTXML.dll;_CryptXmlClose@4
CryptXmlCreateReference;code;CRYPTXML.dll;_CryptXmlCreateReference@36
CryptXmlDigestReference;code;CRYPTXML.dll;_CryptXmlDigestReference@12
CryptXmlEncode;code;CRYPTXML.dll;_CryptXmlEncode@24
CryptXmlEnumAlgorithmInfo;code;CRYPTXML.dll;_CryptXmlEnumAlgorithmInfo@16
CryptXmlFindAlgorithmInfo;code;CRYPTXML.dll;_CryptXmlFindAlgorithmInfo@16
CryptXmlGetAlgorithmInfo;code;CRYPTXML.dll;_CryptXmlGetAlgorithmInfo@12
CryptXmlGetDocContext;code;CRYPTXML.dll;_CryptXmlGetDocContext@8
CryptXmlGetReference;code;CRYPTXML.dll;_CryptXmlGetReference@8
CryptXmlGetSignature;code;CRYPTXML.dll;_CryptXmlGetSignature@8
CryptXmlGetStatus;code;CRYPTXML.dll;_CryptXmlGetStatus@8
CryptXmlGetTransforms;code;CRYPTXML.dll;_CryptXmlGetTransforms@4
CryptXmlImportPublicKey;code;CRYPTXML.dll;_CryptXmlImportPublicKey@12
CryptXmlOpenToDecode;code;CRYPTXML.dll;_CryptXmlOpenToDecode@24
CryptXmlOpenToEncode;code;CRYPTXML.dll;_CryptXmlOpenToEncode@28
CryptXmlSetHMACSecret;code;CRYPTXML.dll;_CryptXmlSetHMACSecret@12
CryptXmlSign;code;CRYPTXML.dll;_CryptXmlSign@32
CryptXmlVerifySignature;code;CRYPTXML.dll;_CryptXmlVerifySignature@12
