Name;Type;DLL;SymbolOrOrdinal
HBA_CloseAdapter;code;HBAAPI.dll;_HBA_CloseAdapter
HBA_FreeLibrary;code;HBAAPI.dll;_HBA_FreeLibrary
HBA_GetAdapterAttributes;code;HBAAPI.dll;_HBA_GetAdapterAttributes
HBA_GetAdapterName;code;HBAAPI.dll;_HBA_GetAdapterName
HBA_GetAdapterPortAttributes;code;HBAAPI.dll;_HBA_GetAdapterPortAttributes
HBA_GetBindingCapability;code;HBAAPI.dll;_HBA_GetBindingCapability
HBA_GetBindingSupport;code;HBAAPI.dll;_HBA_GetBindingSupport
HBA_GetDiscoveredPortAttributes;code;HBAAPI.dll;_HBA_GetDiscoveredPortAttributes
HBA_GetEventBuffer;code;HBAAPI.dll;_HBA_GetEventBuffer
HBA_GetFC4Statistics;code;HBAAPI.dll;_HBA_GetFC4Statistics
HBA_GetFCPStatistics;code;HBAAPI.dll;_HBA_GetFCPStatistics
HBA_GetFcpPersistentBinding;code;HBAAPI.dll;_HBA_GetFcpPersistentBinding
HBA_GetFcpTargetMapping;code;HBAAPI.dll;_HBA_GetFcpTargetMapping
HBA_GetFcpTargetMappingV2;code;HBAAPI.dll;_HBA_GetFcpTargetMappingV2
HBA_GetNumberOfAdapters;code;HBAAPI.dll;_HBA_GetNumberOfAdapters
HBA_GetPersistentBindingV2;code;HBAAPI.dll;_HBA_GetPersistentBindingV2
HBA_GetPortAttributesByWWN;code;HBAAPI.dll;_HBA_GetPortAttributesByWWN
HBA_GetPortStatistics;code;HBAAPI.dll;_HBA_GetPortStatistics
HBA_GetRNIDMgmtInfo;code;HBAAPI.dll;_HBA_GetRNIDMgmtInfo
HBA_GetVendorLibraryAttributes;code;HBAAPI.dll;_HBA_GetVendorLibraryAttributes
HBA_GetVersion;code;HBAAPI.dll;_HBA_GetVersion
HBA_GetWrapperLibraryAttributes;code;HBAAPI.dll;_HBA_GetWrapperLibraryAttributes
HBA_LoadLibrary;code;HBAAPI.dll;_HBA_LoadLibrary
HBA_OpenAdapter;code;HBAAPI.dll;_HBA_OpenAdapter
HBA_OpenAdapterByWWN;code;HBAAPI.dll;_HBA_OpenAdapterByWWN
HBA_RefreshAdapterConfiguration;code;HBAAPI.dll;_HBA_RefreshAdapterConfiguration
HBA_RefreshInformation;code;HBAAPI.dll;_HBA_RefreshInformation
HBA_RegisterForAdapterAddEvents;code;HBAAPI.dll;_HBA_RegisterForAdapterAddEvents
HBA_RegisterForAdapterEvents;code;HBAAPI.dll;_HBA_RegisterForAdapterEvents
HBA_RegisterForAdapterPortEvents;code;HBAAPI.dll;_HBA_RegisterForAdapterPortEvents
HBA_RegisterForAdapterPortStatEvents;code;HBAAPI.dll;_HBA_RegisterForAdapterPortStatEvents
HBA_RegisterForLinkEvents;code;HBAAPI.dll;_HBA_RegisterForLinkEvents
HBA_RegisterForTargetEvents;code;HBAAPI.dll;_HBA_RegisterForTargetEvents
HBA_RegisterLibrary;code;HBAAPI.dll;_HBA_RegisterLibrary
HBA_RegisterLibraryV2;code;HBAAPI.dll;_HBA_RegisterLibraryV2
HBA_RemoveAllPersistentBindings;code;HBAAPI.dll;_HBA_RemoveAllPersistentBindings
HBA_RemoveCallback;code;HBAAPI.dll;_HBA_RemoveCallback
HBA_RemovePersistentBinding;code;HBAAPI.dll;_HBA_RemovePersistentBinding
HBA_ResetStatistics;code;HBAAPI.dll;_HBA_ResetStatistics
HBA_ScsiInquiryV2;code;HBAAPI.dll;_HBA_ScsiInquiryV2
HBA_ScsiReadCapacityV2;code;HBAAPI.dll;_HBA_ScsiReadCapacityV2
HBA_ScsiReportLUNsV2;code;HBAAPI.dll;_HBA_ScsiReportLUNsV2
HBA_SendCTPassThru;code;HBAAPI.dll;_HBA_SendCTPassThru
HBA_SendCTPassThruV2;code;HBAAPI.dll;_HBA_SendCTPassThruV2
HBA_SendLIRR;code;HBAAPI.dll;_HBA_SendLIRR
HBA_SendRLS;code;HBAAPI.dll;_HBA_SendRLS
HBA_SendRNID;code;HBAAPI.dll;_HBA_SendRNID
HBA_SendRNIDV2;code;HBAAPI.dll;_HBA_SendRNIDV2
HBA_SendRPL;code;HBAAPI.dll;_HBA_SendRPL
HBA_SendRPS;code;HBAAPI.dll;_HBA_SendRPS
HBA_SendReadCapacity;code;HBAAPI.dll;_HBA_SendReadCapacity
HBA_SendReportLUNs;code;HBAAPI.dll;_HBA_SendReportLUNs
HBA_SendSRL;code;HBAAPI.dll;_HBA_SendSRL
HBA_SendScsiInquiry;code;HBAAPI.dll;_HBA_SendScsiInquiry
HBA_SetBindingSupport;code;HBAAPI.dll;_HBA_SetBindingSupport
HBA_SetPersistentBindingV2;code;HBAAPI.dll;_HBA_SetPersistentBindingV2
HBA_SetRNIDMgmtInfo;code;HBAAPI.dll;_HBA_SetRNIDMgmtInfo
HbaGetAdapterNameByDeviceInstanceId;code;HBAAPI.dll;_HbaGetAdapterNameByDeviceInstanceId@8
SMHBA_GetAdapterAttributes;code;HBAAPI.dll;_SMHBA_GetAdapterAttributes
SMHBA_GetAdapterPortAttributes;code;HBAAPI.dll;_SMHBA_GetAdapterPortAttributes
SMHBA_GetBindingCapability;code;HBAAPI.dll;_SMHBA_GetBindingCapability
SMHBA_GetBindingSupport;code;HBAAPI.dll;_SMHBA_GetBindingSupport
SMHBA_GetDiscoveredPortAttributes;code;HBAAPI.dll;_SMHBA_GetDiscoveredPortAttributes
SMHBA_GetFCPhyAttributes;code;HBAAPI.dll;_SMHBA_GetFCPhyAttributes
SMHBA_GetLUNStatistics;code;HBAAPI.dll;_SMHBA_GetLUNStatistics
SMHBA_GetNumberOfPorts;code;HBAAPI.dll;_SMHBA_GetNumberOfPorts
SMHBA_GetPersistentBinding;code;HBAAPI.dll;_SMHBA_GetPersistentBinding
SMHBA_GetPhyStatistics;code;HBAAPI.dll;_SMHBA_GetPhyStatistics
SMHBA_GetPortAttributesByWWN;code;HBAAPI.dll;_SMHBA_GetPortAttributesByWWN
SMHBA_GetPortType;code;HBAAPI.dll;_SMHBA_GetPortType
SMHBA_GetProtocolStatistics;code;HBAAPI.dll;_SMHBA_GetProtocolStatistics
SMHBA_GetSASPhyAttributes;code;HBAAPI.dll;_SMHBA_GetSASPhyAttributes
SMHBA_GetTargetMapping;code;HBAAPI.dll;_SMHBA_GetTargetMapping
SMHBA_GetVendorLibraryAttributes;code;HBAAPI.dll;_SMHBA_GetVendorLibraryAttributes
SMHBA_GetVersion;code;HBAAPI.dll;_SMHBA_GetVersion
SMHBA_GetWrapperLibraryAttributes;code;HBAAPI.dll;_SMHBA_GetWrapperLibraryAttributes
SMHBA_RegisterForAdapterAddEvents;code;HBAAPI.dll;_SMHBA_RegisterForAdapterAddEvents
SMHBA_RegisterForAdapterEvents;code;HBAAPI.dll;_SMHBA_RegisterForAdapterEvents
SMHBA_RegisterForAdapterPhyStatEvents;code;HBAAPI.dll;_SMHBA_RegisterForAdapterPhyStatEvents
SMHBA_RegisterForAdapterPortEvents;code;HBAAPI.dll;_SMHBA_RegisterForAdapterPortEvents
SMHBA_RegisterForAdapterPortStatEvents;code;HBAAPI.dll;_SMHBA_RegisterForAdapterPortStatEvents
SMHBA_RegisterForTargetEvents;code;HBAAPI.dll;_SMHBA_RegisterForTargetEvents
SMHBA_RegisterLibrary;code;HBAAPI.dll;_SMHBA_RegisterLibrary
SMHBA_RemoveAllPersistentBindings;code;HBAAPI.dll;_SMHBA_RemoveAllPersistentBindings
SMHBA_RemovePersistentBinding;code;HBAAPI.dll;_SMHBA_RemovePersistentBinding
SMHBA_ScsiInquiry;code;HBAAPI.dll;_SMHBA_ScsiInquiry
SMHBA_ScsiReadCapacity;code;HBAAPI.dll;_SMHBA_ScsiReadCapacity
SMHBA_ScsiReportLuns;code;HBAAPI.dll;_SMHBA_ScsiReportLuns
SMHBA_SendECHO;code;HBAAPI.dll;_SMHBA_SendECHO
SMHBA_SendSMPPassThru;code;HBAAPI.dll;_SMHBA_SendSMPPassThru
SMHBA_SendTEST;code;HBAAPI.dll;_SMHBA_SendTEST
SMHBA_SetBindingSupport;code;HBAAPI.dll;_SMHBA_SetBindingSupport
SMHBA_SetPersistentBinding;code;HBAAPI.dll;_SMHBA_SetPersistentBinding
