Name;Type;DLL;SymbolOrOrdinal
AddStroke;code;inkobjcore.dll;_AddStroke@20
AddWordsToWordList;code;inkobjcore.dll;_AddWordsToWordList@8
AdviseInkChange;code;inkobjcore.dll;_AdviseInkChange@8
CreateContext;code;inkobjcore.dll;_CreateContext@8
CreateRecognizer;code;inkobjcore.dll;_CreateRecognizer@8
DestroyContext;code;inkobjcore.dll;_DestroyContext@4
DestroyRecognizer;code;inkobjcore.dll;_DestroyRecognizer@4
DestroyWordList;code;inkobjcore.dll;_DestroyWordList@4
EndInkInput;code;inkobjcore.dll;_EndInkInput@4
GetAllRecognizers;code;inkobjcore.dll;_GetAllRecognizers@8
GetBestResultString;code;inkobjcore.dll;_GetBestResultString@12
GetLatticePtr;code;inkobjcore.dll;_GetLatticePtr@8
GetLeftSeparator;code;inkobjcore.dll;_GetLeftSeparator@12
GetRecoAttributes;code;inkobjcore.dll;_GetRecoAttributes@8
GetResultPropertyList;code;inkobjcore.dll;_GetResultPropertyList@12
GetRightSeparator;code;inkobjcore.dll;_GetRightSeparator@12
GetUnicodeRanges;code;inkobjcore.dll;_GetUnicodeRanges@12
IsStringSupported;code;inkobjcore.dll;_IsStringSupported@12
LoadCachedAttributes;code;inkobjcore.dll;_LoadCachedAttributes@20
MakeWordList;code;inkobjcore.dll;_MakeWordList@12
Process;code;inkobjcore.dll;_Process@8
SetEnabledUnicodeRanges;code;inkobjcore.dll;_SetEnabledUnicodeRanges@12
SetFactoid;code;inkobjcore.dll;_SetFactoid@12
SetFlags;code;inkobjcore.dll;_SetFlags@8
SetGuide;code;inkobjcore.dll;_SetGuide@12
SetTextContext;code;inkobjcore.dll;_SetTextContext@20
SetWordList;code;inkobjcore.dll;_SetWordList@8
