Name;Type;DLL;SymbolOrOrdinal
??0CAutoEvent@@QAA@XZ;code;framedynos.dll;
??0CFrameworkQuery@@QAA@ABV0@@Z;code;framedynos.dll;
??0CFrameworkQuery@@QAA@XZ;code;framedynos.dll;
??0CFrameworkQueryEx@@QAA@ABV0@@Z;code;framedynos.dll;
??0CFrameworkQueryEx@@QAA@XZ;code;framedynos.dll;
??0CHPtrArray@@QAA@XZ;code;framedynos.dll;
??0CHString@@QAA@ABV0@@Z;code;framedynos.dll;
??0CHString@@QAA@GH@Z;code;framedynos.dll;
??0CHString@@QAA@PBD@Z;code;framedynos.dll;
??0CHString@@QAA@PBE@Z;code;framedynos.dll;
??0CHString@@QAA@PBG@Z;code;framedynos.dll;
??0CHString@@QAA@PBGH@Z;code;framedynos.dll;
??0CHString@@QAA@XZ;code;framedynos.dll;
??0CHStringArray@@QAA@XZ;code;framedynos.dll;
??0CInstance@@QAA@ABV0@@Z;code;framedynos.dll;
??0CInstance@@QAA@PAUIWbemClassObject@@PAVMethodContext@@@Z;code;framedynos.dll;
??0CObjectPathParser@@QAA@W4ObjectParserFlags@@@Z;code;framedynos.dll;
??0CRegistry@@QAA@ABV0@@Z;code;framedynos.dll;
??0CRegistry@@QAA@XZ;code;framedynos.dll;
??0CRegistrySearch@@QAA@ABV0@@Z;code;framedynos.dll;
??0CRegistrySearch@@QAA@XZ;code;framedynos.dll;
??0CThreadBase@@QAA@ABV0@@Z;code;framedynos.dll;
??0CThreadBase@@QAA@W4THREAD_SAFETY_MECHANISM@0@@Z;code;framedynos.dll;
??0CWbemGlueFactory@@QAA@ABV0@@Z;code;framedynos.dll;
??0CWbemGlueFactory@@QAA@PAJ@Z;code;framedynos.dll;
??0CWbemGlueFactory@@QAA@XZ;code;framedynos.dll;
??0CWbemProviderGlue@@QAA@ABV0@@Z;code;framedynos.dll;
??0CWbemProviderGlue@@QAA@PAJ@Z;code;framedynos.dll;
??0CWbemProviderGlue@@QAA@XZ;code;framedynos.dll;
??0CWinMsgEvent@@QAA@ABV0@@Z;code;framedynos.dll;
??0CWinMsgEvent@@QAA@XZ;code;framedynos.dll;
??0CreateMutexAsProcess@@QAA@PBG@Z;code;framedynos.dll;
??0KeyRef@@QAA@PBGPBUtagVARIANT@@@Z;code;framedynos.dll;
??0KeyRef@@QAA@XZ;code;framedynos.dll;
??0MethodContext@@QAA@ABV0@@Z;code;framedynos.dll;
??0MethodContext@@QAA@PAUIWbemContext@@PAVCWbemProviderGlue@@@Z;code;framedynos.dll;
??0ParsedObjectPath@@QAA@XZ;code;framedynos.dll;
??0Provider@@QAA@ABV0@@Z;code;framedynos.dll;
??0Provider@@QAA@PBG0@Z;code;framedynos.dll;
??0ProviderLog@@QAA@ABV0@@Z;code;framedynos.dll;
??0ProviderLog@@QAA@XZ;code;framedynos.dll;
??0WBEMTime@@QAA@ABJ@Z;code;framedynos.dll;
??0WBEMTime@@QAA@ABU_FILETIME@@@Z;code;framedynos.dll;
??0WBEMTime@@QAA@ABU_SYSTEMTIME@@@Z;code;framedynos.dll;
??0WBEMTime@@QAA@ABUtm@@@Z;code;framedynos.dll;
??0WBEMTime@@QAA@QAG@Z;code;framedynos.dll;
??0WBEMTime@@QAA@XZ;code;framedynos.dll;
??0WBEMTimeSpan@@QAA@ABJ@Z;code;framedynos.dll;
??0WBEMTimeSpan@@QAA@ABU_FILETIME@@@Z;code;framedynos.dll;
??0WBEMTimeSpan@@QAA@HHHHHHH@Z;code;framedynos.dll;
??0WBEMTimeSpan@@QAA@QAG@Z;code;framedynos.dll;
??0WBEMTimeSpan@@QAA@XZ;code;framedynos.dll;
??1CAutoEvent@@QAA@XZ;code;framedynos.dll;
??1CFrameworkQuery@@QAA@XZ;code;framedynos.dll;
??1CFrameworkQueryEx@@QAA@XZ;code;framedynos.dll;
??1CHPtrArray@@QAA@XZ;code;framedynos.dll;
??1CHString@@QAA@XZ;code;framedynos.dll;
??1CHStringArray@@QAA@XZ;code;framedynos.dll;
??1CInstance@@UAA@XZ;code;framedynos.dll;
??1CObjectPathParser@@QAA@XZ;code;framedynos.dll;
??1CRegistry@@QAA@XZ;code;framedynos.dll;
??1CRegistrySearch@@QAA@XZ;code;framedynos.dll;
??1CThreadBase@@UAA@XZ;code;framedynos.dll;
??1CWbemGlueFactory@@QAA@XZ;code;framedynos.dll;
??1CWbemProviderGlue@@QAA@XZ;code;framedynos.dll;
??1CWinMsgEvent@@QAA@XZ;code;framedynos.dll;
??1CreateMutexAsProcess@@QAA@XZ;code;framedynos.dll;
??1KeyRef@@QAA@XZ;code;framedynos.dll;
??1MethodContext@@UAA@XZ;code;framedynos.dll;
??1ParsedObjectPath@@QAA@XZ;code;framedynos.dll;
??1Provider@@UAA@XZ;code;framedynos.dll;
??1ProviderLog@@UAA@XZ;code;framedynos.dll;
??4CAutoEvent@@QAAAAV0@ABV0@@Z;code;framedynos.dll;
??4CFrameworkQuery@@QAAAAV0@ABV0@@Z;code;framedynos.dll;
??4CFrameworkQueryEx@@QAAAAV0@ABV0@@Z;code;framedynos.dll;
??4CHPtrArray@@QAAAAV0@ABV0@@Z;code;framedynos.dll;
??4CHString@@QAAABV0@ABV0@@Z;code;framedynos.dll;
??4CHString@@QAAABV0@D@Z;code;framedynos.dll;
??4CHString@@QAAABV0@G@Z;code;framedynos.dll;
??4CHString@@QAAABV0@PAV0@@Z;code;framedynos.dll;
??4CHString@@QAAABV0@PBD@Z;code;framedynos.dll;
??4CHString@@QAAABV0@PBE@Z;code;framedynos.dll;
