Name;Type;DLL;SymbolOrOrdinal
??0?$CacheKey@VDateFmtBestPattern@icu@@@icu@@QAA@ABV01@@Z;code;icuin.dll;
??0?$CacheKey@VDateFmtBestPattern@icu@@@icu@@QAA@XZ;code;icuin.dll;
??0?$EnumSet@W4UDateFormatBooleanAttribute@@$0A@$03@icu@@QAA@ABV01@@Z;code;icuin.dll;
??0?$EnumSet@W4UDateFormatBooleanAttribute@@$0A@$03@icu@@QAA@XZ;code;icuin.dll;
??0?$EnumSet@W4UNumberFormatAttribute@@$0BAAA@$0BAAD@@icu@@QAA@ABV01@@Z;code;icuin.dll;
??0?$EnumSet@W4UNumberFormatAttribute@@$0BAAA@$0BAAD@@icu@@QAA@XZ;code;icuin.dll;
??0?$LocaleCacheKey@VDateFmtBestPattern@icu@@@icu@@QAA@ABV01@@Z;code;icuin.dll;
??0?$LocaleCacheKey@VDateFmtBestPattern@icu@@@icu@@QAA@ABVLocale@1@@Z;code;icuin.dll;
??0?$MaybeStackHeaderAndArray@UdecNumber@@D$0CI@@icu@@AAA@ABV01@@Z;code;icuin.dll;
??0?$MaybeStackHeaderAndArray@UdecNumber@@D$0CI@@icu@@QAA@XZ;code;icuin.dll;
??0?$PluralMap@VDigitAffix@icu@@@icu@@QAA@ABV01@@Z;code;icuin.dll;
??0?$PluralMap@VDigitAffix@icu@@@icu@@QAA@ABVDigitAffix@1@@Z;code;icuin.dll;
??0?$PluralMap@VDigitAffix@icu@@@icu@@QAA@XZ;code;icuin.dll;
??0AffixPattern@icu@@QAA@$$QAV01@@Z;code;icuin.dll;
??0AffixPattern@icu@@QAA@ABV01@@Z;code;icuin.dll;
??0AffixPattern@icu@@QAA@XZ;code;icuin.dll;
??0AffixPatternIterator@icu@@QAA@XZ;code;icuin.dll;
??0AffixPatternParser@icu@@QAA@$$QAV01@@Z;code;icuin.dll;
??0AffixPatternParser@icu@@QAA@ABV01@@Z;code;icuin.dll;
??0AffixPatternParser@icu@@QAA@ABVDecimalFormatSymbols@1@@Z;code;icuin.dll;
??0AffixPatternParser@icu@@QAA@XZ;code;icuin.dll;
??0AlphabeticIndex@icu@@QAA@ABVLocale@1@AAW4UErrorCode@@@Z;code;icuin.dll;
??0AlphabeticIndex@icu@@QAA@PAVRuleBasedCollator@1@AAW4UErrorCode@@@Z;code;icuin.dll;
??0AnnualTimeZoneRule@icu@@QAA@ABV01@@Z;code;icuin.dll;
??0AnnualTimeZoneRule@icu@@QAA@ABVUnicodeString@1@HHABVDateTimeRule@1@HH@Z;code;icuin.dll;
??0AnnualTimeZoneRule@icu@@QAA@ABVUnicodeString@1@HHPAVDateTimeRule@1@HH@Z;code;icuin.dll;
