Name;Type;DLL;SymbolOrOrdinal
CoCreateActivity;code;comsvcs.dll;
CoEnterServiceDomain;code;comsvcs.dll;
CoLeaveServiceDomain;code;comsvcs.dll;
CoLoadServices;code;comsvcs.dll;
ComSvcsExceptionFilter;code;comsvcs.dll;
ComSvcsLogError;code;comsvcs.dll;
CreateActivityInMTA;code;comsvcs.dll;7
DispManGetContext;code;comsvcs.dll;
DllUnregisterServerWeReallyMeanIt;code;comsvcs.dll;6
GetMTAThreadPoolMetrics;code;comsvcs.dll;
GetManagedExtensions;code;comsvcs.dll;
GetObjectContext;code;comsvcs.dll;
GetTrkSvrObject;code;comsvcs.dll;
MTSCreateActivity;code;comsvcs.dll;
MiniDumpW;code;comsvcs.dll;
RecycleSurrogate;code;comsvcs.dll;
SafeRef;code;comsvcs.dll;
