Name;Type;DLL;SymbolOrOrdinal
CredPackAuthenticationBufferA;code;credui.dll;_CredPackAuthenticationBufferA@20
CredPackAuthenticationBufferW;code;credui.dll;_CredPackAuthenticationBufferW@20
CredUICmdLinePromptForCredentialsA;code;credui.dll;_CredUICmdLinePromptForCredentialsA@36
CredUICmdLinePromptForCredentialsW;code;credui.dll;_CredUICmdLinePromptForCredentialsW@36
CredUIConfirmCredentialsA;code;credui.dll;_CredUIConfirmCredentialsA@8
CredUIConfirmCredentialsW;code;credui.dll;_CredUIConfirmCredentialsW@8
CredUIParseUserNameA;code;credui.dll;_CredUIParseUserNameA@20
CredUIParseUserNameW;code;credui.dll;_CredUIParseUserNameW@20
CredUIPromptForCredentialsA;code;credui.dll;_CredUIPromptForCredentialsA@40
CredUIPromptForCredentialsW;code;credui.dll;_CredUIPromptForCredentialsW@40
CredUIPromptForWindowsCredentialsA;code;credui.dll;_CredUIPromptForWindowsCredentialsA@36
CredUIPromptForWindowsCredentialsW;code;credui.dll;_CredUIPromptForWindowsCredentialsW@36
CredUIReadSSOCredW;code;credui.dll;_CredUIReadSSOCredW@8
CredUIStoreSSOCredW;code;credui.dll;_CredUIStoreSSOCredW@16
CredUnPackAuthenticationBufferA;code;credui.dll;_CredUnPackAuthenticationBufferA@36
CredUnPackAuthenticationBufferW;code;credui.dll;_CredUnPackAuthenticationBufferW@36
SspiGetCredUIContext;code;credui.dll;_SspiGetCredUIContext@20
SspiIsPromptingNeeded;code;credui.dll;_SspiIsPromptingNeeded@4
SspiPromptForCredentialsA;code;credui.dll;_SspiPromptForCredentialsA@32
SspiPromptForCredentialsW;code;credui.dll;_SspiPromptForCredentialsW@32
SspiUnmarshalCredUIContext;code;credui.dll;_SspiUnmarshalCredUIContext@12
SspiUpdateCredentials;code;credui.dll;_SspiUpdateCredentials@16
