Name;Type;DLL;SymbolOrOrdinal
DnsGetDomainName;code;DNSAPI.dll;@DnsGetDomainName@4
DnsIsAMailboxType;code;DNSAPI.dll;@DnsIsAMailboxType@4
DnsIsNSECType;code;DNSAPI.dll;@DnsIsNSECType@4
DnsIsStatusRcode;code;DNSAPI.dll;@DnsIsStatusRcode@4
DnsMapRcodeToStatus;code;DNSAPI.dll;@DnsMapRcodeToStatus@4
DnsStatusString;code;DNSAPI.dll;@DnsStatusString@4
DnsUnicodeToUtf8;code;DNSAPI.dll;@DnsUnicodeToUtf8@16
DnsUtf8ToUnicode;code;DNSAPI.dll;@DnsUtf8ToUnicode@16
Dns_ReadPacketName;code;DNSAPI.dll;@Dns_ReadPacketName@28
Dns_ReadPacketNameAllocate;code;DNSAPI.dll;@Dns_ReadPacketNameAllocate@28
Dns_SkipPacketName;code;DNSAPI.dll;@Dns_SkipPacketName@8
Dns_WriteDottedNameToPacket;code;DNSAPI.dll;@Dns_WriteDottedNameToPacket@24
AdaptiveTimeout_ClearInterfaceSpecificConfiguration;code;DNSAPI.dll;_AdaptiveTimeout_ClearInterfaceSpecificConfiguration@0
AdaptiveTimeout_ResetAdaptiveTimeout;code;DNSAPI.dll;_AdaptiveTimeout_ResetAdaptiveTimeout@0
AddRefQueryBlobEx;code;DNSAPI.dll;_AddRefQueryBlobEx@16
BreakRecordsIntoBlob;code;DNSAPI.dll;_BreakRecordsIntoBlob@12
Coalesce_UpdateNetVersion;code;DNSAPI.dll;_Coalesce_UpdateNetVersion@0
CombineRecordsInBlob;code;DNSAPI.dll;_CombineRecordsInBlob@8
DeRefQueryBlobEx;code;DNSAPI.dll;_DeRefQueryBlobEx@16
DelaySortDAServerlist;code;DNSAPI.dll;_DelaySortDAServerlist@0
DnsAcquireContextHandle_A;code;DNSAPI.dll;_DnsAcquireContextHandle_A@12
DnsAcquireContextHandle_W;code;DNSAPI.dll;_DnsAcquireContextHandle_W@12
DnsAllocateRecord;code;DNSAPI.dll;_DnsAllocateRecord@4
DnsApiAlloc;code;DNSAPI.dll;_DnsApiAlloc@4
DnsApiAllocZero;code;DNSAPI.dll;_DnsApiAllocZero@4
DnsApiFree;code;DNSAPI.dll;_DnsApiFree@4
DnsApiHeapReset;code;DNSAPI.dll;_DnsApiHeapReset@12
DnsApiRealloc;code;DNSAPI.dll;_DnsApiRealloc@8
DnsApiSetDebugGlobals;code;DNSAPI.dll;_DnsApiSetDebugGlobals@4
DnsAsyncRegisterHostAddrs;code;DNSAPI.dll;_DnsAsyncRegisterHostAddrs@40
DnsAsyncRegisterInit;code;DNSAPI.dll;_DnsAsyncRegisterInit@4
DnsAsyncRegisterTerm;code;DNSAPI.dll;_DnsAsyncRegisterTerm@0
DnsCancelQuery;code;DNSAPI.dll;_DnsCancelQuery@4
DnsConnectionDeletePolicyEntries;code;DNSAPI.dll;_DnsConnectionDeletePolicyEntries@4
DnsConnectionDeletePolicyEntriesPrivate;code;DNSAPI.dll;_DnsConnectionDeletePolicyEntriesPrivate@8
DnsConnectionDeleteProxyInfo;code;DNSAPI.dll;_DnsConnectionDeleteProxyInfo@8
DnsConnectionFreeNameList;code;DNSAPI.dll;_DnsConnectionFreeNameList@4
DnsConnectionFreeProxyInfo;code;DNSAPI.dll;_DnsConnectionFreeProxyInfo@4
DnsConnectionFreeProxyInfoEx;code;DNSAPI.dll;_DnsConnectionFreeProxyInfoEx@4
DnsConnectionFreeProxyList;code;DNSAPI.dll;_DnsConnectionFreeProxyList@4
DnsConnectionGetHandleForHostUrlPrivate;code;DNSAPI.dll;_DnsConnectionGetHandleForHostUrlPrivate@24
DnsConnectionGetNameList;code;DNSAPI.dll;_DnsConnectionGetNameList@4
DnsConnectionGetProxyInfo;code;DNSAPI.dll;_DnsConnectionGetProxyInfo@12
DnsConnectionGetProxyInfoForHostUrl;code;DNSAPI.dll;_DnsConnectionGetProxyInfoForHostUrl@20
DnsConnectionGetProxyList;code;DNSAPI.dll;_DnsConnectionGetProxyList@8
DnsConnectionSetPolicyEntries;code;DNSAPI.dll;_DnsConnectionSetPolicyEntries@8
DnsConnectionSetPolicyEntriesPrivate;code;DNSAPI.dll;_DnsConnectionSetPolicyEntriesPrivate@12
