Name;Type;DLL;SymbolOrOrdinal
MultinetGetConnectionPerformanceA;code;MPR.dll;_MultinetGetConnectionPerformanceA@8
MultinetGetConnectionPerformanceW;code;MPR.dll;_MultinetGetConnectionPerformanceW@8
WNetAddConnection2A;code;MPR.dll;_WNetAddConnection2A@16
WNetAddConnection2W;code;MPR.dll;_WNetAddConnection2W@16
WNetAddConnection3A;code;MPR.dll;_WNetAddConnection3A@20
WNetAddConnection3W;code;MPR.dll;_WNetAddConnection3W@20
WNetAddConnectionA;code;MPR.dll;_WNetAddConnectionA@12
WNetAddConnectionW;code;MPR.dll;_WNetAddConnectionW@12
WNetCancelConnection2A;code;MPR.dll;_WNetCancelConnection2A@12
WNetCancelConnection2W;code;MPR.dll;_WNetCancelConnection2W@12
WNetCancelConnectionA;code;MPR.dll;_WNetCancelConnectionA@8
WNetCancelConnectionW;code;MPR.dll;_WNetCancelConnectionW@8
WNetCloseEnum;code;MPR.dll;_WNetCloseEnum@4
WNetConnectionDialog1A;code;MPR.dll;_WNetConnectionDialog1A@4
WNetConnectionDialog1W;code;MPR.dll;_WNetConnectionDialog1W@4
WNetConnectionDialog;code;MPR.dll;_WNetConnectionDialog@8
WNetDisconnectDialog1A;code;MPR.dll;_WNetDisconnectDialog1A@4
WNetDisconnectDialog1W;code;MPR.dll;_WNetDisconnectDialog1W@4
WNetDisconnectDialog;code;MPR.dll;_WNetDisconnectDialog@8
WNetEnumResourceA;code;MPR.dll;_WNetEnumResourceA@16
WNetEnumResourceW;code;MPR.dll;_WNetEnumResourceW@16
WNetGetConnectionA;code;MPR.dll;_WNetGetConnectionA@12
WNetGetConnectionW;code;MPR.dll;_WNetGetConnectionW@12
WNetGetLastErrorA;code;MPR.dll;_WNetGetLastErrorA@20
WNetGetLastErrorW;code;MPR.dll;_WNetGetLastErrorW@20
WNetGetNetworkInformationA;code;MPR.dll;_WNetGetNetworkInformationA@8
WNetGetNetworkInformationW;code;MPR.dll;_WNetGetNetworkInformationW@8
WNetGetProviderNameA;code;MPR.dll;_WNetGetProviderNameA@12
WNetGetProviderNameW;code;MPR.dll;_WNetGetProviderNameW@12
WNetGetResourceInformationA;code;MPR.dll;_WNetGetResourceInformationA@16
WNetGetResourceInformationW;code;MPR.dll;_WNetGetResourceInformationW@16
WNetGetResourceParentA;code;MPR.dll;_WNetGetResourceParentA@12
WNetGetResourceParentW;code;MPR.dll;_WNetGetResourceParentW@12
WNetGetUniversalNameA;code;MPR.dll;_WNetGetUniversalNameA@16
WNetGetUniversalNameW;code;MPR.dll;_WNetGetUniversalNameW@16
WNetGetUserA;code;MPR.dll;_WNetGetUserA@12
WNetGetUserW;code;MPR.dll;_WNetGetUserW@12
WNetOpenEnumA;code;MPR.dll;_WNetOpenEnumA@20
WNetOpenEnumW;code;MPR.dll;_WNetOpenEnumW@20
WNetSetLastErrorA;code;MPR.dll;_WNetSetLastErrorA@12
WNetSetLastErrorW;code;MPR.dll;_WNetSetLastErrorW@12
WNetUseConnectionA;code;MPR.dll;_WNetUseConnectionA@32
WNetUseConnectionW;code;MPR.dll;_WNetUseConnectionW@32
