Name;Type;DLL;SymbolOrOrdinal
WinBioAcquireFocus;code;winbio.dll;_WinBioAcquireFocus@0
WinBioAsyncEnumBiometricUnits;code;winbio.dll;_WinBioAsyncEnumBiometricUnits@8
WinBioAsyncEnumDatabases;code;winbio.dll;_WinBioAsyncEnumDatabases@8
WinBioAsyncEnumServiceProviders;code;winbio.dll;_WinBioAsyncEnumServiceProviders@8
WinBioAsyncMonitorFrameworkChanges;code;winbio.dll;_WinBioAsyncMonitorFrameworkChanges@8
WinBioAsyncOpenFramework;code;winbio.dll;_WinBioAsyncOpenFramework@28
WinBioAsyncOpenSession;code;winbio.dll;_WinBioAsyncOpenSession@52
WinBioCancel;code;winbio.dll;_WinBioCancel@4
WinBioCaptureSample;code;winbio.dll;_WinBioCaptureSample@28
WinBioCaptureSampleWithCallback;code;winbio.dll;_WinBioCaptureSampleWithCallback@20
WinBioCloseFramework;code;winbio.dll;_WinBioCloseFramework@4
WinBioCloseSession;code;winbio.dll;_WinBioCloseSession@4
WinBioControlUnit;code;winbio.dll;_WinBioControlUnit@40
WinBioControlUnitPrivileged;code;winbio.dll;_WinBioControlUnitPrivileged@40
WinBioDeleteTemplate;code;winbio.dll;_WinBioDeleteTemplate@16
WinBioEnrollBegin;code;winbio.dll;_WinBioEnrollBegin@12
WinBioEnrollCapture;code;winbio.dll;_WinBioEnrollCapture@8
WinBioEnrollCaptureWithCallback;code;winbio.dll;_WinBioEnrollCaptureWithCallback@12
WinBioEnrollCommit;code;winbio.dll;_WinBioEnrollCommit@12
WinBioEnrollDiscard;code;winbio.dll;_WinBioEnrollDiscard@4
WinBioEnrollSelect;code;winbio.dll;_WinBioEnrollSelect@12
WinBioEnumBiometricUnits;code;winbio.dll;_WinBioEnumBiometricUnits@12
WinBioEnumDatabases;code;winbio.dll;_WinBioEnumDatabases@12
WinBioEnumEnrollments;code;winbio.dll;_WinBioEnumEnrollments@20
WinBioEnumServiceProviders;code;winbio.dll;_WinBioEnumServiceProviders@12
WinBioFree;code;winbio.dll;_WinBioFree@4
WinBioGetCredentialState;code;winbio.dll;_WinBioGetCredentialState@84
WinBioGetCredentialWithTicket;code;winbio.dll;_WinBioGetCredentialWithTicket@24
WinBioGetDomainLogonSetting;code;winbio.dll;_WinBioGetDomainLogonSetting@8
WinBioGetEnabledSetting;code;winbio.dll;_WinBioGetEnabledSetting@8
WinBioGetEnrolledFactors;code;winbio.dll;_WinBioGetEnrolledFactors@8
WinBioGetLogonSetting;code;winbio.dll;_WinBioGetLogonSetting@8
WinBioGetProperty;code;winbio.dll;_WinBioGetProperty@32
WinBioIdentify;code;winbio.dll;_WinBioIdentify@20
WinBioIdentifyAndReleaseTicket;code;winbio.dll;_WinBioIdentifyAndReleaseTicket@24
WinBioIdentifyWithCallback;code;winbio.dll;_WinBioIdentifyWithCallback@12
WinBioLocateSensor;code;winbio.dll;_WinBioLocateSensor@8
WinBioLocateSensorWithCallback;code;winbio.dll;_WinBioLocateSensorWithCallback@12
WinBioLockUnit;code;winbio.dll;_WinBioLockUnit@8
WinBioLogonIdentifiedUser;code;winbio.dll;_WinBioLogonIdentifiedUser@4
WinBioMonitorPresence;code;winbio.dll;_WinBioMonitorPresence@8
WinBioOpenSession;code;winbio.dll;_WinBioOpenSession@28
WinBioProtectData;code;winbio.dll;_WinBioProtectData@20
WinBioRegisterEventMonitor;code;winbio.dll;_WinBioRegisterEventMonitor@16
WinBioRegisterServiceMonitor;code;winbio.dll;_WinBioRegisterServiceMonitor@16
WinBioReleaseFocus;code;winbio.dll;_WinBioReleaseFocus@0
WinBioRemoveAllCredentials;code;winbio.dll;_WinBioRemoveAllCredentials@0
WinBioRemoveAllDomainCredentials;code;winbio.dll;_WinBioRemoveAllDomainCredentials@0
WinBioRemoveCredential;code;winbio.dll;_WinBioRemoveCredential@80
WinBioSetCredential;code;winbio.dll;_WinBioSetCredential@16
WinBioSetMSACredential;code;winbio.dll;_WinBioSetMSACredential@12
WinBioSetProperty;code;winbio.dll;_WinBioSetProperty@32
WinBioUnlockUnit;code;winbio.dll;_WinBioUnlockUnit@8
WinBioUnprotectData;code;winbio.dll;_WinBioUnprotectData@24
WinBioUnregisterEventMonitor;code;winbio.dll;_WinBioUnregisterEventMonitor@4
WinBioUnregisterServiceMonitor;code;winbio.dll;_WinBioUnregisterServiceMonitor@4
WinBioVerify;code;winbio.dll;_WinBioVerify@24
WinBioVerifyAndReleaseTicket;code;winbio.dll;_WinBioVerifyAndReleaseTicket@28
WinBioVerifyWithCallback;code;winbio.dll;_WinBioVerifyWithCallback@20
WinBioWait;code;winbio.dll;_WinBioWait@4
