Name;Type;DLL;SymbolOrOrdinal
DIFXAPISetLogCallbackA;code;DIFXAPI.dll;_DIFXAPISetLogCallbackA@8
DIFXAPISetLogCallbackW;code;DIFXAPI.dll;_DIFXAPISetLogCallbackW@8
DriverPackageGetPathA;code;DIFXAPI.dll;_DriverPackageGetPathA@12
DriverPackageGetPathW;code;DIFXAPI.dll;_DriverPackageGetPathW@12
DriverPackageInstallA;code;DIFXAPI.dll;_DriverPackageInstallA@16
DriverPackageInstallW;code;DIFXAPI.dll;_DriverPackageInstallW@16
DriverPackagePreinstallA;code;DIFXAPI.dll;_DriverPackagePreinstallA@8
DriverPackagePreinstallW;code;DIFXAPI.dll;_DriverPackagePreinstallW@8
DriverPackageUninstallA;code;DIFXAPI.dll;_DriverPackageUninstallA@16
DriverPackageUninstallW;code;DIFXAPI.dll;_DriverPackageUninstallW@16
SetDifxLogCallbackA;code;DIFXAPI.dll;_SetDifxLogCallbackA@8
SetDifxLogCallbackW;code;DIFXAPI.dll;_SetDifxLogCallbackW@8
