Name;Type;DLL;SymbolOrOrdinal
ServiceMain;code;wiaservc.dll;?ServiceMain@@YGXIPAPAG@Z (void __stdcall ServiceMain(unsigned int,unsigned short * *))
wiasCreateChildAppItem;code;wiaservc.dll;_wiasCreateChildAppItem@20
wiasCreateDrvItem;code;wiaservc.dll;_wiasCreateDrvItem@28
wiasCreateLogInstance;code;wiaservc.dll;_wiasCreateLogInstance@8
wiasCreatePropContext;code;wiaservc.dll;_wiasCreatePropContext@20
wiasDebugError;code;wiaservc.dll;_wiasDebugError
wiasDebugTrace;code;wiaservc.dll;_wiasDebugTrace
wiasDownSampleBuffer;code;wiaservc.dll;_wiasDownSampleBuffer@8
wiasFormatArgs;code;wiaservc.dll;_wiasFormatArgs
wiasFreePropContext;code;wiaservc.dll;_wiasFreePropContext@4
wiasGetChangedValueFloat;code;wiaservc.dll;_wiasGetChangedValueFloat@20
wiasGetChangedValueGuid;code;wiaservc.dll;_wiasGetChangedValueGuid@20
wiasGetChangedValueLong;code;wiaservc.dll;_wiasGetChangedValueLong@20
wiasGetChangedValueStr;code;wiaservc.dll;_wiasGetChangedValueStr@20
wiasGetChildrenContexts;code;wiaservc.dll;_wiasGetChildrenContexts@12
wiasGetContextFromName;code;wiaservc.dll;_wiasGetContextFromName@16
wiasGetDrvItem;code;wiaservc.dll;_wiasGetDrvItem@8
wiasGetImageInformation;code;wiaservc.dll;_wiasGetImageInformation@12
wiasGetItemType;code;wiaservc.dll;_wiasGetItemType@8
wiasGetPropertyAttributes;code;wiaservc.dll;_wiasGetPropertyAttributes@20
wiasGetRootItem;code;wiaservc.dll;_wiasGetRootItem@8
wiasIsPropChanged;code;wiaservc.dll;_wiasIsPropChanged@12
wiasParseEndorserString;code;wiaservc.dll;_wiasParseEndorserString@16
wiasPrintDebugHResult;code;wiaservc.dll;_wiasPrintDebugHResult@8
wiasQueueEvent;code;wiaservc.dll;_wiasQueueEvent@12
wiasReadMultiple;code;wiaservc.dll;_wiasReadMultiple@20
wiasReadPropBin;code;wiaservc.dll;_wiasReadPropBin@20
wiasReadPropFloat;code;wiaservc.dll;_wiasReadPropFloat@20
wiasReadPropGuid;code;wiaservc.dll;_wiasReadPropGuid@20
wiasReadPropLong;code;wiaservc.dll;_wiasReadPropLong@20
wiasReadPropStr;code;wiaservc.dll;_wiasReadPropStr@20
wiasSendEndOfPage;code;wiaservc.dll;_wiasSendEndOfPage@12
wiasSetItemPropAttribs;code;wiaservc.dll;_wiasSetItemPropAttribs@16
wiasSetItemPropNames;code;wiaservc.dll;_wiasSetItemPropNames@16
wiasSetPropChanged;code;wiaservc.dll;_wiasSetPropChanged@12
wiasSetPropertyAttributes;code;wiaservc.dll;_wiasSetPropertyAttributes@20
wiasSetValidFlag;code;wiaservc.dll;_wiasSetValidFlag@16
wiasSetValidListFloat;code;wiaservc.dll;_wiasSetValidListFloat@20
wiasSetValidListGuid;code;wiaservc.dll;_wiasSetValidListGuid@32
wiasSetValidListLong;code;wiaservc.dll;_wiasSetValidListLong@20
wiasSetValidListStr;code;wiaservc.dll;_wiasSetValidListStr@20
wiasSetValidRangeFloat;code;wiaservc.dll;_wiasSetValidRangeFloat@24
wiasSetValidRangeLong;code;wiaservc.dll;_wiasSetValidRangeLong@24
wiasUpdateScanRect;code;wiaservc.dll;_wiasUpdateScanRect@16
wiasUpdateValidFormat;code;wiaservc.dll;_wiasUpdateValidFormat@12
wiasValidateItemProperties;code;wiaservc.dll;_wiasValidateItemProperties@12
wiasWriteBufToFile;code;wiaservc.dll;_wiasWriteBufToFile@8
wiasWriteMultiple;code;wiaservc.dll;_wiasWriteMultiple@16
wiasWritePageBufToFile;code;wiaservc.dll;_wiasWritePageBufToFile@4
wiasWritePageBufToStream;code;wiaservc.dll;_wiasWritePageBufToStream@8
wiasWritePropBin;code;wiaservc.dll;_wiasWritePropBin@16
wiasWritePropFloat;code;wiaservc.dll;_wiasWritePropFloat@12
wiasWritePropGuid;code;wiaservc.dll;_wiasWritePropGuid@24
wiasWritePropLong;code;wiaservc.dll;_wiasWritePropLong@12
wiasWritePropStr;code;wiaservc.dll;_wiasWritePropStr@12
