Name;Type;DLL;SymbolOrOrdinal
BeginCacheTransaction;code;query.dll;?BeginCacheTransaction@@YAJPAKPBG11@Z (long __cdecl BeginCacheTransaction(unsigned long *,unsigned short const *,unsigned short const *,unsigned short const *))
CIBuildQueryNode;code;query.dll;?CIBuildQueryNode@@YAJPBGGPBUtagPROPVARIANT@@PAPAUtagDBCOMMANDTREE@@KPBUtagCIPROPERTYDEF@@K@Z (long __cdecl CIBuildQueryNode(unsigned short const *,unsigned short,struct tagPROPVARIANT const *,struct tagDBCOMMANDTREE * *,unsigned long,struct tagCIPROPERTYDEF const *,unsigned long))
CIBuildQueryTree;code;query.dll;?CIBuildQueryTree@@YAJPBUtagDBCOMMANDTREE@@GKPBQBU1@PAPAU1@@Z (long __cdecl CIBuildQueryTree(struct tagDBCOMMANDTREE const *,unsigned short,unsigned long,struct tagDBCOMMANDTREE const * const *,struct tagDBCOMMANDTREE * *))
CICreateCommand;code;query.dll;?CICreateCommand@@YAJPAPAUIUnknown@@PAU1@ABU_GUID@@PBG3@Z (long __cdecl CICreateCommand(struct IUnknown * *,struct IUnknown *,struct _GUID const &,unsigned short const *,unsigned short const *))
CIGetGlobalPropertyList;code;query.dll;?CIGetGlobalPropertyList@@YAJPAPAX@Z (long __cdecl CIGetGlobalPropertyList(void * *))
CIMakeICommand;code;query.dll;?CIMakeICommand@@YAJPAPAUICommand@@KPBKPBQBG22@Z (long __cdecl CIMakeICommand(struct ICommand * *,unsigned long,unsigned long const *,unsigned short const * const *,unsigned short const * const *,unsigned short const * const *))
CIRestrictionToFullTree;code;query.dll;?CIRestrictionToFullTree@@YAJPBUtagDBCOMMANDTREE@@PBG11PAPAU1@KPAUtagCIPROPERTYDEF@@K@Z (long __cdecl CIRestrictionToFullTree(struct tagDBCOMMANDTREE const *,unsigned short const *,unsigned short const *,unsigned short const *,struct tagDBCOMMANDTREE * *,unsigned long,struct tagCIPROPERTYDEF *,unsigned long))
CIState;code;query.dll;?CIState@@YAJPBG0PAX@Z (long __cdecl CIState(unsigned short const *,unsigned short const *,void *))
CITextToFullTree;code;query.dll;?CITextToFullTree@@YAJPBG000PAPAUtagDBCOMMANDTREE@@KPAUtagCIPROPERTYDEF@@K@Z (long __cdecl CITextToFullTree(unsigned short const *,unsigned short const *,unsigned short const *,unsigned short const *,struct tagDBCOMMANDTREE * *,unsigned long,struct tagCIPROPERTYDEF *,unsigned long))
CITextToFullTreeEx;code;query.dll;?CITextToFullTreeEx@@YAJPBGK000PAPAUtagDBCOMMANDTREE@@KPAUtagCIPROPERTYDEF@@K@Z (long __cdecl CITextToFullTreeEx(unsigned short const *,unsigned long,unsigned short const *,unsigned short const *,unsigned short const *,struct tagDBCOMMANDTREE * *,unsigned long,struct tagCIPROPERTYDEF *,unsigned long))
CITextToSelectTree;code;query.dll;?CITextToSelectTree@@YAJPBGPAPAUtagDBCOMMANDTREE@@KPAUtagCIPROPERTYDEF@@K@Z (long __cdecl CITextToSelectTree(unsigned short const *,struct tagDBCOMMANDTREE * *,unsigned long,struct tagCIPROPERTYDEF *,unsigned long))
CITextToSelectTreeEx;code;query.dll;?CITextToSelectTreeEx@@YAJPBGKPAPAUtagDBCOMMANDTREE@@KPAUtagCIPROPERTYDEF@@K@Z (long __cdecl CITextToSelectTreeEx(unsigned short const *,unsigned long,struct tagDBCOMMANDTREE * *,unsigned long,struct tagCIPROPERTYDEF *,unsigned long))
CiCreateSecurityDescriptor;code;query.dll;?CiCreateSecurityDescriptor@@YAXQBXKPAU_SID@@1AAH@Z (void __cdecl CiCreateSecurityDescriptor(void const * const,unsigned long,struct _SID *,struct _SID *,int &))
CiSvcMain;code;query.dll;?CiSvcMain@@YAXKPAPAG@Z (void __cdecl CiSvcMain(unsigned long,unsigned short * *))
CollectCIISAPIPerformanceData;code;query.dll;?CollectCIISAPIPerformanceData@@YAKPAGPAPAXPAK2@Z (unsigned long __cdecl CollectCIISAPIPerformanceData(unsigned short *,void * *,unsigned long *,unsigned long *))
CollectCIPerformanceData;code;query.dll;?CollectCIPerformanceData@@YAKPAGPAPAXPAK2@Z (unsigned long __cdecl CollectCIPerformanceData(unsigned short *,void * *,unsigned long *,unsigned long *))
CollectFILTERPerformanceData;code;query.dll;?CollectFILTERPerformanceData@@YAKPAGPAPAXPAK2@Z (unsigned long __cdecl CollectFILTERPerformanceData(unsigned short *,void * *,unsigned long *,unsigned long *))
DoneCIISAPIPerformanceData;code;query.dll;?DoneCIISAPIPerformanceData@@YAKXZ (unsigned long __cdecl DoneCIISAPIPerformanceData(void))
DoneCIPerformanceData;code;query.dll;?DoneCIPerformanceData@@YAKXZ (unsigned long __cdecl DoneCIPerformanceData(void))
DoneFILTERPerformanceData;code;query.dll;?DoneFILTERPerformanceData@@YAKXZ (unsigned long __cdecl DoneFILTERPerformanceData(void))
EndCacheTransaction;code;query.dll;?EndCacheTransaction@@YAJKHPBG00@Z (long __cdecl EndCacheTransaction(unsigned long,int,unsigned short const *,unsigned short const *,unsigned short const *))
FsCiShutdown;code;query.dll;?FsCiShutdown@@YAJXZ (long __cdecl FsCiShutdown(void))
InitializeCIISAPIPerformanceData;code;query.dll;?InitializeCIISAPIPerformanceData@@YAKPAG@Z (unsigned long __cdecl InitializeCIISAPIPerformanceData(unsigned short *))
InitializeCIPerformanceData;code;query.dll;?InitializeCIPerformanceData@@YAKPAG@Z (unsigned long __cdecl InitializeCIPerformanceData(unsigned short *))
InitializeFILTERPerformanceData;code;query.dll;?InitializeFILTERPerformanceData@@YAKPAG@Z (unsigned long __cdecl InitializeFILTERPerformanceData(unsigned short *))
LoadBinaryFilter;code;query.dll;?LoadBinaryFilter@@YAJPBGPAPAUIFilter@@@Z (long __cdecl LoadBinaryFilter(unsigned short const *,struct IFilter * *))
LoadTextFilter;code;query.dll;?LoadTextFilter@@YAJPBGPAPAUIFilter@@@Z (long __cdecl LoadTextFilter(unsigned short const *,struct IFilter * *))
SetCatalogState;code;query.dll;?SetCatalogState@@YAJPBG0KPAK@Z (long __cdecl SetCatalogState(unsigned short const *,unsigned short const *,unsigned long,unsigned long *))
