Name;Type;DLL;SymbolOrOrdinal
AccProvHandleGrantAccessRights;code;NTMARTA.dll;?AccProvHandleGrantAccessRights@@YAKPAXW4_SE_OBJECT_TYPE@@PAU_ACTRL_ALISTW@@2PAU_ACTRL_OVERLAPPED@@@Z (unsigned long __cdecl AccProvHandleGrantAccessRights(void *,enum _SE_OBJECT_TYPE,struct _ACTRL_ALISTW *,struct _ACTRL_ALISTW *,struct _ACTRL_OVERLAPPED *))
GetMartaExtensionInterface;code;NTMARTA.dll;?GetMartaExtensionInterface@@YAPAU_ACC_MARTA_FUNCTIONS@@XZ (struct _ACC_MARTA_FUNCTIONS * __cdecl GetMartaExtensionInterface(void))
AccConvertAccessMaskToActrlAccess;code;NTMARTA.dll;
AccConvertAccessToSD;code;NTMARTA.dll;
AccConvertAccessToSecurityDescriptor;code;NTMARTA.dll;
AccConvertAclToAccess;code;NTMARTA.dll;
AccConvertSDToAccess;code;NTMARTA.dll;
AccFreeIndexArray;code;NTMARTA.dll;
AccGetAccessForTrustee;code;NTMARTA.dll;
AccGetExplicitEntries;code;NTMARTA.dll;
AccGetInheritanceSource;code;NTMARTA.dll;
AccLookupAccountName;code;NTMARTA.dll;
AccLookupAccountSid;code;NTMARTA.dll;
AccLookupAccountTrustee;code;NTMARTA.dll;
AccProvCancelOperation;code;NTMARTA.dll;
AccProvGetAccessInfoPerObjectType;code;NTMARTA.dll;
AccProvGetAllRights;code;NTMARTA.dll;
AccProvGetCapabilities;code;NTMARTA.dll;
AccProvGetOperationResults;code;NTMARTA.dll;
AccProvGetTrusteesAccess;code;NTMARTA.dll;
AccProvGrantAccessRights;code;NTMARTA.dll;
AccProvHandleGetAccessInfoPerObjectType;code;NTMARTA.dll;
AccProvHandleGetAllRights;code;NTMARTA.dll;
AccProvHandleGetTrusteesAccess;code;NTMARTA.dll;
AccProvHandleIsAccessAudited;code;NTMARTA.dll;
AccProvHandleIsObjectAccessible;code;NTMARTA.dll;
AccProvHandleRevokeAccessRights;code;NTMARTA.dll;
AccProvHandleRevokeAuditRights;code;NTMARTA.dll;
AccProvHandleSetAccessRights;code;NTMARTA.dll;
AccProvIsAccessAudited;code;NTMARTA.dll;
AccProvIsObjectAccessible;code;NTMARTA.dll;
AccProvRevokeAccessRights;code;NTMARTA.dll;
AccProvRevokeAuditRights;code;NTMARTA.dll;
AccProvSetAccessRights;code;NTMARTA.dll;
AccRewriteGetExplicitEntriesFromAcl;code;NTMARTA.dll;
AccRewriteGetHandleRights;code;NTMARTA.dll;
AccRewriteGetNamedRights;code;NTMARTA.dll;
AccRewriteSetEntriesInAcl;code;NTMARTA.dll;
AccRewriteSetHandleRights;code;NTMARTA.dll;
AccRewriteSetNamedRights;code;NTMARTA.dll;
AccSetEntriesInAList;code;NTMARTA.dll;
AccTreeResetNamedSecurityInfo;code;NTMARTA.dll;
EventGuidToName;code;NTMARTA.dll;
EventNameFree;code;NTMARTA.dll;
