Name;Type;DLL;SymbolOrOrdinal
SnmpSvcAddrIsIpx;code;snmpapi.dll;_SnmpSvcAddrIsIpx@12
SnmpSvcAddrToSocket;code;snmpapi.dll;_SnmpSvcAddrToSocket@8
SnmpSvcGetEnterpriseOID;code;snmpapi.dll;_SnmpSvcGetEnterpriseOID@0
SnmpSvcGetUptime;code;snmpapi.dll;_SnmpSvcGetUptime@0
SnmpSvcGetUptimeFromTime;code;snmpapi.dll;_SnmpSvcGetUptimeFromTime@4
SnmpSvcInitUptime;code;snmpapi.dll;_SnmpSvcInitUptime@0
SnmpSvcSetLogLevel;code;snmpapi.dll;_SnmpSvcSetLogLevel@4
SnmpSvcSetLogType;code;snmpapi.dll;_SnmpSvcSetLogType@4
SnmpTfxClose;code;snmpapi.dll;_SnmpTfxClose@4
SnmpTfxOpen;code;snmpapi.dll;_SnmpTfxOpen@8
SnmpTfxQuery;code;snmpapi.dll;_SnmpTfxQuery@20
SnmpUtilAnsiToUnicode;code;snmpapi.dll;_SnmpUtilAnsiToUnicode@16
SnmpUtilAsnAnyCpy;code;snmpapi.dll;_SnmpUtilAsnAnyCpy@8
SnmpUtilAsnAnyFree;code;snmpapi.dll;_SnmpUtilAsnAnyFree@4
SnmpUtilDbgPrint;code;snmpapi.dll;_SnmpUtilDbgPrint
SnmpUtilIdsToA;code;snmpapi.dll;_SnmpUtilIdsToA@8
SnmpUtilMemAlloc;code;snmpapi.dll;_SnmpUtilMemAlloc@4
SnmpUtilMemFree;code;snmpapi.dll;_SnmpUtilMemFree@4
SnmpUtilMemReAlloc;code;snmpapi.dll;_SnmpUtilMemReAlloc@8
SnmpUtilOctetsCmp;code;snmpapi.dll;_SnmpUtilOctetsCmp@8
SnmpUtilOctetsCpy;code;snmpapi.dll;_SnmpUtilOctetsCpy@8
SnmpUtilOctetsFree;code;snmpapi.dll;_SnmpUtilOctetsFree@4
SnmpUtilOctetsNCmp;code;snmpapi.dll;_SnmpUtilOctetsNCmp@12
SnmpUtilOidAppend;code;snmpapi.dll;_SnmpUtilOidAppend@8
SnmpUtilOidCmp;code;snmpapi.dll;_SnmpUtilOidCmp@8
SnmpUtilOidCpy;code;snmpapi.dll;_SnmpUtilOidCpy@8
SnmpUtilOidFree;code;snmpapi.dll;_SnmpUtilOidFree@4
SnmpUtilOidNCmp;code;snmpapi.dll;_SnmpUtilOidNCmp@12
SnmpUtilOidToA;code;snmpapi.dll;_SnmpUtilOidToA@4
SnmpUtilPrintAsnAny;code;snmpapi.dll;_SnmpUtilPrintAsnAny@4
SnmpUtilPrintOid;code;snmpapi.dll;_SnmpUtilPrintOid@4
SnmpUtilUTF8ToUnicode;code;snmpapi.dll;_SnmpUtilUTF8ToUnicode@16
SnmpUtilUnicodeToAnsi;code;snmpapi.dll;_SnmpUtilUnicodeToAnsi@16
SnmpUtilUnicodeToUTF8;code;snmpapi.dll;_SnmpUtilUnicodeToUTF8@16
SnmpUtilVarBindCpy;code;snmpapi.dll;_SnmpUtilVarBindCpy@8
SnmpUtilVarBindFree;code;snmpapi.dll;_SnmpUtilVarBindFree@4
SnmpUtilVarBindListCpy;code;snmpapi.dll;_SnmpUtilVarBindListCpy@8
SnmpUtilVarBindListFree;code;snmpapi.dll;_SnmpUtilVarBindListFree@4
