Name;Type;DLL;SymbolOrOrdinal
TcAddFilter;code;TRAFFIC.dll;_TcAddFilter@12
TcAddFlow;code;TRAFFIC.dll;_TcAddFlow@20
TcCloseInterface;code;TRAFFIC.dll;_TcCloseInterface@4
TcDeleteFilter;code;TRAFFIC.dll;_TcDeleteFilter@4
TcDeleteFlow;code;TRAFFIC.dll;_TcDeleteFlow@4
TcDeregisterClient;code;TRAFFIC.dll;_TcDeregisterClient@4
TcEnumerateFlows;code;TRAFFIC.dll;_TcEnumerateFlows@20
TcEnumerateInterfaces;code;TRAFFIC.dll;_TcEnumerateInterfaces@12
TcGetFlowNameA;code;TRAFFIC.dll;_TcGetFlowNameA@12
TcGetFlowNameW;code;TRAFFIC.dll;_TcGetFlowNameW@12
TcGetInterfaceList;code;TRAFFIC.dll;_TcGetInterfaceList@12
TcModifyFlow;code;TRAFFIC.dll;_TcModifyFlow@8
TcOpenInterfaceA;code;TRAFFIC.dll;_TcOpenInterfaceA@16
TcOpenInterfaceW;code;TRAFFIC.dll;_TcOpenInterfaceW@16
TcQueryFlowA;code;TRAFFIC.dll;_TcQueryFlowA@16
TcQueryFlowW;code;TRAFFIC.dll;_TcQueryFlowW@16
TcQueryInterface;code;TRAFFIC.dll;_TcQueryInterface@20
TcRegisterClient;code;TRAFFIC.dll;_TcRegisterClient@16
TcSetFlowA;code;TRAFFIC.dll;_TcSetFlowA@16
TcSetFlowW;code;TRAFFIC.dll;_TcSetFlowW@16
TcSetInterface;code;TRAFFIC.dll;_TcSetInterface@16
TcSetSocketFlow;code;TRAFFIC.dll;_TcSetSocketFlow@8
