Name;Type;DLL;SymbolOrOrdinal
GetPortFromUrlScheme;code;urlmon.dll;?GetPortFromUrlScheme@@YGHKPAK@Z (int __stdcall GetPortFromUrlScheme(unsigned long,unsigned long *))
GetPropertyFromName;code;urlmon.dll;?GetPropertyFromName@@YGHPBGPAW4__MIDL_IUri_0001@@@Z (int __stdcall GetPropertyFromName(unsigned short const *,enum __MIDL_IUri_0001 *))
GetPropertyName;code;urlmon.dll;?GetPropertyName@@YGPBGW4__MIDL_IUri_0001@@@Z (unsigned short const * __stdcall GetPropertyName(enum __MIDL_IUri_0001))
?IECompatLogCSSFix@@YGXPBG0K@Z (void __stdcall IECompatLogCSSFix(unsigned short const *,unsigned short const *,unsigned long));code;urlmon.dll;322
IsDWORDProperty;code;urlmon.dll;?IsDWORDProperty@@YGHW4__MIDL_IUri_0001@@@Z (int __stdcall IsDWORDProperty(enum __MIDL_IUri_0001))
IsStringProperty;code;urlmon.dll;?IsStringProperty@@YGHW4__MIDL_IUri_0001@@@Z (int __stdcall IsStringProperty(enum __MIDL_IUri_0001))
BindAsyncMoniker;code;urlmon.dll;_BindAsyncMoniker@20
CORPolicyProvider;code;urlmon.dll;_CORPolicyProvider@4
CoGetClassObjectFromURL;code;urlmon.dll;_CoGetClassObjectFromURL@40
CoInternetCanonicalizeIUri;code;urlmon.dll;_CoInternetCanonicalizeIUri@12
CoInternetCombineIUri;code;urlmon.dll;_CoInternetCombineIUri@20
CoInternetCombineUrl;code;urlmon.dll;_CoInternetCombineUrl@28
CoInternetCombineUrlEx;code;urlmon.dll;_CoInternetCombineUrlEx@20
CoInternetCompareUrl;code;urlmon.dll;_CoInternetCompareUrl@12
CoInternetCreateSecurityManager;code;urlmon.dll;_CoInternetCreateSecurityManager@12
CoInternetCreateZoneManager;code;urlmon.dll;_CoInternetCreateZoneManager@12
CoInternetGetProtocolFlags;code;urlmon.dll;_CoInternetGetProtocolFlags@12
CoInternetGetSecurityUrl;code;urlmon.dll;_CoInternetGetSecurityUrl@16
CoInternetGetSecurityUrlEx;code;urlmon.dll;_CoInternetGetSecurityUrlEx@16
CoInternetGetSession;code;urlmon.dll;_CoInternetGetSession@12
