Name;Type;DLL;SymbolOrOrdinal
CfAbortHydration;code;CLDAPI.dll;_CfAbortHydration@12
CfCloseAppPolicy;code;CLDAPI.dll;_CfCloseAppPolicy@8
CfCloseHandle;code;CLDAPI.dll;_CfCloseHandle@4
CfConnectSyncRoot;code;CLDAPI.dll;_CfConnectSyncRoot@20
CfConvertToPlaceholder;code;CLDAPI.dll;_CfConvertToPlaceholder@24
CfCreatePlaceholders;code;CLDAPI.dll;_CfCreatePlaceholders@20
CfDehydratePlaceholder;code;CLDAPI.dll;_CfDehydratePlaceholder@28
CfDisconnectSyncRoot;code;CLDAPI.dll;_CfDisconnectSyncRoot@8
CfEnumAppPolicy;code;CLDAPI.dll;_CfEnumAppPolicy@32
CfExecute;code;CLDAPI.dll;_CfExecute@8
CfGetCorrelationVector;code;CLDAPI.dll;_CfGetCorrelationVector@8
CfGetLastSyncStatus;code;CLDAPI.dll;_CfGetLastSyncStatus@16
CfGetPlaceholderInfo;code;CLDAPI.dll;_CfGetPlaceholderInfo@20
CfGetPlaceholderRangeInfo;code;CLDAPI.dll;_CfGetPlaceholderRangeInfo@36
CfGetPlaceholderStateFromAttributeTag;code;CLDAPI.dll;_CfGetPlaceholderStateFromAttributeTag@8
CfGetPlaceholderStateFromFileInfo;code;CLDAPI.dll;_CfGetPlaceholderStateFromFileInfo@8
CfGetPlaceholderStateFromFindData;code;CLDAPI.dll;_CfGetPlaceholderStateFromFindData@4
CfGetPlatformInfo;code;CLDAPI.dll;_CfGetPlatformInfo@4
CfGetSyncRootInfoByHandle;code;CLDAPI.dll;_CfGetSyncRootInfoByHandle@20
CfGetSyncRootInfoByPath;code;CLDAPI.dll;_CfGetSyncRootInfoByPath@20
CfGetTransferKey;code;CLDAPI.dll;_CfGetTransferKey@8
CfGetWin32HandleFromProtectedHandle;code;CLDAPI.dll;_CfGetWin32HandleFromProtectedHandle@4
CfHydratePlaceholder;code;CLDAPI.dll;_CfHydratePlaceholder@28
CfLockProperties;code;CLDAPI.dll;_CfLockProperties@20
CfOpenAppPolicy;code;CLDAPI.dll;_CfOpenAppPolicy@8
CfOpenFileWithOplock;code;CLDAPI.dll;_CfOpenFileWithOplock@12
CfOpenProgressEvent;code;CLDAPI.dll;_CfOpenProgressEvent@4
CfQueryProgress;code;CLDAPI.dll;_CfQueryProgress@8
CfQuerySyncProviderStatus;code;CLDAPI.dll;_CfQuerySyncProviderStatus@12
CfReferenceProtectedHandle;code;CLDAPI.dll;_CfReferenceProtectedHandle@4
CfRegisterSyncRoot;code;CLDAPI.dll;_CfRegisterSyncRoot@16
CfReleaseProtectedHandle;code;CLDAPI.dll;_CfReleaseProtectedHandle@4
CfReleaseTransferKey;code;CLDAPI.dll;_CfReleaseTransferKey@8
CfReportProviderProgress;code;CLDAPI.dll;_CfReportProviderProgress@32
CfReportSyncStatus;code;CLDAPI.dll;_CfReportSyncStatus@8
CfRetrieveProperties;code;CLDAPI.dll;_CfRetrieveProperties@12
CfRevertPlaceholder;code;CLDAPI.dll;_CfRevertPlaceholder@12
CfSetAppPolicy;code;CLDAPI.dll;_CfSetAppPolicy@16
CfSetCorrelationVector;code;CLDAPI.dll;_CfSetCorrelationVector@8
CfSetInSyncState;code;CLDAPI.dll;_CfSetInSyncState@16
CfSetPinState;code;CLDAPI.dll;_CfSetPinState@16
CfStoreProperties;code;CLDAPI.dll;_CfStoreProperties@12
CfUnlockProperties;code;CLDAPI.dll;_CfUnlockProperties@12
CfUnregisterSyncRoot;code;CLDAPI.dll;_CfUnregisterSyncRoot@4
CfUpdatePlaceholder;code;CLDAPI.dll;_CfUpdatePlaceholder@36
CfUpdateSyncProviderStatus;code;CLDAPI.dll;_CfUpdateSyncProviderStatus@12
