Name;Type;DLL;SymbolOrOrdinal
BuildDisplayTable;code;MAPI32.dll;46
CbOfEncoded;code;MAPI32.dll;207
CchOfEncoding;code;MAPI32.dll;206
ChangeIdleRoutine;code;MAPI32.dll;55
CloseIMsgSession;code;MAPI32.dll;197
CreateIProp;code;MAPI32.dll;60
CreateTable;code;MAPI32.dll;61
DeinitMapiUtil;code;MAPI32.dll;34
DeregisterIdleRoutine;code;MAPI32.dll;54
EnableIdleRoutine;code;MAPI32.dll;53
EncodeID;code;MAPI32.dll;204
FBadColumnSet;code;MAPI32.dll;182
FBadEntryList;code;MAPI32.dll;190
FBadProp;code;MAPI32.dll;181
FBadPropTag;code;MAPI32.dll;179
FBadRestriction;code;MAPI32.dll;191
FBadRglpNameID;code;MAPI32.dll;178
FBadRglpszA;code;MAPI32.dll;175
FBadRglpszW;code;MAPI32.dll;176
FBadRow;code;MAPI32.dll;180
FBadRowSet;code;MAPI32.dll;177
FBadSortOrderSet;code;MAPI32.dll;189
FBinFromHex;code;MAPI32.dll;44
FDecodeID;code;MAPI32.dll;205
FEqualNames;code;MAPI32.dll;72
FPropCompareProp;code;MAPI32.dll;79
FPropContainsProp;code;MAPI32.dll;78
FPropExists;code;MAPI32.dll;137
FreePadrlist;code;MAPI32.dll;139
FreeProws;code;MAPI32.dll;140
FtAdcFt;code;MAPI32.dll;122
FtAddFt;code;MAPI32.dll;121
FtDivFtBogus;code;MAPI32.dll;127
FtMulDw;code;MAPI32.dll;124
FtMulDwDw;code;MAPI32.dll;125
FtNegFt;code;MAPI32.dll;126
FtSubFt;code;MAPI32.dll;123
FtgRegisterIdleRoutine;code;MAPI32.dll;52
GetAttribIMsgOnIStg;code;MAPI32.dll;200
GetTnefStreamCodepage;code;MAPI32.dll;153
HexFromBin;code;MAPI32.dll;45
HrAddColumns;code;MAPI32.dll;81
HrAddColumnsEx;code;MAPI32.dll;82
HrAllocAdviseSink;code;MAPI32.dll;36
HrComposeEID;code;MAPI32.dll;143
HrComposeMsgID;code;MAPI32.dll;145
HrDecomposeEID;code;MAPI32.dll;144
HrDecomposeMsgID;code;MAPI32.dll;146
HrDispatchNotifications;code;MAPI32.dll;239
HrEntryIDFromSz;code;MAPI32.dll;142
HrGetOmiProvidersFlags;code;MAPI32.dll;247
HrGetOneProp;code;MAPI32.dll;135
HrIStorageFromStream;code;MAPI32.dll;194
HrQueryAllRows;code;MAPI32.dll;75
HrSetOmiProvidersFlagsInvalid;code;MAPI32.dll;249
HrSetOneProp;code;MAPI32.dll;136
HrSzFromEntryID;code;MAPI32.dll;141
HrThisThreadAdviseSink;code;MAPI32.dll;42
HrValidateIPMSubtree;code;MAPI32.dll;195
HrValidateParametersV;code;MAPI32.dll;242
HrValidateParametersValist;code;MAPI32.dll;243
InstallFilterHook;code;MAPI32.dll;51
IsBadBoundedStringPtr;code;MAPI32.dll;74
LAUNCHWIZARD;code;MAPI32.dll;25
LPropCompareProp;code;MAPI32.dll;80
LaunchWizard;code;MAPI32.dll;26
LpValFindProp;code;MAPI32.dll;173
MAPIAdminProfiles;code;MAPI32.dll;19
MAPIAllocateBuffer;code;MAPI32.dll;13
MAPIAllocateMore;code;MAPI32.dll;15
MAPIDeinitIdle;code;MAPI32.dll;50
MAPIFreeBuffer;code;MAPI32.dll;17
MAPIGetDefaultMalloc;code;MAPI32.dll;59
MAPIInitIdle;code;MAPI32.dll;49
MAPIInitialize;code;MAPI32.dll;21
MAPILogonEx;code;MAPI32.dll;11
MAPIOpenFormMgr;code;MAPI32.dll;30
MAPIOpenLocalFormContainer;code;MAPI32.dll;32
MAPIUninitialize;code;MAPI32.dll;23
MNLS_CompareStringW;code;MAPI32.dll;65
MNLS_IsBadStringPtrW;code;MAPI32.dll;68
MNLS_MultiByteToWideChar;code;MAPI32.dll;66
MNLS_WideCharToMultiByte;code;MAPI32.dll;67
MNLS_lstrcmpW;code;MAPI32.dll;63
MNLS_lstrcpyW;code;MAPI32.dll;64
MNLS_lstrlenW;code;MAPI32.dll;62
MapStorageSCode;code;MAPI32.dll;201
OpenIMsgOnIStg;code;MAPI32.dll;198
OpenIMsgSession;code;MAPI32.dll;196
OpenStreamOnFile;code;MAPI32.dll;147
OpenTnefStream;code;MAPI32.dll;149
OpenTnefStreamEx;code;MAPI32.dll;151
PRProviderInit;code;MAPI32.dll;24
PpropFindProp;code;MAPI32.dll;138
PropCopyMore;code;MAPI32.dll;76
RTFSync;code;MAPI32.dll;183
