Name;Type;DLL;SymbolOrOrdinal
CDBuildIntegrityVect;code;cryptdll.dll;
CDBuildVect;code;cryptdll.dll;
CDFindCommonCSystem;code;cryptdll.dll;
CDFindCommonCSystemWithKey;code;cryptdll.dll;
CDGenerateRandomBits;code;cryptdll.dll;
CDGetIntegrityVect;code;cryptdll.dll;
CDLocateCSystem;code;cryptdll.dll;
CDLocateCheckSum;code;cryptdll.dll;
CDLocateRng;code;cryptdll.dll;
CDRegisterCSystem;code;cryptdll.dll;
CDRegisterCheckSum;code;cryptdll.dll;
CDRegisterRng;code;cryptdll.dll;
HMACwithSHA;code;cryptdll.dll;
KRBFXCF2;code;cryptdll.dll;
MD5Final;code;cryptdll.dll;
MD5Init;code;cryptdll.dll;
MD5Update;code;cryptdll.dll;
PBKDF2;code;cryptdll.dll;
aesCTSDecryptMsg;code;cryptdll.dll;
aesCTSEncryptMsg;code;cryptdll.dll;
