Name;Type;DLL;SymbolOrOrdinal
DllGetVersion;code;msi.dll;182
Migrate10CachedPackagesA;code;msi.dll;235
Migrate10CachedPackagesW;code;msi.dll;236
MsiAdvertiseProductA;code;msi.dll;5
MsiAdvertiseProductExA;code;msi.dll;227
MsiAdvertiseProductExW;code;msi.dll;228
MsiAdvertiseProductW;code;msi.dll;6
MsiAdvertiseScriptA;code;msi.dll;176
MsiAdvertiseScriptW;code;msi.dll;177
MsiApplyMultiplePatchesA;code;msi.dll;239
MsiApplyMultiplePatchesW;code;msi.dll;240
MsiApplyPatchA;code;msi.dll;174
MsiApplyPatchW;code;msi.dll;175
MsiBeginTransactionA;code;msi.dll;284
MsiBeginTransactionW;code;msi.dll;285
MsiCloseAllHandles;code;msi.dll;7
MsiCloseHandle;code;msi.dll;8
MsiCollectUserInfoA;code;msi.dll;9
MsiCollectUserInfoW;code;msi.dll;10
MsiConfigureFeatureA;code;msi.dll;11
MsiConfigureFeatureFromDescriptorA;code;msi.dll;12
MsiConfigureFeatureFromDescriptorW;code;msi.dll;13
MsiConfigureFeatureW;code;msi.dll;14
MsiConfigureProductA;code;msi.dll;15
MsiConfigureProductExA;code;msi.dll;189
MsiConfigureProductExW;code;msi.dll;190
MsiConfigureProductW;code;msi.dll;16
MsiCreateAndVerifyInstallerDirectory;code;msi.dll;222
MsiCreateRecord;code;msi.dll;17
MsiCreateTransformSummaryInfoA;code;msi.dll;185
MsiCreateTransformSummaryInfoW;code;msi.dll;186
MsiDatabaseApplyTransformA;code;msi.dll;18
MsiDatabaseApplyTransformW;code;msi.dll;19
MsiDatabaseCommit;code;msi.dll;20
MsiDatabaseExportA;code;msi.dll;21
MsiDatabaseExportW;code;msi.dll;22
MsiDatabaseGenerateTransformA;code;msi.dll;23
MsiDatabaseGenerateTransformW;code;msi.dll;24
MsiDatabaseGetPrimaryKeysA;code;msi.dll;25
MsiDatabaseGetPrimaryKeysW;code;msi.dll;26
MsiDatabaseImportA;code;msi.dll;27
MsiDatabaseImportW;code;msi.dll;28
MsiDatabaseIsTablePersistentA;code;msi.dll;164
MsiDatabaseIsTablePersistentW;code;msi.dll;165
MsiDatabaseMergeA;code;msi.dll;29
MsiDatabaseMergeW;code;msi.dll;30
MsiDatabaseOpenViewA;code;msi.dll;31
MsiDatabaseOpenViewW;code;msi.dll;32
MsiDecomposeDescriptorA;code;msi.dll;200
MsiDecomposeDescriptorW;code;msi.dll;201
MsiDeleteUserDataA;code;msi.dll;233
MsiDeleteUserDataW;code;msi.dll;234
MsiDetermineApplicablePatchesA;code;msi.dll;277
MsiDetermineApplicablePatchesW;code;msi.dll;278
MsiDeterminePatchSequenceA;code;msi.dll;253
MsiDeterminePatchSequenceW;code;msi.dll;254
MsiDoActionA;code;msi.dll;33
MsiDoActionW;code;msi.dll;34
MsiEnableLogA;code;msi.dll;168
MsiEnableLogW;code;msi.dll;169
MsiEnableUIPreview;code;msi.dll;35
MsiEndTransaction;code;msi.dll;286
MsiEnumClientsA;code;msi.dll;36
MsiEnumClientsExA;code;msi.dll;291
MsiEnumClientsExW;code;msi.dll;292
MsiEnumClientsW;code;msi.dll;37
MsiEnumComponentCostsA;code;msi.dll;220
MsiEnumComponentCostsW;code;msi.dll;221
MsiEnumComponentQualifiersA;code;msi.dll;38
MsiEnumComponentQualifiersW;code;msi.dll;39
MsiEnumComponentsA;code;msi.dll;40
MsiEnumComponentsExA;code;msi.dll;289
MsiEnumComponentsExW;code;msi.dll;290
MsiEnumComponentsW;code;msi.dll;41
MsiEnumFeaturesA;code;msi.dll;42
MsiEnumFeaturesW;code;msi.dll;43
MsiEnumPatchesA;code;msi.dll;180
MsiEnumPatchesExA;code;msi.dll;269
MsiEnumPatchesExW;code;msi.dll;270
MsiEnumPatchesW;code;msi.dll;181
MsiEnumProductsA;code;msi.dll;44
MsiEnumProductsExA;code;msi.dll;245
MsiEnumProductsExW;code;msi.dll;246
MsiEnumProductsW;code;msi.dll;45
MsiEnumRelatedProductsA;code;msi.dll;204
MsiEnumRelatedProductsW;code;msi.dll;205
MsiEvaluateConditionA;code;msi.dll;46
MsiEvaluateConditionW;code;msi.dll;47
MsiExtractPatchXMLDataA;code;msi.dll;241
MsiExtractPatchXMLDataW;code;msi.dll;242
MsiFormatRecordA;code;msi.dll;170
MsiFormatRecordW;code;msi.dll;171
MsiGetActiveDatabase;code;msi.dll;49
MsiGetComponentPathA;code;msi.dll;172
MsiGetComponentPathExA;code;msi.dll;293
MsiGetComponentPathExW;code;msi.dll;294
MsiGetComponentPathW;code;msi.dll;173
MsiGetComponentStateA;code;msi.dll;50
MsiGetComponentStateW;code;msi.dll;51
MsiGetDatabaseState;code;msi.dll;52
MsiGetFeatureCostA;code;msi.dll;53
MsiGetFeatureCostW;code;msi.dll;54
MsiGetFeatureInfoA;code;msi.dll;55
MsiGetFeatureInfoW;code;msi.dll;56
MsiGetFeatureStateA;code;msi.dll;57
MsiGetFeatureStateW;code;msi.dll;58
MsiGetFeatureUsageA;code;msi.dll;59
MsiGetFeatureUsageW;code;msi.dll;60
MsiGetFeatureValidStatesA;code;msi.dll;61
MsiGetFeatureValidStatesW;code;msi.dll;62
MsiGetFileHashA;code;msi.dll;218
MsiGetFileHashW;code;msi.dll;219
MsiGetFileSignatureInformationA;code;msi.dll;223
MsiGetFileSignatureInformationW;code;msi.dll;224
MsiGetFileVersionA;code;msi.dll;194
MsiGetFileVersionW;code;msi.dll;195
MsiGetLanguage;code;msi.dll;63
MsiGetLastErrorRecord;code;msi.dll;48
MsiGetMode;code;msi.dll;64
MsiGetPatchFileListA;code;msi.dll;282
MsiGetPatchFileListW;code;msi.dll;283
MsiGetPatchInfoA;code;msi.dll;178
MsiGetPatchInfoExA;code;msi.dll;243
MsiGetPatchInfoExW;code;msi.dll;244
MsiGetPatchInfoW;code;msi.dll;179
MsiGetProductCodeA;code;msi.dll;65
MsiGetProductCodeFromPackageCodeA;code;msi.dll;183
MsiGetProductCodeFromPackageCodeW;code;msi.dll;184
MsiGetProductCodeW;code;msi.dll;66
MsiGetProductInfoA;code;msi.dll;67
MsiGetProductInfoExA;code;msi.dll;247
MsiGetProductInfoExW;code;msi.dll;248
MsiGetProductInfoFromScriptA;code;msi.dll;68
MsiGetProductInfoFromScriptW;code;msi.dll;69
MsiGetProductInfoW;code;msi.dll;70
MsiGetProductPropertyA;code;msi.dll;71
MsiGetProductPropertyW;code;msi.dll;72
MsiGetPropertyA;code;msi.dll;73
MsiGetPropertyW;code;msi.dll;74
MsiGetShortcutTargetA;code;msi.dll;216
MsiGetShortcutTargetW;code;msi.dll;217
MsiGetSourcePathA;code;msi.dll;75
MsiGetSourcePathW;code;msi.dll;76
MsiGetSummaryInformationA;code;msi.dll;77
MsiGetSummaryInformationW;code;msi.dll;78
MsiGetTargetPathA;code;msi.dll;79
MsiGetTargetPathW;code;msi.dll;80
MsiGetUserInfoA;code;msi.dll;81
MsiGetUserInfoW;code;msi.dll;82
MsiInstallMissingComponentA;code;msi.dll;83
MsiInstallMissingComponentW;code;msi.dll;84
MsiInstallMissingFileA;code;msi.dll;85
MsiInstallMissingFileW;code;msi.dll;86
MsiInstallProductA;code;msi.dll;87
MsiInstallProductW;code;msi.dll;88
MsiInvalidateFeatureCache;code;msi.dll;191
