Name;Type;DLL;SymbolOrOrdinal
GlmfBeginGlsBlock;code;OPENGL32.dll;
GlmfCloseMetaFile;code;OPENGL32.dll;
GlmfEndGlsBlock;code;OPENGL32.dll;
GlmfEndPlayback;code;OPENGL32.dll;
GlmfInitPlayback;code;OPENGL32.dll;
GlmfPlayGlsRecord;code;OPENGL32.dll;
glAccum;code;OPENGL32.dll;
glAlphaFunc;code;OPENGL32.dll;
glAreTexturesResident;code;OPENGL32.dll;
glArrayElement;code;OPENGL32.dll;
glBegin;code;OPENGL32.dll;
glBindTexture;code;OPENGL32.dll;
glBitmap;code;OPENGL32.dll;
glBlendFunc;code;OPENGL32.dll;
glCallList;code;OPENGL32.dll;
glCallLists;code;OPENGL32.dll;
glClear;code;OPENGL32.dll;
glClearAccum;code;OPENGL32.dll;
glClearColor;code;OPENGL32.dll;
glClearDepth;code;OPENGL32.dll;
glClearIndex;code;OPENGL32.dll;
glClearStencil;code;OPENGL32.dll;
glClipPlane;code;OPENGL32.dll;
glColor3b;code;OPENGL32.dll;
glColor3bv;code;OPENGL32.dll;
glColor3d;code;OPENGL32.dll;
glColor3dv;code;OPENGL32.dll;
glColor3f;code;OPENGL32.dll;
glColor3fv;code;OPENGL32.dll;
glColor3i;code;OPENGL32.dll;
glColor3iv;code;OPENGL32.dll;
glColor3s;code;OPENGL32.dll;
glColor3sv;code;OPENGL32.dll;
glColor3ub;code;OPENGL32.dll;
glColor3ubv;code;OPENGL32.dll;
glColor3ui;code;OPENGL32.dll;
glColor3uiv;code;OPENGL32.dll;
glColor3us;code;OPENGL32.dll;
glColor3usv;code;OPENGL32.dll;
glColor4b;code;OPENGL32.dll;
glColor4bv;code;OPENGL32.dll;
glColor4d;code;OPENGL32.dll;
glColor4dv;code;OPENGL32.dll;
glColor4f;code;OPENGL32.dll;
glColor4fv;code;OPENGL32.dll;
glColor4i;code;OPENGL32.dll;
glColor4iv;code;OPENGL32.dll;
glColor4s;code;OPENGL32.dll;
glColor4sv;code;OPENGL32.dll;
glColor4ub;code;OPENGL32.dll;
glColor4ubv;code;OPENGL32.dll;
glColor4ui;code;OPENGL32.dll;
glColor4uiv;code;OPENGL32.dll;
glColor4us;code;OPENGL32.dll;
glColor4usv;code;OPENGL32.dll;
glColorMask;code;OPENGL32.dll;
glColorMaterial;code;OPENGL32.dll;
glColorPointer;code;OPENGL32.dll;
glCopyPixels;code;OPENGL32.dll;
glCopyTexImage1D;code;OPENGL32.dll;
glCopyTexImage2D;code;OPENGL32.dll;
glCopyTexSubImage1D;code;OPENGL32.dll;
glCopyTexSubImage2D;code;OPENGL32.dll;
glCullFace;code;OPENGL32.dll;
glDebugEntry;code;OPENGL32.dll;
glDeleteLists;code;OPENGL32.dll;
glDeleteTextures;code;OPENGL32.dll;
glDepthFunc;code;OPENGL32.dll;
glDepthMask;code;OPENGL32.dll;
glDepthRange;code;OPENGL32.dll;
glDisable;code;OPENGL32.dll;
glDisableClientState;code;OPENGL32.dll;
glDrawArrays;code;OPENGL32.dll;
glDrawBuffer;code;OPENGL32.dll;
glDrawElements;code;OPENGL32.dll;
glDrawPixels;code;OPENGL32.dll;
glEdgeFlag;code;OPENGL32.dll;
glEdgeFlagPointer;code;OPENGL32.dll;
glEdgeFlagv;code;OPENGL32.dll;
glEnable;code;OPENGL32.dll;
glEnableClientState;code;OPENGL32.dll;
glEnd;code;OPENGL32.dll;
glEndList;code;OPENGL32.dll;
glEvalCoord1d;code;OPENGL32.dll;
glEvalCoord1dv;code;OPENGL32.dll;
glEvalCoord1f;code;OPENGL32.dll;
glEvalCoord1fv;code;OPENGL32.dll;
glEvalCoord2d;code;OPENGL32.dll;
glEvalCoord2dv;code;OPENGL32.dll;
glEvalCoord2f;code;OPENGL32.dll;
glEvalCoord2fv;code;OPENGL32.dll;
glEvalMesh1;code;OPENGL32.dll;
glEvalMesh2;code;OPENGL32.dll;
glEvalPoint1;code;OPENGL32.dll;
glEvalPoint2;code;OPENGL32.dll;
glFeedbackBuffer;code;OPENGL32.dll;
glFinish;code;OPENGL32.dll;
glFlush;code;OPENGL32.dll;
glFogf;code;OPENGL32.dll;
glFogfv;code;OPENGL32.dll;
glFogi;code;OPENGL32.dll;
glFogiv;code;OPENGL32.dll;
glFrontFace;code;OPENGL32.dll;
glFrustum;code;OPENGL32.dll;
glGenLists;code;OPENGL32.dll;
glGenTextures;code;OPENGL32.dll;
glGetBooleanv;code;OPENGL32.dll;
glGetClipPlane;code;OPENGL32.dll;
glGetDoublev;code;OPENGL32.dll;
glGetError;code;OPENGL32.dll;
glGetFloatv;code;OPENGL32.dll;
glGetIntegerv;code;OPENGL32.dll;
glGetLightfv;code;OPENGL32.dll;
glGetLightiv;code;OPENGL32.dll;
glGetMapdv;code;OPENGL32.dll;
glGetMapfv;code;OPENGL32.dll;
glGetMapiv;code;OPENGL32.dll;
glGetMaterialfv;code;OPENGL32.dll;
glGetMaterialiv;code;OPENGL32.dll;
glGetPixelMapfv;code;OPENGL32.dll;
glGetPixelMapuiv;code;OPENGL32.dll;
glGetPixelMapusv;code;OPENGL32.dll;
glGetPointerv;code;OPENGL32.dll;
glGetPolygonStipple;code;OPENGL32.dll;
glGetString;code;OPENGL32.dll;
glGetTexEnvfv;code;OPENGL32.dll;
glGetTexEnviv;code;OPENGL32.dll;
glGetTexGendv;code;OPENGL32.dll;
glGetTexGenfv;code;OPENGL32.dll;
glGetTexGeniv;code;OPENGL32.dll;
glGetTexImage;code;OPENGL32.dll;
glGetTexLevelParameterfv;code;OPENGL32.dll;
glGetTexLevelParameteriv;code;OPENGL32.dll;
glGetTexParameterfv;code;OPENGL32.dll;
glGetTexParameteriv;code;OPENGL32.dll;
glHint;code;OPENGL32.dll;
glIndexMask;code;OPENGL32.dll;
glIndexPointer;code;OPENGL32.dll;
glIndexd;code;OPENGL32.dll;
glIndexdv;code;OPENGL32.dll;
glIndexf;code;OPENGL32.dll;
glIndexfv;code;OPENGL32.dll;
glIndexi;code;OPENGL32.dll;
glIndexiv;code;OPENGL32.dll;
glIndexs;code;OPENGL32.dll;
glIndexsv;code;OPENGL32.dll;
glIndexub;code;OPENGL32.dll;
glIndexubv;code;OPENGL32.dll;
glInitNames;code;OPENGL32.dll;
glInterleavedArrays;code;OPENGL32.dll;
