Name;Type;DLL;SymbolOrOrdinal
GetTapi16CallbackMsg;code;TAPI32.dll;
LAddrParamsInited;code;TAPI32.dll;
LOpenDialAsst;code;TAPI32.dll;
LocWizardDlgProc;code;TAPI32.dll;
MMCAddProvider;code;TAPI32.dll;
MMCConfigProvider;code;TAPI32.dll;
MMCGetAvailableProviders;code;TAPI32.dll;
MMCGetDeviceFlags;code;TAPI32.dll;
MMCGetLineInfo;code;TAPI32.dll;
MMCGetLineStatus;code;TAPI32.dll;
MMCGetPhoneInfo;code;TAPI32.dll;
MMCGetPhoneStatus;code;TAPI32.dll;
MMCGetProviderList;code;TAPI32.dll;
MMCGetServerConfig;code;TAPI32.dll;
MMCInitialize;code;TAPI32.dll;
MMCRemoveProvider;code;TAPI32.dll;
MMCSetLineInfo;code;TAPI32.dll;
MMCSetPhoneInfo;code;TAPI32.dll;
MMCSetServerConfig;code;TAPI32.dll;
MMCShutdown;code;TAPI32.dll;
NonAsyncEventThread;code;TAPI32.dll;
TAPIWndProc;code;TAPI32.dll;
TUISPIDLLCallback;code;TAPI32.dll;
internalConfig;code;TAPI32.dll;
internalCreateDefLocation;code;TAPI32.dll;
internalNewLocationW;code;TAPI32.dll;
internalPerformance;code;TAPI32.dll;
internalRemoveLocation;code;TAPI32.dll;
internalRenameLocationW;code;TAPI32.dll;
lineAccept;code;TAPI32.dll;
lineAddProvider;code;TAPI32.dll;
lineAddProviderA;code;TAPI32.dll;
lineAddProviderW;code;TAPI32.dll;
lineAddToConference;code;TAPI32.dll;
lineAgentSpecific;code;TAPI32.dll;
lineAnswer;code;TAPI32.dll;
lineBlindTransfer;code;TAPI32.dll;
lineBlindTransferA;code;TAPI32.dll;
lineBlindTransferW;code;TAPI32.dll;
lineClose;code;TAPI32.dll;
lineCompleteCall;code;TAPI32.dll;
lineCompleteTransfer;code;TAPI32.dll;
lineConfigDialog;code;TAPI32.dll;
lineConfigDialogA;code;TAPI32.dll;
lineConfigDialogEdit;code;TAPI32.dll;
lineConfigDialogEditA;code;TAPI32.dll;
lineConfigDialogEditW;code;TAPI32.dll;
lineConfigDialogW;code;TAPI32.dll;
lineConfigProvider;code;TAPI32.dll;
lineCreateAgentA;code;TAPI32.dll;
lineCreateAgentSessionA;code;TAPI32.dll;
lineCreateAgentSessionW;code;TAPI32.dll;
lineCreateAgentW;code;TAPI32.dll;
lineDeallocateCall;code;TAPI32.dll;
lineDevSpecific;code;TAPI32.dll;
lineDevSpecificFeature;code;TAPI32.dll;
lineDial;code;TAPI32.dll;
lineDialA;code;TAPI32.dll;
lineDialW;code;TAPI32.dll;
lineDrop;code;TAPI32.dll;
lineForward;code;TAPI32.dll;
lineForwardA;code;TAPI32.dll;
lineForwardW;code;TAPI32.dll;
lineGatherDigits;code;TAPI32.dll;
lineGatherDigitsA;code;TAPI32.dll;
lineGatherDigitsW;code;TAPI32.dll;
lineGenerateDigits;code;TAPI32.dll;
lineGenerateDigitsA;code;TAPI32.dll;
lineGenerateDigitsW;code;TAPI32.dll;
lineGenerateTone;code;TAPI32.dll;
lineGetAddressCaps;code;TAPI32.dll;
lineGetAddressCapsA;code;TAPI32.dll;
lineGetAddressCapsW;code;TAPI32.dll;
lineGetAddressID;code;TAPI32.dll;
lineGetAddressIDA;code;TAPI32.dll;
lineGetAddressIDW;code;TAPI32.dll;
lineGetAddressStatus;code;TAPI32.dll;
lineGetAddressStatusA;code;TAPI32.dll;
lineGetAddressStatusW;code;TAPI32.dll;
lineGetAgentActivityListA;code;TAPI32.dll;
lineGetAgentActivityListW;code;TAPI32.dll;
lineGetAgentCapsA;code;TAPI32.dll;
lineGetAgentCapsW;code;TAPI32.dll;
lineGetAgentGroupListA;code;TAPI32.dll;
lineGetAgentGroupListW;code;TAPI32.dll;
lineGetAgentInfo;code;TAPI32.dll;
lineGetAgentSessionInfo;code;TAPI32.dll;
lineGetAgentSessionList;code;TAPI32.dll;
lineGetAgentStatusA;code;TAPI32.dll;
lineGetAgentStatusW;code;TAPI32.dll;
lineGetAppPriority;code;TAPI32.dll;
lineGetAppPriorityA;code;TAPI32.dll;
lineGetAppPriorityW;code;TAPI32.dll;
lineGetCallInfo;code;TAPI32.dll;
lineGetCallInfoA;code;TAPI32.dll;
lineGetCallInfoW;code;TAPI32.dll;
lineGetCallStatus;code;TAPI32.dll;
lineGetConfRelatedCalls;code;TAPI32.dll;
lineGetCountry;code;TAPI32.dll;
lineGetCountryA;code;TAPI32.dll;
lineGetCountryW;code;TAPI32.dll;
lineGetDevCaps;code;TAPI32.dll;
lineGetDevCapsA;code;TAPI32.dll;
lineGetDevCapsW;code;TAPI32.dll;
lineGetDevConfig;code;TAPI32.dll;
lineGetDevConfigA;code;TAPI32.dll;
lineGetDevConfigW;code;TAPI32.dll;
lineGetGroupListA;code;TAPI32.dll;
lineGetGroupListW;code;TAPI32.dll;
lineGetID;code;TAPI32.dll;
lineGetIDA;code;TAPI32.dll;
lineGetIDW;code;TAPI32.dll;
lineGetIcon;code;TAPI32.dll;
lineGetIconA;code;TAPI32.dll;
lineGetIconW;code;TAPI32.dll;
lineGetLineDevStatus;code;TAPI32.dll;
lineGetLineDevStatusA;code;TAPI32.dll;
lineGetLineDevStatusW;code;TAPI32.dll;
lineGetMessage;code;TAPI32.dll;
lineGetNewCalls;code;TAPI32.dll;
lineGetNumRings;code;TAPI32.dll;
lineGetProviderList;code;TAPI32.dll;
lineGetProviderListA;code;TAPI32.dll;
lineGetProviderListW;code;TAPI32.dll;
lineGetProxyStatus;code;TAPI32.dll;
lineGetQueueInfo;code;TAPI32.dll;
lineGetQueueListA;code;TAPI32.dll;
lineGetQueueListW;code;TAPI32.dll;
lineGetRequest;code;TAPI32.dll;
lineGetRequestA;code;TAPI32.dll;
lineGetRequestW;code;TAPI32.dll;
lineGetStatusMessages;code;TAPI32.dll;
lineGetTranslateCaps;code;TAPI32.dll;
lineGetTranslateCapsA;code;TAPI32.dll;
lineGetTranslateCapsW;code;TAPI32.dll;
lineHandoff;code;TAPI32.dll;
lineHandoffA;code;TAPI32.dll;
lineHandoffW;code;TAPI32.dll;
lineHold;code;TAPI32.dll;
lineInitialize;code;TAPI32.dll;
lineInitializeExA;code;TAPI32.dll;
lineInitializeExW;code;TAPI32.dll;
lineMakeCall;code;TAPI32.dll;
lineMakeCallA;code;TAPI32.dll;
lineMakeCallW;code;TAPI32.dll;
lineMonitorDigits;code;TAPI32.dll;
lineMonitorMedia;code;TAPI32.dll;
lineMonitorTones;code;TAPI32.dll;
lineNegotiateAPIVersion;code;TAPI32.dll;
lineNegotiateExtVersion;code;TAPI32.dll;
lineOpen;code;TAPI32.dll;
lineOpenA;code;TAPI32.dll;
lineOpenW;code;TAPI32.dll;
linePark;code;TAPI32.dll;
lineParkA;code;TAPI32.dll;
lineParkW;code;TAPI32.dll;
linePickup;code;TAPI32.dll;
linePickupA;code;TAPI32.dll;
linePickupW;code;TAPI32.dll;
linePrepareAddToConference;code;TAPI32.dll;
linePrepareAddToConferenceA;code;TAPI32.dll;
linePrepareAddToConferenceW;code;TAPI32.dll;
lineProxyMessage;code;TAPI32.dll;
lineProxyResponse;code;TAPI32.dll;
lineRedirect;code;TAPI32.dll;
lineRedirectA;code;TAPI32.dll;
lineRedirectW;code;TAPI32.dll;
lineRegisterRequestRecipient;code;TAPI32.dll;
lineReleaseUserUserInfo;code;TAPI32.dll;
lineRemoveFromConference;code;TAPI32.dll;
lineRemoveProvider;code;TAPI32.dll;
lineSecureCall;code;TAPI32.dll;
lineSendUserUserInfo;code;TAPI32.dll;
lineSetAgentActivity;code;TAPI32.dll;
lineSetAgentGroup;code;TAPI32.dll;
lineSetAgentMeasurementPeriod;code;TAPI32.dll;
lineSetAgentSessionState;code;TAPI32.dll;
lineSetAgentState;code;TAPI32.dll;
lineSetAgentStateEx;code;TAPI32.dll;
lineSetAppPriority;code;TAPI32.dll;
lineSetAppPriorityA;code;TAPI32.dll;
lineSetAppPriorityW;code;TAPI32.dll;
lineSetAppSpecific;code;TAPI32.dll;
lineSetCallData;code;TAPI32.dll;
lineSetCallParams;code;TAPI32.dll;
lineSetCallPrivilege;code;TAPI32.dll;
lineSetCallQualityOfService;code;TAPI32.dll;
