Name;Type;DLL;SymbolOrOrdinal
MagSetFullscreenUseBitmapSmoothing;code;MAGNIFICATION.dll;?MagSetFullscreenUseBitmapSmoothing@@YGHH@Z (int __stdcall MagSetFullscreenUseBitmapSmoothing(int))
MagSetLensUseBitmapSmoothing;code;MAGNIFICATION.dll;?MagSetLensUseBitmapSmoothing@@YGHPAUHWND__@@H@Z (int __stdcall MagSetLensUseBitmapSmoothing(struct HWND__ *,int))
MagGetColorEffect;code;MAGNIFICATION.dll;_MagGetColorEffect@8
MagGetFullscreenColorEffect;code;MAGNIFICATION.dll;_MagGetFullscreenColorEffect@4
MagGetFullscreenTransform;code;MAGNIFICATION.dll;_MagGetFullscreenTransform@12
MagGetImageScalingCallback;code;MAGNIFICATION.dll;_MagGetImageScalingCallback@4
MagGetInputTransform;code;MAGNIFICATION.dll;_MagGetInputTransform@12
MagGetWindowFilterList;code;MAGNIFICATION.dll;_MagGetWindowFilterList@16
MagGetWindowSource;code;MAGNIFICATION.dll;_MagGetWindowSource@8
MagGetWindowTransform;code;MAGNIFICATION.dll;_MagGetWindowTransform@8
MagInitialize;code;MAGNIFICATION.dll;_MagInitialize@0
MagSetColorEffect;code;MAGNIFICATION.dll;_MagSetColorEffect@8
MagSetFullscreenColorEffect;code;MAGNIFICATION.dll;_MagSetFullscreenColorEffect@4
MagSetFullscreenTransform;code;MAGNIFICATION.dll;_MagSetFullscreenTransform@12
MagSetImageScalingCallback;code;MAGNIFICATION.dll;_MagSetImageScalingCallback@8
MagSetInputTransform;code;MAGNIFICATION.dll;_MagSetInputTransform@12
MagSetWindowFilterList;code;MAGNIFICATION.dll;_MagSetWindowFilterList@16
MagSetWindowSource;code;MAGNIFICATION.dll;_MagSetWindowSource@20
MagSetWindowTransform;code;MAGNIFICATION.dll;_MagSetWindowTransform@8
MagShowSystemCursor;code;MAGNIFICATION.dll;_MagShowSystemCursor@4
MagUninitialize;code;MAGNIFICATION.dll;_MagUninitialize@0
