Name;Type;DLL;SymbolOrOrdinal
PathAllocCanonicalize;code;api-ms-win-core-path-l1-1-0.dll;_PathAllocCanonicalize@12
PathAllocCombine;code;api-ms-win-core-path-l1-1-0.dll;_PathAllocCombine@16
PathCchAddBackslash;code;api-ms-win-core-path-l1-1-0.dll;_PathCchAddBackslash@8
PathCchAddBackslashEx;code;api-ms-win-core-path-l1-1-0.dll;_PathCchAddBackslashEx@16
PathCchAddExtension;code;api-ms-win-core-path-l1-1-0.dll;_PathCchAddExtension@12
PathCchAppend;code;api-ms-win-core-path-l1-1-0.dll;_PathCchAppend@12
PathCchAppendEx;code;api-ms-win-core-path-l1-1-0.dll;_PathCchAppendEx@16
PathCchCanonicalize;code;api-ms-win-core-path-l1-1-0.dll;_PathCchCanonicalize@12
PathCchCanonicalizeEx;code;api-ms-win-core-path-l1-1-0.dll;_PathCchCanonicalizeEx@16
PathCchCombine;code;api-ms-win-core-path-l1-1-0.dll;_PathCchCombine@16
PathCchCombineEx;code;api-ms-win-core-path-l1-1-0.dll;_PathCchCombineEx@20
PathCchFindExtension;code;api-ms-win-core-path-l1-1-0.dll;_PathCchFindExtension@12
PathCchIsRoot;code;api-ms-win-core-path-l1-1-0.dll;_PathCchIsRoot@4
PathCchRemoveBackslash;code;api-ms-win-core-path-l1-1-0.dll;_PathCchRemoveBackslash@8
PathCchRemoveBackslashEx;code;api-ms-win-core-path-l1-1-0.dll;_PathCchRemoveBackslashEx@16
PathCchRemoveExtension;code;api-ms-win-core-path-l1-1-0.dll;_PathCchRemoveExtension@8
PathCchRemoveFileSpec;code;api-ms-win-core-path-l1-1-0.dll;_PathCchRemoveFileSpec@8
PathCchRenameExtension;code;api-ms-win-core-path-l1-1-0.dll;_PathCchRenameExtension@12
PathCchSkipRoot;code;api-ms-win-core-path-l1-1-0.dll;_PathCchSkipRoot@8
PathCchStripPrefix;code;api-ms-win-core-path-l1-1-0.dll;_PathCchStripPrefix@8
PathCchStripToRoot;code;api-ms-win-core-path-l1-1-0.dll;_PathCchStripToRoot@8
PathIsUNCEx;code;api-ms-win-core-path-l1-1-0.dll;_PathIsUNCEx@8
