Name;Type;DLL;SymbolOrOrdinal
CMCheckColors;code;ICM32.dll;1
CMCheckColorsInGamut;code;ICM32.dll;2
CMCheckRGBs;code;ICM32.dll;3
CMConvertColorNameToIndex;code;ICM32.dll;19
CMConvertIndexToColorName;code;ICM32.dll;20
CMCreateDeviceLinkProfile;code;ICM32.dll;4
CMCreateMultiProfileTransform;code;ICM32.dll;5
CMCreateProfile;code;ICM32.dll;6
CMCreateProfileW;code;ICM32.dll;7
CMCreateTransform;code;ICM32.dll;8
CMCreateTransformExt;code;ICM32.dll;9
CMCreateTransformExtW;code;ICM32.dll;10
CMCreateTransformW;code;ICM32.dll;11
CMDeleteTransform;code;ICM32.dll;12
CMGetInfo;code;ICM32.dll;13
CMGetNamedProfileInfo;code;ICM32.dll;21
CMIsProfileValid;code;ICM32.dll;14
CMTranslateColors;code;ICM32.dll;15
CMTranslateRGB;code;ICM32.dll;16
CMTranslateRGBs;code;ICM32.dll;17
CMTranslateRGBsExt;code;ICM32.dll;18
