Name;Type;DLL;SymbolOrOrdinal
NDdeGetErrorStringA;code;NDdeApi.dll;505
NDdeGetErrorStringW;code;NDdeApi.dll;605
NDdeGetShareSecurityA;code;NDdeApi.dll;509
NDdeGetShareSecurityW;code;NDdeApi.dll;609
NDdeGetTrustedShareA;code;NDdeApi.dll;511
NDdeGetTrustedShareW;code;NDdeApi.dll;611
NDdeIsValidAppTopicListA;code;NDdeApi.dll;507
NDdeIsValidAppTopicListW;code;NDdeApi.dll;607
NDdeIsValidShareNameA;code;NDdeApi.dll;506
NDdeIsValidShareNameW;code;NDdeApi.dll;606
NDdeSetShareSecurityA;code;NDdeApi.dll;510
NDdeSetShareSecurityW;code;NDdeApi.dll;610
NDdeSetTrustedShareA;code;NDdeApi.dll;512
NDdeSetTrustedShareW;code;NDdeApi.dll;612
NDdeShareAddA;code;NDdeApi.dll;500
NDdeShareAddW;code;NDdeApi.dll;600
NDdeShareDelA;code;NDdeApi.dll;501
NDdeShareDelW;code;NDdeApi.dll;601
NDdeShareEnumA;code;NDdeApi.dll;502
NDdeShareEnumW;code;NDdeApi.dll;602
NDdeShareGetInfoA;code;NDdeApi.dll;503
NDdeShareGetInfoW;code;NDdeApi.dll;603
NDdeShareSetInfoA;code;NDdeApi.dll;504
NDdeShareSetInfoW;code;NDdeApi.dll;604
NDdeSpecialCommandA;code;NDdeApi.dll;508
NDdeSpecialCommandW;code;NDdeApi.dll;608
NDdeTrustedShareEnumA;code;NDdeApi.dll;513
NDdeTrustedShareEnumW;code;NDdeApi.dll;613
