Name;Type;DLL;SymbolOrOrdinal
WinHttpPacJsWorkerMain;code;WINHTTP.dll;?WinHttpPacJsWorkerMain@@YAKPBG0@Z (unsigned long __cdecl WinHttpPacJsWorkerMain(unsigned short const *,unsigned short const *))
SvchostPushServiceGlobals;code;WINHTTP.dll;
WinHttpAddRequestHeaders;code;WINHTTP.dll;
WinHttpAutoProxySvcMain;code;WINHTTP.dll;
WinHttpCheckPlatform;code;WINHTTP.dll;
WinHttpCloseHandle;code;WINHTTP.dll;
WinHttpConnect;code;WINHTTP.dll;
WinHttpConnectionDeletePolicyEntries;code;WINHTTP.dll;
WinHttpConnectionDeleteProxyInfo;code;WINHTTP.dll;
WinHttpConnectionFreeNameList;code;WINHTTP.dll;
WinHttpConnectionFreeProxyInfo;code;WINHTTP.dll;
WinHttpConnectionFreeProxyList;code;WINHTTP.dll;
WinHttpConnectionGetNameList;code;WINHTTP.dll;
WinHttpConnectionGetProxyInfo;code;WINHTTP.dll;
WinHttpConnectionGetProxyList;code;WINHTTP.dll;
WinHttpConnectionSetPolicyEntries;code;WINHTTP.dll;
WinHttpConnectionSetProxyInfo;code;WINHTTP.dll;
WinHttpConnectionUpdateIfIndexTable;code;WINHTTP.dll;
WinHttpCrackUrl;code;WINHTTP.dll;
WinHttpCreateProxyResolver;code;WINHTTP.dll;
WinHttpCreateUrl;code;WINHTTP.dll;
WinHttpDetectAutoProxyConfigUrl;code;WINHTTP.dll;
WinHttpFreeProxyResult;code;WINHTTP.dll;
WinHttpFreeProxyResultEx;code;WINHTTP.dll;
WinHttpFreeProxySettings;code;WINHTTP.dll;
WinHttpGetDefaultProxyConfiguration;code;WINHTTP.dll;
WinHttpGetIEProxyConfigForCurrentUser;code;WINHTTP.dll;
WinHttpGetProxyForUrl;code;WINHTTP.dll;
WinHttpGetProxyForUrlEx;code;WINHTTP.dll;
WinHttpGetProxyForUrlEx2;code;WINHTTP.dll;
WinHttpGetProxyForUrlHvsi;code;WINHTTP.dll;
WinHttpGetProxyResult;code;WINHTTP.dll;
WinHttpGetProxyResultEx;code;WINHTTP.dll;
WinHttpGetProxySettingsVersion;code;WINHTTP.dll;
WinHttpGetTunnelSocket;code;WINHTTP.dll;
WinHttpOpen;code;WINHTTP.dll;
WinHttpOpenRequest;code;WINHTTP.dll;
WinHttpProbeConnectivity;code;WINHTTP.dll;
WinHttpQueryAuthSchemes;code;WINHTTP.dll;
WinHttpQueryDataAvailable;code;WINHTTP.dll;
WinHttpQueryHeaders;code;WINHTTP.dll;
WinHttpQueryOption;code;WINHTTP.dll;
WinHttpReadData;code;WINHTTP.dll;
WinHttpReadProxySettings;code;WINHTTP.dll;
WinHttpReadProxySettingsHvsi;code;WINHTTP.dll;
WinHttpReceiveResponse;code;WINHTTP.dll;
WinHttpResetAutoProxy;code;WINHTTP.dll;
WinHttpSaveProxyCredentials;code;WINHTTP.dll;
WinHttpSendRequest;code;WINHTTP.dll;
WinHttpSetCredentials;code;WINHTTP.dll;
WinHttpSetDefaultProxyConfiguration;code;WINHTTP.dll;
WinHttpSetOption;code;WINHTTP.dll;
WinHttpSetStatusCallback;code;WINHTTP.dll;
WinHttpSetTimeouts;code;WINHTTP.dll;
WinHttpTimeFromSystemTime;code;WINHTTP.dll;
WinHttpTimeToSystemTime;code;WINHTTP.dll;
WinHttpWebSocketClose;code;WINHTTP.dll;
WinHttpWebSocketCompleteUpgrade;code;WINHTTP.dll;
WinHttpWebSocketQueryCloseStatus;code;WINHTTP.dll;
WinHttpWebSocketReceive;code;WINHTTP.dll;
WinHttpWebSocketSend;code;WINHTTP.dll;
WinHttpWebSocketShutdown;code;WINHTTP.dll;
WinHttpWriteData;code;WINHTTP.dll;
WinHttpWriteProxySettings;code;WINHTTP.dll;
