Name;Type;DLL;SymbolOrOrdinal
DCIBeginAccess;code;DCIMAN32.dll;
DCICloseProvider;code;DCIMAN32.dll;
DCICreateOffscreen;code;DCIMAN32.dll;
DCICreateOverlay;code;DCIMAN32.dll;
DCICreatePrimary;code;DCIMAN32.dll;
DCIDestroy;code;DCIMAN32.dll;
DCIDraw;code;DCIMAN32.dll;
DCIEndAccess;code;DCIMAN32.dll;
DCIEnum;code;DCIMAN32.dll;
DCIOpenProvider;code;DCIMAN32.dll;
DCISetClipList;code;DCIMAN32.dll;
DCISetDestination;code;DCIMAN32.dll;
DCISetSrcDestClip;code;DCIMAN32.dll;
GetDCRegionData;code;DCIMAN32.dll;
GetWindowRegionData;code;DCIMAN32.dll;
WinWatchClose;code;DCIMAN32.dll;
WinWatchDidStatusChange;code;DCIMAN32.dll;
WinWatchGetClipList;code;DCIMAN32.dll;
WinWatchNotify;code;DCIMAN32.dll;
WinWatchOpen;code;DCIMAN32.dll;
