Name;Type;DLL;SymbolOrOrdinal
HdvCreateDeviceInstance;code;vmdevicehost.dll;
HdvCreateGuestMemoryAperture;code;vmdevicehost.dll;
HdvDeliverGuestInterrupt;code;vmdevicehost.dll;
HdvDestroyGuestMemoryAperture;code;vmdevicehost.dll;
HdvInitializeDeviceHost;code;vmdevicehost.dll;
HdvReadGuestMemory;code;vmdevicehost.dll;
HdvRegisterDoorbellPage;code;vmdevicehost.dll;
HdvTeardownDeviceHost;code;vmdevicehost.dll;
HdvUnregisterDoorbellPage;code;vmdevicehost.dll;
HdvWriteGuestMemory;code;vmdevicehost.dll;
