Name;Type;DLL;SymbolOrOrdinal
SetupWithCYS;code;MPRSNAP.dll;?SetupWithCYS@@YGJKPAPAX@Z (long __stdcall SetupWithCYS(unsigned long,void * *))
AddIpPerInterfaceBlocks;code;MPRSNAP.dll;_AddIpPerInterfaceBlocks@8
ConnectInterface;code;MPRSNAP.dll;_ConnectInterface@16
ConnectInterfaceEx;code;MPRSNAP.dll;_ConnectInterfaceEx@20
ConnectRegistry;code;MPRSNAP.dll;_ConnectRegistry@8
ConnectRouter;code;MPRSNAP.dll;_ConnectRouter@8
CreateInfoBase;code;MPRSNAP.dll;_CreateInfoBase@4
CreateInterfaceInfo;code;MPRSNAP.dll;_CreateInterfaceInfo@12
CreateInterfaceInfoAggregation;code;MPRSNAP.dll;_CreateInterfaceInfoAggregation@12
CreateRouterInfo;code;MPRSNAP.dll;_CreateRouterInfo@12
CreateRouterInfoAggregation;code;MPRSNAP.dll;_CreateRouterInfoAggregation@12
CreateRtrMgrInfoAggregation;code;MPRSNAP.dll;_CreateRtrMgrInfoAggregation@12
CreateRtrMgrInterfaceInfo;code;MPRSNAP.dll;_CreateRtrMgrInterfaceInfo@20
CreateRtrMgrInterfaceInfoAggregation;code;MPRSNAP.dll;_CreateRtrMgrInterfaceInfoAggregation@12
CreateRtrMgrProtocolInfo;code;MPRSNAP.dll;_CreateRtrMgrProtocolInfo@8
CreateRtrMgrProtocolInfoAggregation;code;MPRSNAP.dll;_CreateRtrMgrProtocolInfoAggregation@12
CreateRtrMgrProtocolInterfaceInfo;code;MPRSNAP.dll;_CreateRtrMgrProtocolInterfaceInfo@8
CreateRtrMgrProtocolInterfaceInfoAggregation;code;MPRSNAP.dll;_CreateRtrMgrProtocolInterfaceInfoAggregation@12
DisconnectRegistry;code;MPRSNAP.dll;_DisconnectRegistry@4
ErasePSK;code;MPRSNAP.dll;_ErasePSK@4
ForceGlobalRefresh;code;MPRSNAP.dll;_ForceGlobalRefresh@4
GetNTVersion;code;MPRSNAP.dll;_GetNTVersion@16
GetRouterServiceStartType;code;MPRSNAP.dll;_GetRouterServiceStartType@8
GetRouterServiceStatus;code;MPRSNAP.dll;_GetRouterServiceStatus@12
GetRouterUpTime;code;MPRSNAP.dll;_GetRouterUpTime@8
IsNT4Machine;code;MPRSNAP.dll;_IsNT4Machine@8
IsRouterServiceRunning;code;MPRSNAP.dll;_IsRouterServiceRunning@8
LoadInfoBase;code;MPRSNAP.dll;_LoadInfoBase@16
LookupRtrMgr;code;MPRSNAP.dll;_LookupRtrMgr@12
LookupRtrMgrInterface;code;MPRSNAP.dll;_LookupRtrMgrInterface@16
LookupRtrMgrProtocol;code;MPRSNAP.dll;_LookupRtrMgrProtocol@16
LookupRtrMgrProtocolInterface;code;MPRSNAP.dll;_LookupRtrMgrProtocolInterface@16
MprConfigServerUnattendedInstall;code;MPRSNAP.dll;_MprConfigServerUnattendedInstall@8
PauseRouterService;code;MPRSNAP.dll;_PauseRouterService@4
PromptForCredentials;code;MPRSNAP.dll;_PromptForCredentials@20
QueryRouterType;code;MPRSNAP.dll;_QueryRouterType@12
QueryRouterVersionInfo;code;MPRSNAP.dll;_QueryRouterVersionInfo@8
ResumeRouterService;code;MPRSNAP.dll;_ResumeRouterService@4
SetRouterServiceStartType;code;MPRSNAP.dll;_SetRouterServiceStartType@8
StartRAMgmtService;code;MPRSNAP.dll;_StartRAMgmtService@4
StartRouterService;code;MPRSNAP.dll;_StartRouterService@8
StopRAMgmtService;code;MPRSNAP.dll;_StopRAMgmtService@4
StopRouterService;code;MPRSNAP.dll;_StopRouterService@4
UpdateDDM;code;MPRSNAP.dll;_UpdateDDM@4
UpdateRoutes;code;MPRSNAP.dll;_UpdateRoutes@16
UpdateRoutesEx;code;MPRSNAP.dll;_UpdateRoutesEx@20
