Name;Type;DLL;SymbolOrOrdinal
OnMachineUILanguageInit;code;SAMLIB.dll;_OnMachineUILanguageInit@8
SamAddMemberToAlias;code;SAMLIB.dll;_SamAddMemberToAlias@8
SamAddMemberToGroup;code;SAMLIB.dll;_SamAddMemberToGroup@12
SamAddMultipleMembersToAlias;code;SAMLIB.dll;_SamAddMultipleMembersToAlias@12
SamChangePasswordUser2;code;SAMLIB.dll;_SamChangePasswordUser2@16
SamChangePasswordUser;code;SAMLIB.dll;_SamChangePasswordUser@12
SamCloseHandle;code;SAMLIB.dll;_SamCloseHandle@4
SamConnect;code;SAMLIB.dll;_SamConnect@16
SamConnectWithCreds;code;SAMLIB.dll;_SamConnectWithCreds@28
SamCreateAliasInDomain;code;SAMLIB.dll;_SamCreateAliasInDomain@20
SamCreateGroupInDomain;code;SAMLIB.dll;_SamCreateGroupInDomain@20
SamCreateUser2InDomain;code;SAMLIB.dll;_SamCreateUser2InDomain@28
SamCreateUserInDomain;code;SAMLIB.dll;_SamCreateUserInDomain@20
SamDeleteAlias;code;SAMLIB.dll;_SamDeleteAlias@4
SamDeleteGroup;code;SAMLIB.dll;_SamDeleteGroup@4
SamDeleteUser;code;SAMLIB.dll;_SamDeleteUser@4
SamEnumerateAliasesInDomain;code;SAMLIB.dll;_SamEnumerateAliasesInDomain@20
SamEnumerateDomainsInSamServer;code;SAMLIB.dll;_SamEnumerateDomainsInSamServer@20
SamEnumerateGroupsInDomain;code;SAMLIB.dll;_SamEnumerateGroupsInDomain@20
SamEnumerateUsersInDomain2;code;SAMLIB.dll;_SamEnumerateUsersInDomain2@28
SamEnumerateUsersInDomain;code;SAMLIB.dll;_SamEnumerateUsersInDomain@24
SamFreeMemory;code;SAMLIB.dll;_SamFreeMemory@4
SamGetAliasMembership;code;SAMLIB.dll;_SamGetAliasMembership@20
SamGetCompatibilityMode;code;SAMLIB.dll;_SamGetCompatibilityMode@8
SamGetDisplayEnumerationIndex;code;SAMLIB.dll;_SamGetDisplayEnumerationIndex@16
SamGetGroupsForUser;code;SAMLIB.dll;_SamGetGroupsForUser@12
SamGetMembersInAlias;code;SAMLIB.dll;_SamGetMembersInAlias@12
SamGetMembersInGroup;code;SAMLIB.dll;_SamGetMembersInGroup@16
SamLookupDomainInSamServer;code;SAMLIB.dll;_SamLookupDomainInSamServer@12
SamLookupIdsInDomain;code;SAMLIB.dll;_SamLookupIdsInDomain@20
SamLookupNamesInDomain2;code;SAMLIB.dll;_SamLookupNamesInDomain2@20
SamLookupNamesInDomain;code;SAMLIB.dll;_SamLookupNamesInDomain@20
SamOpenAlias;code;SAMLIB.dll;_SamOpenAlias@16
SamOpenDomain;code;SAMLIB.dll;_SamOpenDomain@16
SamOpenGroup;code;SAMLIB.dll;_SamOpenGroup@16
SamOpenUser;code;SAMLIB.dll;_SamOpenUser@16
SamPerformGenericOperation;code;SAMLIB.dll;_SamPerformGenericOperation@16
SamQueryDisplayInformation;code;SAMLIB.dll;_SamQueryDisplayInformation@36
SamQueryInformationAlias;code;SAMLIB.dll;_SamQueryInformationAlias@12
SamQueryInformationDomain;code;SAMLIB.dll;_SamQueryInformationDomain@12
SamQueryInformationGroup;code;SAMLIB.dll;_SamQueryInformationGroup@12
SamQueryInformationUser;code;SAMLIB.dll;_SamQueryInformationUser@12
SamQueryLocalizableAccountsInDomain;code;SAMLIB.dll;_SamQueryLocalizableAccountsInDomain@20
SamQuerySecurityObject;code;SAMLIB.dll;_SamQuerySecurityObject@12
SamRegisterObjectChangeNotification;code;SAMLIB.dll;_SamRegisterObjectChangeNotification@8
SamRemoveMemberFromAlias;code;SAMLIB.dll;_SamRemoveMemberFromAlias@8
SamRemoveMemberFromForeignDomain;code;SAMLIB.dll;_SamRemoveMemberFromForeignDomain@8
SamRemoveMemberFromGroup;code;SAMLIB.dll;_SamRemoveMemberFromGroup@8
SamRemoveMultipleMembersFromAlias;code;SAMLIB.dll;_SamRemoveMultipleMembersFromAlias@12
SamRidToSid;code;SAMLIB.dll;_SamRidToSid@12
SamSetInformationAlias;code;SAMLIB.dll;_SamSetInformationAlias@12
SamSetInformationDomain;code;SAMLIB.dll;_SamSetInformationDomain@12
SamSetInformationGroup;code;SAMLIB.dll;_SamSetInformationGroup@12
SamSetInformationUser;code;SAMLIB.dll;_SamSetInformationUser@12
SamSetMemberAttributesOfGroup;code;SAMLIB.dll;_SamSetMemberAttributesOfGroup@12
SamSetSecurityObject;code;SAMLIB.dll;_SamSetSecurityObject@12
SamShutdownSamServer;code;SAMLIB.dll;_SamShutdownSamServer@4
SamTestPrivateFunctionsDomain;code;SAMLIB.dll;_SamTestPrivateFunctionsDomain@4
SamTestPrivateFunctionsUser;code;SAMLIB.dll;_SamTestPrivateFunctionsUser@4
SamUnregisterObjectChangeNotification;code;SAMLIB.dll;_SamUnregisterObjectChangeNotification@8
SamValidatePassword;code;SAMLIB.dll;_SamValidatePassword@16
SamiChangeKeys;code;SAMLIB.dll;_SamiChangeKeys@0
