Name;Type;DLL;SymbolOrOrdinal
WebAuthNAuthenticatorGetAssertion;code;webauthn.dll;_WebAuthNAuthenticatorGetAssertion@20
WebAuthNAuthenticatorMakeCredential;code;webauthn.dll;_WebAuthNAuthenticatorMakeCredential@28
WebAuthNCancelCurrentOperation;code;webauthn.dll;_WebAuthNCancelCurrentOperation@4
WebAuthNFreeAssertion;code;webauthn.dll;_WebAuthNFreeAssertion@4
WebAuthNFreeCredentialAttestation;code;webauthn.dll;_WebAuthNFreeCredentialAttestation@4
WebAuthNGetApiVersionNumber;code;webauthn.dll;_WebAuthNGetApiVersionNumber@0
WebAuthNGetCancellationId;code;webauthn.dll;_WebAuthNGetCancellationId@4
WebAuthNGetErrorName;code;webauthn.dll;_WebAuthNGetErrorName@4
WebAuthNGetW3CExceptionDOMError;code;webauthn.dll;_WebAuthNGetW3CExceptionDOMError@4
WebAuthNIsUserVerifyingPlatformAuthenticatorAvailable;code;webauthn.dll;_WebAuthNIsUserVerifyingPlatformAuthenticatorAvailable@4
