Name;Type;DLL;SymbolOrOrdinal
SymAllocDiaString;code;dbghelp.dll;?SymAllocDiaString@@YAPAGPBG@Z (unsigned short * __cdecl SymAllocDiaString(unsigned short const *))
SymFreeDiaString;code;dbghelp.dll;?SymFreeDiaString@@YAXPAG@Z (void __cdecl SymFreeDiaString(unsigned short *))
SymGetDiaSession;code;dbghelp.dll;?SymGetDiaSession@@YAHPAX_KPAPAUIDiaSession@@@Z (int __cdecl SymGetDiaSession(void *,unsigned __int64,struct IDiaSession * *))
SymSetDiaSession;code;dbghelp.dll;?SymSetDiaSession@@YAHPAX_KPAUIDiaSession@@@Z (int __cdecl SymSetDiaSession(void *,unsigned __int64,struct IDiaSession *))
_EFN_DumpImage;code;dbghelp.dll;?_EFN_DumpImage@@YAX_KK@Z (void __cdecl _EFN_DumpImage(unsigned __int64,unsigned long))
DbgHelpCreateUserDump;code;dbghelp.dll;
DbgHelpCreateUserDumpW;code;dbghelp.dll;
EnumDirTree;code;dbghelp.dll;
EnumDirTreeW;code;dbghelp.dll;
EnumerateLoadedModules;code;dbghelp.dll;
EnumerateLoadedModules64;code;dbghelp.dll;
EnumerateLoadedModulesEx;code;dbghelp.dll;
EnumerateLoadedModulesExW;code;dbghelp.dll;
EnumerateLoadedModulesW64;code;dbghelp.dll;
ExtensionApiVersion;code;dbghelp.dll;
FindDebugInfoFile;code;dbghelp.dll;
FindDebugInfoFileEx;code;dbghelp.dll;
FindDebugInfoFileExW;code;dbghelp.dll;
FindExecutableImage;code;dbghelp.dll;
FindExecutableImageEx;code;dbghelp.dll;
FindExecutableImageExW;code;dbghelp.dll;
FindFileInPath;code;dbghelp.dll;
FindFileInSearchPath;code;dbghelp.dll;
GetSymLoadError;code;dbghelp.dll;
GetTimestampForLoadedLibrary;code;dbghelp.dll;
ImageDirectoryEntryToData;code;dbghelp.dll;
ImageDirectoryEntryToDataEx;code;dbghelp.dll;
ImageNtHeader;code;dbghelp.dll;
ImageRvaToSection;code;dbghelp.dll;
ImageRvaToVa;code;dbghelp.dll;
ImagehlpApiVersion;code;dbghelp.dll;
ImagehlpApiVersionEx;code;dbghelp.dll;
MakeSureDirectoryPathExists;code;dbghelp.dll;
MapDebugInformation;code;dbghelp.dll;
MiniDumpReadDumpStream;code;dbghelp.dll;
MiniDumpWriteDump;code;dbghelp.dll;
RangeMapAddPeImageSections;code;dbghelp.dll;
RangeMapCreate;code;dbghelp.dll;
RangeMapFree;code;dbghelp.dll;
RangeMapRead;code;dbghelp.dll;
RangeMapRemove;code;dbghelp.dll;
RangeMapWrite;code;dbghelp.dll;
RemoveInvalidModuleList;code;dbghelp.dll;
ReportSymbolLoadSummary;code;dbghelp.dll;
SearchTreeForFile;code;dbghelp.dll;
SearchTreeForFileW;code;dbghelp.dll;
SetCheckUserInterruptShared;code;dbghelp.dll;
SetSymLoadError;code;dbghelp.dll;
StackWalk;code;dbghelp.dll;
StackWalk64;code;dbghelp.dll;
StackWalkEx;code;dbghelp.dll;
SymAddSourceStream;code;dbghelp.dll;
SymAddSourceStreamA;code;dbghelp.dll;
SymAddSourceStreamW;code;dbghelp.dll;
SymAddSymbol;code;dbghelp.dll;
SymAddSymbolW;code;dbghelp.dll;
SymAddrIncludeInlineTrace;code;dbghelp.dll;
SymCleanup;code;dbghelp.dll;
SymCompareInlineTrace;code;dbghelp.dll;
SymDeleteSymbol;code;dbghelp.dll;
SymDeleteSymbolW;code;dbghelp.dll;
SymEnumLines;code;dbghelp.dll;
SymEnumLinesW;code;dbghelp.dll;
SymEnumProcesses;code;dbghelp.dll;
SymEnumSourceFileTokens;code;dbghelp.dll;
SymEnumSourceFiles;code;dbghelp.dll;
SymEnumSourceFilesW;code;dbghelp.dll;
SymEnumSourceLines;code;dbghelp.dll;
SymEnumSourceLinesW;code;dbghelp.dll;
SymEnumSym;code;dbghelp.dll;
SymEnumSymbols;code;dbghelp.dll;
SymEnumSymbolsEx;code;dbghelp.dll;
SymEnumSymbolsExW;code;dbghelp.dll;
SymEnumSymbolsForAddr;code;dbghelp.dll;
SymEnumSymbolsForAddrW;code;dbghelp.dll;
SymEnumSymbolsW;code;dbghelp.dll;
SymEnumTypes;code;dbghelp.dll;
SymEnumTypesByName;code;dbghelp.dll;
SymEnumTypesByNameW;code;dbghelp.dll;
SymEnumTypesW;code;dbghelp.dll;
SymEnumerateModules;code;dbghelp.dll;
SymEnumerateModules64;code;dbghelp.dll;
SymEnumerateModulesW64;code;dbghelp.dll;
SymEnumerateSymbols;code;dbghelp.dll;
SymEnumerateSymbols64;code;dbghelp.dll;
SymEnumerateSymbolsW;code;dbghelp.dll;
SymEnumerateSymbolsW64;code;dbghelp.dll;
SymFindDebugInfoFile;code;dbghelp.dll;
SymFindDebugInfoFileW;code;dbghelp.dll;
SymFindExecutableImage;code;dbghelp.dll;
SymFindExecutableImageW;code;dbghelp.dll;
SymFindFileInPath;code;dbghelp.dll;
SymFindFileInPathW;code;dbghelp.dll;
SymFromAddr;code;dbghelp.dll;
SymFromAddrW;code;dbghelp.dll;
SymFromIndex;code;dbghelp.dll;
SymFromIndexW;code;dbghelp.dll;
SymFromInlineContext;code;dbghelp.dll;
SymFromInlineContextW;code;dbghelp.dll;
SymFromName;code;dbghelp.dll;
SymFromNameW;code;dbghelp.dll;
SymFromToken;code;dbghelp.dll;
SymFromTokenW;code;dbghelp.dll;
SymFunctionTableAccess;code;dbghelp.dll;
SymFunctionTableAccess64;code;dbghelp.dll;
SymFunctionTableAccess64AccessRoutines;code;dbghelp.dll;
SymGetExtendedOption;code;dbghelp.dll;
SymGetFileLineOffsets64;code;dbghelp.dll;
SymGetHomeDirectory;code;dbghelp.dll;
SymGetHomeDirectoryW;code;dbghelp.dll;
SymGetLineFromAddr;code;dbghelp.dll;
SymGetLineFromAddr64;code;dbghelp.dll;
SymGetLineFromAddrW64;code;dbghelp.dll;
SymGetLineFromInlineContext;code;dbghelp.dll;
SymGetLineFromInlineContextW;code;dbghelp.dll;
SymGetLineFromName;code;dbghelp.dll;
SymGetLineFromName64;code;dbghelp.dll;
SymGetLineFromNameW64;code;dbghelp.dll;
SymGetLineNext;code;dbghelp.dll;
SymGetLineNext64;code;dbghelp.dll;
SymGetLineNextW64;code;dbghelp.dll;
SymGetLinePrev;code;dbghelp.dll;
SymGetLinePrev64;code;dbghelp.dll;
SymGetLinePrevW64;code;dbghelp.dll;
SymGetModuleBase;code;dbghelp.dll;
SymGetModuleBase64;code;dbghelp.dll;
SymGetModuleInfo;code;dbghelp.dll;
SymGetModuleInfo64;code;dbghelp.dll;
SymGetModuleInfoW;code;dbghelp.dll;
SymGetModuleInfoW64;code;dbghelp.dll;
SymGetOmaps;code;dbghelp.dll;
SymGetOptions;code;dbghelp.dll;
SymGetScope;code;dbghelp.dll;
SymGetScopeW;code;dbghelp.dll;
SymGetSearchPath;code;dbghelp.dll;
SymGetSearchPathW;code;dbghelp.dll;
SymGetSourceFile;code;dbghelp.dll;
SymGetSourceFileChecksum;code;dbghelp.dll;
SymGetSourceFileChecksumW;code;dbghelp.dll;
SymGetSourceFileFromToken;code;dbghelp.dll;
SymGetSourceFileFromTokenW;code;dbghelp.dll;
SymGetSourceFileToken;code;dbghelp.dll;
SymGetSourceFileTokenW;code;dbghelp.dll;
SymGetSourceFileW;code;dbghelp.dll;
SymGetSourceVarFromToken;code;dbghelp.dll;
SymGetSourceVarFromTokenW;code;dbghelp.dll;
SymGetSymFromAddr;code;dbghelp.dll;
SymGetSymFromAddr64;code;dbghelp.dll;
SymGetSymFromName;code;dbghelp.dll;
SymGetSymFromName64;code;dbghelp.dll;
SymGetSymNext;code;dbghelp.dll;
SymGetSymNext64;code;dbghelp.dll;
SymGetSymPrev;code;dbghelp.dll;
SymGetSymPrev64;code;dbghelp.dll;
SymGetSymbolFile;code;dbghelp.dll;
SymGetSymbolFileW;code;dbghelp.dll;
SymGetTypeFromName;code;dbghelp.dll;
SymGetTypeFromNameW;code;dbghelp.dll;
SymGetTypeInfo;code;dbghelp.dll;
SymGetTypeInfoEx;code;dbghelp.dll;
SymGetUnwindInfo;code;dbghelp.dll;
SymInitialize;code;dbghelp.dll;
SymInitializeW;code;dbghelp.dll;
SymLoadModule;code;dbghelp.dll;
SymLoadModule64;code;dbghelp.dll;
SymLoadModuleEx;code;dbghelp.dll;
SymLoadModuleExW;code;dbghelp.dll;
SymMatchFileName;code;dbghelp.dll;
SymMatchFileNameW;code;dbghelp.dll;
SymMatchString;code;dbghelp.dll;
SymMatchStringA;code;dbghelp.dll;
SymMatchStringW;code;dbghelp.dll;
SymNext;code;dbghelp.dll;
SymNextW;code;dbghelp.dll;
SymPrev;code;dbghelp.dll;
SymPrevW;code;dbghelp.dll;
SymQueryInlineTrace;code;dbghelp.dll;
SymRefreshModuleList;code;dbghelp.dll;
SymRegisterCallback;code;dbghelp.dll;
SymRegisterCallback64;code;dbghelp.dll;
SymRegisterCallbackW64;code;dbghelp.dll;
SymRegisterFunctionEntryCallback;code;dbghelp.dll;
SymRegisterFunctionEntryCallback64;code;dbghelp.dll;
SymSearch;code;dbghelp.dll;
SymSearchW;code;dbghelp.dll;
SymSetContext;code;dbghelp.dll;
SymSetExtendedOption;code;dbghelp.dll;
SymSetHomeDirectory;code;dbghelp.dll;
SymSetHomeDirectoryW;code;dbghelp.dll;
SymSetOptions;code;dbghelp.dll;
SymSetParentWindow;code;dbghelp.dll;
SymSetScopeFromAddr;code;dbghelp.dll;
SymSetScopeFromIndex;code;dbghelp.dll;
SymSetScopeFromInlineContext;code;dbghelp.dll;
SymSetSearchPath;code;dbghelp.dll;
SymSetSearchPathW;code;dbghelp.dll;
SymSrvDeltaName;code;dbghelp.dll;
SymSrvDeltaNameW;code;dbghelp.dll;
SymSrvGetFileIndexInfo;code;dbghelp.dll;
SymSrvGetFileIndexInfoW;code;dbghelp.dll;
SymSrvGetFileIndexString;code;dbghelp.dll;
SymSrvGetFileIndexStringW;code;dbghelp.dll;
SymSrvGetFileIndexes;code;dbghelp.dll;
SymSrvGetFileIndexesW;code;dbghelp.dll;
SymSrvGetSupplement;code;dbghelp.dll;
SymSrvGetSupplementW;code;dbghelp.dll;
SymSrvIsStore;code;dbghelp.dll;
SymSrvIsStoreW;code;dbghelp.dll;
SymSrvStoreFile;code;dbghelp.dll;
SymSrvStoreFileW;code;dbghelp.dll;
SymSrvStoreSupplement;code;dbghelp.dll;
SymSrvStoreSupplementW;code;dbghelp.dll;
SymUnDName;code;dbghelp.dll;
SymUnDName64;code;dbghelp.dll;
SymUnloadModule;code;dbghelp.dll;
SymUnloadModule64;code;dbghelp.dll;
UnDecorateSymbolName;code;dbghelp.dll;
UnDecorateSymbolNameW;code;dbghelp.dll;
UnmapDebugInformation;code;dbghelp.dll;
WinDbgExtensionDllInit;code;dbghelp.dll;
block;code;dbghelp.dll;
chksym;code;dbghelp.dll;
dbghelp;code;dbghelp.dll;
dh;code;dbghelp.dll;
fptr;code;dbghelp.dll;
homedir;code;dbghelp.dll;
inlinedbg;code;dbghelp.dll;
itoldyouso;code;dbghelp.dll;
lmi;code;dbghelp.dll;
lminfo;code;dbghelp.dll;
omap;code;dbghelp.dll;
optdbgdump;code;dbghelp.dll;
optdbgdumpaddr;code;dbghelp.dll;
srcfiles;code;dbghelp.dll;
stack_force_ebp;code;dbghelp.dll;
stackdbg;code;dbghelp.dll;
sym;code;dbghelp.dll;
symsrv;code;dbghelp.dll;
vc7fpo;code;dbghelp.dll;
