Name;Type;DLL;SymbolOrOrdinal
DebugExtensionInitialize;code;ESENT.dll;
DebugExtensionNotify;code;ESENT.dll;
DebugExtensionUninitialize;code;ESENT.dll;
JetAddColumn;code;ESENT.dll;
JetAddColumnA;code;ESENT.dll;
JetAddColumnW;code;ESENT.dll;
JetAttachDatabase;code;ESENT.dll;
JetAttachDatabase2;code;ESENT.dll;
JetAttachDatabase2A;code;ESENT.dll;
JetAttachDatabase2W;code;ESENT.dll;
JetAttachDatabase3;code;ESENT.dll;
JetAttachDatabase3A;code;ESENT.dll;
JetAttachDatabase3W;code;ESENT.dll;
JetAttachDatabaseA;code;ESENT.dll;
JetAttachDatabaseW;code;ESENT.dll;
JetAttachDatabaseWithStreaming;code;ESENT.dll;
JetAttachDatabaseWithStreamingA;code;ESENT.dll;
JetAttachDatabaseWithStreamingW;code;ESENT.dll;
JetBackup;code;ESENT.dll;
JetBackupA;code;ESENT.dll;
JetBackupInstance;code;ESENT.dll;
JetBackupInstanceA;code;ESENT.dll;
JetBackupInstanceW;code;ESENT.dll;
JetBackupW;code;ESENT.dll;
JetBeginDatabaseIncrementalReseed;code;ESENT.dll;
JetBeginDatabaseIncrementalReseedA;code;ESENT.dll;
JetBeginDatabaseIncrementalReseedW;code;ESENT.dll;
JetBeginExternalBackup;code;ESENT.dll;
JetBeginExternalBackupInstance;code;ESENT.dll;
JetBeginSession;code;ESENT.dll;
JetBeginSessionA;code;ESENT.dll;
JetBeginSessionW;code;ESENT.dll;
JetBeginSurrogateBackup;code;ESENT.dll;
JetBeginTransaction;code;ESENT.dll;
JetBeginTransaction2;code;ESENT.dll;
JetBeginTransaction3;code;ESENT.dll;
JetCloseDatabase;code;ESENT.dll;
JetCloseFile;code;ESENT.dll;
JetCloseFileInstance;code;ESENT.dll;
JetCloseTable;code;ESENT.dll;
JetCommitTransaction;code;ESENT.dll;
JetCommitTransaction2;code;ESENT.dll;
JetCompact;code;ESENT.dll;
JetCompactA;code;ESENT.dll;
JetCompactW;code;ESENT.dll;
JetComputeStats;code;ESENT.dll;
JetConfigureProcessForCrashDump;code;ESENT.dll;
JetConsumeLogData;code;ESENT.dll;
JetConvertDDL;code;ESENT.dll;
JetConvertDDLA;code;ESENT.dll;
JetConvertDDLW;code;ESENT.dll;
JetCreateDatabase;code;ESENT.dll;
JetCreateDatabase2;code;ESENT.dll;
JetCreateDatabase2A;code;ESENT.dll;
JetCreateDatabase2W;code;ESENT.dll;
JetCreateDatabase3;code;ESENT.dll;
JetCreateDatabase3A;code;ESENT.dll;
JetCreateDatabase3W;code;ESENT.dll;
JetCreateDatabaseA;code;ESENT.dll;
JetCreateDatabaseW;code;ESENT.dll;
JetCreateDatabaseWithStreaming;code;ESENT.dll;
JetCreateDatabaseWithStreamingA;code;ESENT.dll;
JetCreateDatabaseWithStreamingW;code;ESENT.dll;
JetCreateEncryptionKey;code;ESENT.dll;
JetCreateIndex;code;ESENT.dll;
JetCreateIndex2;code;ESENT.dll;
JetCreateIndex2A;code;ESENT.dll;
JetCreateIndex2W;code;ESENT.dll;
JetCreateIndex3A;code;ESENT.dll;
JetCreateIndex3W;code;ESENT.dll;
JetCreateIndex4A;code;ESENT.dll;
JetCreateIndex4W;code;ESENT.dll;
JetCreateIndexA;code;ESENT.dll;
JetCreateIndexW;code;ESENT.dll;
JetCreateInstance;code;ESENT.dll;
JetCreateInstance2;code;ESENT.dll;
JetCreateInstance2A;code;ESENT.dll;
JetCreateInstance2W;code;ESENT.dll;
JetCreateInstanceA;code;ESENT.dll;
JetCreateInstanceW;code;ESENT.dll;
JetCreateTable;code;ESENT.dll;
JetCreateTableA;code;ESENT.dll;
JetCreateTableColumnIndex;code;ESENT.dll;
JetCreateTableColumnIndex2;code;ESENT.dll;
JetCreateTableColumnIndex2A;code;ESENT.dll;
JetCreateTableColumnIndex2W;code;ESENT.dll;
JetCreateTableColumnIndex3A;code;ESENT.dll;
JetCreateTableColumnIndex3W;code;ESENT.dll;
JetCreateTableColumnIndex4A;code;ESENT.dll;
JetCreateTableColumnIndex4W;code;ESENT.dll;
JetCreateTableColumnIndex5A;code;ESENT.dll;
JetCreateTableColumnIndex5W;code;ESENT.dll;
JetCreateTableColumnIndexA;code;ESENT.dll;
JetCreateTableColumnIndexW;code;ESENT.dll;
JetCreateTableW;code;ESENT.dll;
JetDBUtilities;code;ESENT.dll;
JetDBUtilitiesA;code;ESENT.dll;
JetDBUtilitiesW;code;ESENT.dll;
JetDatabaseScan;code;ESENT.dll;
JetDefragment;code;ESENT.dll;
JetDefragment2;code;ESENT.dll;
JetDefragment2A;code;ESENT.dll;
JetDefragment2W;code;ESENT.dll;
JetDefragment3;code;ESENT.dll;
JetDefragment3A;code;ESENT.dll;
JetDefragment3W;code;ESENT.dll;
JetDefragmentA;code;ESENT.dll;
JetDefragmentW;code;ESENT.dll;
JetDelete;code;ESENT.dll;
JetDeleteColumn;code;ESENT.dll;
JetDeleteColumn2;code;ESENT.dll;
JetDeleteColumn2A;code;ESENT.dll;
JetDeleteColumn2W;code;ESENT.dll;
JetDeleteColumnA;code;ESENT.dll;
JetDeleteColumnW;code;ESENT.dll;
JetDeleteIndex;code;ESENT.dll;
JetDeleteIndexA;code;ESENT.dll;
JetDeleteIndexW;code;ESENT.dll;
JetDeleteTable;code;ESENT.dll;
JetDeleteTableA;code;ESENT.dll;
JetDeleteTableW;code;ESENT.dll;
JetDetachDatabase;code;ESENT.dll;
JetDetachDatabase2;code;ESENT.dll;
JetDetachDatabase2A;code;ESENT.dll;
JetDetachDatabase2W;code;ESENT.dll;
JetDetachDatabaseA;code;ESENT.dll;
JetDetachDatabaseW;code;ESENT.dll;
JetDupCursor;code;ESENT.dll;
JetDupSession;code;ESENT.dll;
JetEnableMultiInstance;code;ESENT.dll;
JetEnableMultiInstanceA;code;ESENT.dll;
JetEnableMultiInstanceW;code;ESENT.dll;
JetEndDatabaseIncrementalReseed;code;ESENT.dll;
JetEndDatabaseIncrementalReseedA;code;ESENT.dll;
JetEndDatabaseIncrementalReseedW;code;ESENT.dll;
JetEndExternalBackup;code;ESENT.dll;
JetEndExternalBackupInstance;code;ESENT.dll;
