Name;Type;DLL;SymbolOrOrdinal
DebugExtensionInitialize;code;RPCDBG.dll;
DebugExtensionNotify;code;RPCDBG.dll;
DebugExtensionUninitialize;code;RPCDBG.dll;
KnownStructOutputEx;code;RPCDBG.dll;
addrvect;code;RPCDBG.dll;
ama;code;RPCDBG.dll;
asyncmsg;code;RPCDBG.dll;
asyncrpc;code;RPCDBG.dll;
authinfo;code;RPCDBG.dll;
copacket;code;RPCDBG.dll;
dict;code;RPCDBG.dll;
dict2;code;RPCDBG.dll;
eeinfo;code;RPCDBG.dll;
eerecord;code;RPCDBG.dll;
error;code;RPCDBG.dll;
fwscan;code;RPCDBG.dll;
getcallinfo;code;RPCDBG.dll;
getclientcallinfo;code;RPCDBG.dll;
getdbgcell;code;RPCDBG.dll;
getendpointinfo;code;RPCDBG.dll;
getthreadinfo;code;RPCDBG.dll;
getvalidateerror;code;RPCDBG.dll;
help;code;RPCDBG.dll;
if;code;RPCDBG.dll;
listcalls;code;RPCDBG.dll;
lpcaddr;code;RPCDBG.dll;
lpcbh;code;RPCDBG.dll;
lpcca;code;RPCDBG.dll;
lpcccall;code;RPCDBG.dll;
lpcsa;code;RPCDBG.dll;
lpcscall;code;RPCDBG.dll;
mode;code;RPCDBG.dll;
obj;code;RPCDBG.dll;
overlap;code;RPCDBG.dll;
pasync;code;RPCDBG.dll;
pipedesc;code;RPCDBG.dll;
pipemsg;code;RPCDBG.dll;
pipestate;code;RPCDBG.dll;
protocols;code;RPCDBG.dll;
queue;code;RPCDBG.dll;
rpcheap;code;RPCDBG.dll;
rpcmsg;code;RPCDBG.dll;
rpcreadstack;code;RPCDBG.dll;
rpcsvr;code;RPCDBG.dll;
rpctime;code;RPCDBG.dll;
rpcverbosestack;code;RPCDBG.dll;
rpcverifier;code;RPCDBG.dll;
scan;code;RPCDBG.dll;
secinfo;code;RPCDBG.dll;
sizes;code;RPCDBG.dll;
stackmatch;code;RPCDBG.dll;
stubmsg;code;RPCDBG.dll;
thread;code;RPCDBG.dll;
traceasynccall;code;RPCDBG.dll;
tracesynccall;code;RPCDBG.dll;
trans;code;RPCDBG.dll;
transinfo;code;RPCDBG.dll;
version;code;RPCDBG.dll;
