Name;Type;DLL;SymbolOrOrdinal
AddVirtualDiskParent;code;VirtDisk.dll;
ApplySnapshotVhdSet;code;VirtDisk.dll;
AttachVirtualDisk;code;VirtDisk.dll;
BreakMirrorVirtualDisk;code;VirtDisk.dll;
CompactVirtualDisk;code;VirtDisk.dll;
CompleteForkVirtualDisk;code;VirtDisk.dll;
CreateVirtualDisk;code;VirtDisk.dll;
DeleteSnapshotVhdSet;code;VirtDisk.dll;
DeleteVirtualDiskMetadata;code;VirtDisk.dll;
DetachVirtualDisk;code;VirtDisk.dll;
EnumerateVirtualDiskMetadata;code;VirtDisk.dll;
ExpandVirtualDisk;code;VirtDisk.dll;
ForkVirtualDisk;code;VirtDisk.dll;
GetAllAttachedVirtualDiskPhysicalPaths;code;VirtDisk.dll;
GetStorageDependencyInformation;code;VirtDisk.dll;
GetVirtualDiskInformation;code;VirtDisk.dll;
GetVirtualDiskMetadata;code;VirtDisk.dll;
GetVirtualDiskOperationProgress;code;VirtDisk.dll;
GetVirtualDiskPhysicalPath;code;VirtDisk.dll;
MergeVirtualDisk;code;VirtDisk.dll;
MirrorVirtualDisk;code;VirtDisk.dll;
ModifyVhdSet;code;VirtDisk.dll;
OpenVirtualDisk;code;VirtDisk.dll;
QueryChangesVirtualDisk;code;VirtDisk.dll;
RawSCSIVirtualDisk;code;VirtDisk.dll;
ResizeVirtualDisk;code;VirtDisk.dll;
SetVirtualDiskInformation;code;VirtDisk.dll;
SetVirtualDiskMetadata;code;VirtDisk.dll;
TakeSnapshotVhdSet;code;VirtDisk.dll;
