Name;Type;DLL;SymbolOrOrdinal
ApplyDeltaA;code;msdelta.dll;_ApplyDeltaA@20
ApplyDeltaB;code;msdelta.dll;_ApplyDeltaB@36
ApplyDeltaProvidedB;code;msdelta.dll;_ApplyDeltaProvidedB@40
ApplyDeltaW;code;msdelta.dll;_ApplyDeltaW@20
CreateDeltaA;code;msdelta.dll;_CreateDeltaA@64
CreateDeltaB;code;msdelta.dll;_CreateDeltaB@96
CreateDeltaW;code;msdelta.dll;_CreateDeltaW@64
DeltaFree;code;msdelta.dll;_DeltaFree@4
DeltaNormalizeProvidedB;code;msdelta.dll;_DeltaNormalizeProvidedB@36
GetDeltaInfoA;code;msdelta.dll;_GetDeltaInfoA@8
GetDeltaInfoB;code;msdelta.dll;_GetDeltaInfoB@16
GetDeltaInfoW;code;msdelta.dll;_GetDeltaInfoW@8
GetDeltaSignatureA;code;msdelta.dll;_GetDeltaSignatureA@20
GetDeltaSignatureB;code;msdelta.dll;_GetDeltaSignatureB@28
GetDeltaSignatureW;code;msdelta.dll;_GetDeltaSignatureW@20
