Name;Type;DLL;SymbolOrOrdinal
AddUrlToFavorites;code;SHDOCVW.dll;_AddUrlToFavorites@16
DllRegisterWindowClasses;code;SHDOCVW.dll;_DllRegisterWindowClasses@4
DoAddToFavDlg;code;SHDOCVW.dll;_DoAddToFavDlg@24
DoAddToFavDlgW;code;SHDOCVW.dll;_DoAddToFavDlgW@24
DoFileDownload;code;SHDOCVW.dll;_DoFileDownload@4
DoFileDownloadEx;code;SHDOCVW.dll;_DoFileDownloadEx@8
DoOrganizeFavDlg;code;SHDOCVW.dll;_DoOrganizeFavDlg@8
DoOrganizeFavDlgW;code;SHDOCVW.dll;_DoOrganizeFavDlgW@8
DoPrivacyDlg;code;SHDOCVW.dll;_DoPrivacyDlg@16
HlinkFindFrame;code;SHDOCVW.dll;_HlinkFindFrame@8
HlinkFrameNavigate;code;SHDOCVW.dll;_HlinkFrameNavigate@20
HlinkFrameNavigateNHL;code;SHDOCVW.dll;_HlinkFrameNavigateNHL@24
ImportPrivacySettings;code;SHDOCVW.dll;_ImportPrivacySettings@12
OpenURL;code;SHDOCVW.dll;_OpenURL@16
SHGetIDispatchForFolder;code;SHDOCVW.dll;_SHGetIDispatchForFolder@8
SetQueryNetSessionCount;code;SHDOCVW.dll;_SetQueryNetSessionCount@4
SoftwareUpdateMessageBox;code;SHDOCVW.dll;_SoftwareUpdateMessageBox@16
URLQualifyA;code;SHDOCVW.dll;_URLQualifyA@12
URLQualifyW;code;SHDOCVW.dll;_URLQualifyW@12
