Name;Type;DLL;SymbolOrOrdinal
WinStationRegisterConsoleNotificationEx2;code;WINSTA.dll;?WinStationRegisterConsoleNotificationEx2@@YGHPAXPAUHWND__@@KK@Z (int __stdcall WinStationRegisterConsoleNotificationEx2(void *,struct HWND__ *,unsigned long,unsigned long))
LogonIdFromWinStationNameA;code;WINSTA.dll;_LogonIdFromWinStationNameA@12
LogonIdFromWinStationNameW;code;WINSTA.dll;_LogonIdFromWinStationNameW@12
RemoteAssistancePrepareSystemRestore;code;WINSTA.dll;_RemoteAssistancePrepareSystemRestore@4
ServerGetInternetConnectorStatus;code;WINSTA.dll;_ServerGetInternetConnectorStatus@12
ServerLicensingClose;code;WINSTA.dll;_ServerLicensingClose@4
ServerLicensingDeactivateCurrentPolicy;code;WINSTA.dll;_ServerLicensingDeactivateCurrentPolicy@4
ServerLicensingFreePolicyInformation;code;WINSTA.dll;_ServerLicensingFreePolicyInformation@4
ServerLicensingGetAadInfo;code;WINSTA.dll;_ServerLicensingGetAadInfo@16
ServerLicensingGetAvailablePolicyIds;code;WINSTA.dll;_ServerLicensingGetAvailablePolicyIds@12
ServerLicensingGetPolicy;code;WINSTA.dll;_ServerLicensingGetPolicy@8
ServerLicensingGetPolicyInformationA;code;WINSTA.dll;_ServerLicensingGetPolicyInformationA@16
ServerLicensingGetPolicyInformationW;code;WINSTA.dll;_ServerLicensingGetPolicyInformationW@16
ServerLicensingLoadPolicy;code;WINSTA.dll;_ServerLicensingLoadPolicy@8
ServerLicensingOpenA;code;WINSTA.dll;_ServerLicensingOpenA@4
ServerLicensingOpenW;code;WINSTA.dll;_ServerLicensingOpenW@4
ServerLicensingSetAadInfo;code;WINSTA.dll;_ServerLicensingSetAadInfo@16
ServerLicensingSetPolicy;code;WINSTA.dll;_ServerLicensingSetPolicy@12
ServerLicensingUnloadPolicy;code;WINSTA.dll;_ServerLicensingUnloadPolicy@8
ServerQueryInetConnectorInformationA;code;WINSTA.dll;_ServerQueryInetConnectorInformationA@16
ServerQueryInetConnectorInformationW;code;WINSTA.dll;_ServerQueryInetConnectorInformationW@16
