Name;Type;DLL;SymbolOrOrdinal
ChangeSupervisorPassword;code;MSRATING.dll;
ClickedOnPRF;code;MSRATING.dll;
ClickedOnRAT;code;MSRATING.dll;
RatingAccessDeniedDialog;code;MSRATING.dll;
RatingAccessDeniedDialog2;code;MSRATING.dll;
RatingAccessDeniedDialog2W;code;MSRATING.dll;
RatingAccessDeniedDialogW;code;MSRATING.dll;
RatingAddPropertyPages;code;MSRATING.dll;
RatingAddToApprovedSites;code;MSRATING.dll;
RatingCheckUserAccess;code;MSRATING.dll;
RatingCheckUserAccessW;code;MSRATING.dll;
RatingClickedOnPRFInternal;code;MSRATING.dll;
RatingClickedOnRATInternal;code;MSRATING.dll;
RatingCustomAddRatingHelper;code;MSRATING.dll;
RatingCustomAddRatingSystem;code;MSRATING.dll;
RatingCustomCrackData;code;MSRATING.dll;
RatingCustomDeleteCrackedData;code;MSRATING.dll;
RatingCustomInit;code;MSRATING.dll;
RatingCustomRemoveRatingHelper;code;MSRATING.dll;
RatingCustomSetDefaultBureau;code;MSRATING.dll;
RatingCustomSetUserOptions;code;MSRATING.dll;
RatingEnable;code;MSRATING.dll;
RatingEnableW;code;MSRATING.dll;
RatingEnabledQuery;code;MSRATING.dll;
RatingFreeDetails;code;MSRATING.dll;
RatingInit;code;MSRATING.dll;
RatingObtainCancel;code;MSRATING.dll;
RatingObtainQuery;code;MSRATING.dll;
RatingObtainQueryW;code;MSRATING.dll;
RatingSetupUI;code;MSRATING.dll;
RatingSetupUIW;code;MSRATING.dll;
VerifySupervisorPassword;code;MSRATING.dll;
