Name;Type;DLL;SymbolOrOrdinal
CSCDeleteW;code;CSCDLL.dll;45
CSCDisconnectPath;code;CSCDLL.dll;73
CSCDoEnableDisable;code;CSCDLL.dll;14
CSCEnumForStatsExW;code;CSCDLL.dll;55
CSCEnumForStatsW;code;CSCDLL.dll;49
CSCFindClose;code;CSCDLL.dll;10
CSCFindFirstFileForSidW;code;CSCDLL.dll;60
CSCFindFirstFileW;code;CSCDLL.dll;43
CSCFindNextFileW;code;CSCDLL.dll;44
CSCIsCSCEnabled;code;CSCDLL.dll;9
CSCIsPathOffline;code;CSCDLL.dll;75
CSCIsServerOfflineW;code;CSCDLL.dll;50
CSCPinFileW;code;CSCDLL.dll;40
CSCQueryFileStatusW;code;CSCDLL.dll;42
CSCSetMaxSpace;code;CSCDLL.dll;11
CSCTransitionPathOnline;code;CSCDLL.dll;76
CSCTransitionServerOnlineW;code;CSCDLL.dll;52
CSCUnpinFileW;code;CSCDLL.dll;41
