Name;Type;DLL;SymbolOrOrdinal
_ADsBuildEnumerator@8;code;ACTIVEDS.dll;4
_ADsBuildVarArrayInt@12;code;ACTIVEDS.dll;8
_ADsBuildVarArrayStr@12;code;ACTIVEDS.dll;7
_ADsDecodeBinaryData@12;code;ACTIVEDS.dll;24
_ADsEncodeBinaryData@12;code;ACTIVEDS.dll;20
_ADsEnumerateNext@16;code;ACTIVEDS.dll;6
_ADsFreeEnumerator@4;code;ACTIVEDS.dll;5
_ADsGetLastError@20;code;ACTIVEDS.dll;13
_ADsGetObject@12;code;ACTIVEDS.dll;3
_ADsOpenObject@24;code;ACTIVEDS.dll;9
_ADsSetLastError@12;code;ACTIVEDS.dll;12
_AdsFreeAdsValues@8;code;ACTIVEDS.dll;23
_AdsTypeToPropVariant2@28;code;ACTIVEDS.dll;25
_AdsTypeToPropVariant@12;code;ACTIVEDS.dll;22
_AllocADsMem@4;code;ACTIVEDS.dll;14
_AllocADsStr@4;code;ACTIVEDS.dll;17
_BinarySDToSecurityDescriptor@24;code;ACTIVEDS.dll;29
_ConvertSecDescriptorToVariant@24;code;ACTIVEDS.dll;27
_ConvertSecurityDescriptorToSecDes@28;code;ACTIVEDS.dll;28
_ConvertTrusteeToSid@28;code;ACTIVEDS.dll;31
_FreeADsMem@4;code;ACTIVEDS.dll;15
_FreeADsStr@4;code;ACTIVEDS.dll;18
_PropVariantToAdsType2@32;code;ACTIVEDS.dll;26
_PropVariantToAdsType@16;code;ACTIVEDS.dll;21
_ReallocADsMem@12;code;ACTIVEDS.dll;16
_ReallocADsStr@8;code;ACTIVEDS.dll;19
_SecurityDescriptorToBinarySD@40;code;ACTIVEDS.dll;30
